번호,기호,층,존,외피유형,커튼월부위,면적,인접존,방위,기울기,우측면돌출,좌측면돌출,상부돌출,주변요소,구조체,Ueff,α,g,직접간접
1,1F_Zone02_FR_1,1F,1F_Zone02,최하층바닥,,50.29,,-,0,0,0,0,0,지면위바닥,5.357737105,,,간접외기
2,1F_Zone02_WL_1,1F,1F_Zone02,외벽,,3.65,,남동,90,5,5,5,0,외단열미장,0.532460231,0.4,,직접외기
3,1F_Zone02_WL_2,1F,1F_Zone02,외벽,,1.5,,남서,90,5,5,5,85,석재외벽,0.665000262,0.4,,직접외기
4,1F_Zone02_WL_3,1F,1F_Zone02,외벽,,25.15,,남서,90,5,5,5,85,외단열미장,0.532460231,0.4,,직접외기
5,1F_Zone02_WL_4,1F,1F_Zone02,외벽,,20.54,,북동,90,5,5,5,85,간접외기벽,3.008783405,0.4,,간접외기
6,1F_Zone02_WL_5,1F,1F_Zone02,외벽,,2.1,,남동,90,5,5,5,0,미단열외벽,4.126089185,0.4,,직접외기
7,1F_Zone02_WL_6,1F,1F_Zone02,외벽,,2.1,,북서,90,5,5,5,0,외단열미장,0.532460231,0.4,,직접외기
8,1F_Zone02_WIN_1,1F,1F_Zone02,창호,,2.99,,남서,90,5,5,5,85,A-2,1.872775747,,0.615254508,직접외기
9,1F_Zone02_WIN_2,1F,1F_Zone02,창호,,1.95,,남서,90,5,5,5,85,A-3,1.972345381,,0.615254508,직접외기
10,1F_Zone02_WIN_3,1F,1F_Zone02,창호,,0.7975,,남서,90,5,5,5,85,A-4,5.738213847,,0.615254508,직접외기
11,1F_Zone02_CW_1,1F,1F_Zone02,커튼월창,유리부분,7.08974,,남동,90,5,5,5,0,A-6,5.696552341,,0.861,직접외기
12,1F_Zone02_CW_2,1F,1F_Zone02,커튼월창,출입문부분,2.52126,,남동,90,5,5,5,0,A-6,5.418515857,,0.861,직접외기
13,1F_Zone02_CW_3,1F,1F_Zone02,커튼월창,출입문부분,3.78,,북동,90,5,5,5,85,유리문_간접,5.981392593,,0.861,직접외기
14,1F_Zone04_FR_1,1F,1F_Zone04,최하층바닥,,18.04,,-,0,0,0,0,0,단열외피밖바닥,3.488624052,,,간접외기
15,1F_Zone04_WL_1,1F,1F_Zone04,외벽,,9.67,,남동,90,5,5,5,0,간접외기벽,3.008783405,0.4,,간접외기
16,1F_Zone04_WL_2,1F,1F_Zone04,외벽,,11.85,,북서,90,5,5,5,0,외단열미장,0.532460231,0.4,,직접외기
17,1F_Zone04_DR_1,1F,1F_Zone04,외부출입문,,1.89,,남동,90,5,5,5,0,목재문_간접,3.211904762,0.6,,간접외기
18,1F_Zone04_WIN_1,1F,1F_Zone04,창호,,1.95,,북서,90,5,5,5,0,A-3,1.972345381,,0.615254508,직접외기
