창호 명칭,창호면적,창호너비,창호높이,고정창 유리면적,개폐창 유리면적,개폐프레임(A)면적,고정프레임(B)면적,중간프레임(C)면적,고정창유리둘레길이,개폐창유리둘레길이
PW1,3.37,1.58,2.13,0,2.45,0.77,0,0.14,0,10.21
PW2,3.66,1.77,2.07,0,2.73,0.8,0,0.14,0,10.35
PW3,1.95,1.5,1.3,0,1.3,0.57,0,0.08,0,6.73
PW4A,1,1,1,0,0.55,0.39,0,0.06,0,4.53
PW4B,1,1,1,0,0.55,0.39,0,0.06,0,4.53
PW5,1.3,1,1.3,0,0.76,0.46,0,0.08,0,5.73
PW6,3.12,2.4,1.3,0,2.27,0.77,0,0.08,0,8.53
PW7,1.3,1,1.3,0,0.76,0.46,0,0.08,0,5.73
PW8,1.95,1.5,1.3,0,1.3,0.57,0,0.08,0,6.73
PW9,0.81,0.9,0.9,0,0.41,0.35,0,0.05,0,3.93
PW10,1.83,1.45,1.26,0,1.2,0.55,0,0.08,0,6.47
PW1_신규,3.37,1.58,2.13,0,2.45,0.77,0,0.14,0,10.21
PW2_신규,3.66,1.77,2.07,0,2.73,0.8,0,0.14,0,10.35
PW3_신규,1.95,1.5,1.3,0,1.3,0.57,0,0.08,0,6.73
PW4A_신규,1,1,1,0,0.55,0.39,0,0.06,0,4.53
PW4B_신규,1,1,1,0,0.55,0.39,0,0.06,0,4.53
PW5_신규,1.3,1,1.3,0,0.76,0.46,0,0.08,0,5.73
PW6_신규,3.12,2.4,1.3,0,2.27,0.77,0,0.08,0,8.53
PW7_신규,1.3,1,1.3,0,0.76,0.46,0,0.08,0,5.73
PW8_신규,1.95,1.5,1.3,0,1.3,0.57,0,0.08,0,6.73
PW9_신규,0.81,0.9,0.9,0,0.41,0.35,0,0.05,0,3.93
PW10_신규,1.83,1.45,1.26,0,1.2,0.55,0,0.08,0,6.47
