창호 명칭,창호면적,창호너비,창호높이,고정창 유리면적,개폐창 유리면적,개폐프레임(A)면적,고정프레임(B)면적,중간프레임(C)면적,고정창유리둘레길이,개폐창유리둘레길이
AW1,74.4,12,6.2,49.446,5.494,0.498,4.486,14.476,125.1,13.9
AW13,0.72,1.2,0.6,0,0.182,0.448,0,0.09,0,3.4
AW2,3.15,1.5,2.1,1.394,0.465,0.256,0.72,0.315,6.375,2.125
AW3,6.3,3,2.1,3.076,1.025,0.376,1.058,0.765,10.875,3.625
AW4,1.8,3,0.6,0,0.506,1.024,0,0.27,0,8.2
AW5,4.05,1.5,2.7,1.324,1.324,0.608,0.57,0.225,4.55,4.55
AW6,2.7,1,2.7,1.158,0.386,0.264,0.742,0.15,5.7,1.9
AW12,1,1,1,0,0.338,0.512,0,0.15,0,4.2
AW7,2.54,1.27,2,0.698,0,0,0.861,0.981,12.28,0
AW8,1.26,0.6,2.1,0.263,0.113,0.221,0.483,0.18,4.06,1.74
AW9,12.57585,5.133,2.45,9.284,0,0,2.155,1.137,21.949,0
AW10,11.94,1.2,9.95,5.563,1.854,0.753,2.258,1.512,24.225,8.075
PW1,1,1,1,0,0.338,0.512,0,0.15,0,4.2
