방위,γF,Dclass,Etask,"FD,SNA"
수평,0,None,100,0
수평,0,None,300,0
수평,0,None,500,0
수평,0,None,750,0
수평,0,None,1000,0
수평,0,Low,100,0.95
수평,0,Low,300,0.83
수평,0,Low,500,0.68
수평,0,Low,750,0.52
수평,0,Low,1000,0.4
수평,0,Medium,100,0.97
수평,0,Medium,300,0.92
수평,0,Medium,500,0.85
수평,0,Medium,750,0.75
수평,0,Medium,1000,0.65
수평,0,Strong,100,0.98
수평,0,Strong,300,0.95
수평,0,Strong,500,0.92
수평,0,Strong,750,0.86
수평,0,Strong,1000,0.79
남,30,None,100,0
남,30,None,300,0
남,30,None,500,0
남,30,None,750,0
남,30,None,1000,0
남,30,Low,100,0.95
남,30,Low,300,0.81
남,30,Low,500,0.66
남,30,Low,750,0.5
남,30,Low,1000,0.38
남,30,Medium,100,0.97
남,30,Medium,300,0.92
남,30,Medium,500,0.84
남,30,Medium,750,0.73
남,30,Medium,1000,0.62
남,30,Strong,100,0.98
남,30,Strong,300,0.95
남,30,Strong,500,0.91
남,30,Strong,750,0.84
남,30,Strong,1000,0.77
남,45,None,100,0
남,45,None,300,0
남,45,None,500,0
남,45,None,750,0
남,45,None,1000,0
남,45,Low,100,0.94
남,45,Low,300,0.79
남,45,Low,500,0.62
남,45,Low,750,0.46
남,45,Low,1000,0.35
남,45,Medium,100,0.97
남,45,Medium,300,0.9
남,45,Medium,500,0.81
남,45,Medium,750,0.69
남,45,Medium,1000,0.59
남,45,Strong,100,0.98
남,45,Strong,300,0.94
남,45,Strong,500,0.9
남,45,Strong,750,0.82
남,45,Strong,1000,0.74
남,60,None,100,0
남,60,None,300,0
남,60,None,500,0
남,60,None,750,0
남,60,None,1000,0
남,60,Low,100,0.94
남,60,Low,300,0.75
남,60,Low,500,0.57
남,60,Low,750,0.41
남,60,Low,1000,0.31
남,60,Medium,100,0.96
남,60,Medium,300,0.89
남,60,Medium,500,0.78
남,60,Medium,750,0.65
남,60,Medium,1000,0.53
남,60,Strong,100,0.97
남,60,Strong,300,0.93
남,60,Strong,500,0.87
남,60,Strong,750,0.79
남,60,Strong,1000,0.7
남,90,None,100,0
남,90,None,300,0
남,90,None,500,0
남,90,None,750,0
남,90,None,1000,0
남,90,Low,100,0.91
남,90,Low,300,0.64
남,90,Low,500,0.44
남,90,Low,750,0.3
남,90,Low,1000,0.22
남,90,Medium,100,0.95
남,90,Medium,300,0.82
남,90,Medium,500,0.67
남,90,Medium,750,0.52
남,90,Medium,1000,0.4
남,90,Strong,100,0.97
남,90,Strong,300,0.9
남,90,Strong,500,0.8
남,90,Strong,750,0.68
남,90,Strong,1000,0.58
남동,30,None,100,0
남동,30,None,300,0
남동,30,None,500,0
남동,30,None,750,0
남동,30,None,1000,0
남동,30,Low,100,0.95
남동,30,Low,300,0.81
남동,30,Low,500,0.66
남동,30,Low,750,0.49
남동,30,Low,1000,0.38
남동,30,Medium,100,0.97
남동,30,Medium,300,0.91
남동,30,Medium,500,0.83
남동,30,Medium,750,0.72
남동,30,Medium,1000,0.62
남동,30,Strong,100,0.98
남동,30,Strong,300,0.94
남동,30,Strong,500,0.91
남동,30,Strong,750,0.84
남동,30,Strong,1000,0.77
남동,45,None,100,0
남동,45,None,300,0
남동,45,None,500,0
남동,45,None,750,0
남동,45,None,1000,0
남동,45,Low,100,0.94
남동,45,Low,300,0.78
남동,45,Low,500,0.61
남동,45,Low,750,0.45
남동,45,Low,1000,0.34
남동,45,Medium,100,0.97
남동,45,Medium,300,0.9
남동,45,Medium,500,0.81
남동,45,Medium,750,0.69
남동,45,Medium,1000,0.58
남동,45,Strong,100,0.98
남동,45,Strong,300,0.94
남동,45,Strong,500,0.89
남동,45,Strong,750,0.81
남동,45,Strong,1000,0.74
남동,60,None,100,0
남동,60,None,300,0
남동,60,None,500,0
남동,60,None,750,0
남동,60,None,1000,0
남동,60,Low,100,0.94
남동,60,Low,300,0.75
남동,60,Low,500,0.56
남동,60,Low,750,0.4
남동,60,Low,1000,0.3
남동,60,Medium,100,0.96
남동,60,Medium,300,0.89
남동,60,Medium,500,0.78
남동,60,Medium,750,0.64
남동,60,Medium,1000,0.53
남동,60,Strong,100,0.97
남동,60,Strong,300,0.93
남동,60,Strong,500,0.88
남동,60,Strong,750,0.79
남동,60,Strong,1000,0.7
남동,90,None,100,0
남동,90,None,300,0
남동,90,None,500,0
남동,90,None,750,0
남동,90,None,1000,0
남동,90,Low,100,0.92
남동,90,Low,300,0.66
남동,90,Low,500,0.45
남동,90,Low,750,0.3
남동,90,Low,1000,0.23
남동,90,Medium,100,0.95
남동,90,Medium,300,0.83
남동,90,Medium,500,0.69
남동,90,Medium,750,0.53
남동,90,Medium,1000,0.41
남동,90,Strong,100,0.97
남동,90,Strong,300,0.91
남동,90,Strong,500,0.82
남동,90,Strong,750,0.7
남동,90,Strong,1000,0.59
남서,30,None,100,0
남서,30,None,300,0
남서,30,None,500,0
남서,30,None,750,0
남서,30,None,1000,0
남서,30,Low,100,0.95
남서,30,Low,300,0.81
남서,30,Low,500,0.66
남서,30,Low,750,0.49
남서,30,Low,1000,0.38
남서,30,Medium,100,0.97
남서,30,Medium,300,0.91
남서,30,Medium,500,0.83
남서,30,Medium,750,0.72
남서,30,Medium,1000,0.62
남서,30,Strong,100,0.98
남서,30,Strong,300,0.94
남서,30,Strong,500,0.91
남서,30,Strong,750,0.84
남서,30,Strong,1000,0.77
남서,45,None,100,0
남서,45,None,300,0
남서,45,None,500,0
남서,45,None,750,0
남서,45,None,1000,0
남서,45,Low,100,0.94
