방위,γF,Dclass,Etask,"FD,SA"
수평,0,None,100,0
수평,0,None,300,0
수평,0,None,500,0
수평,0,None,750,0
수평,0,None,1000,0
수평,0,Low,100,0.98
수평,0,Low,300,0.91
수평,0,Low,500,0.83
수평,0,Low,750,0.69
수평,0,Low,1000,0.54
수평,0,Medium,100,0.99
수평,0,Medium,300,0.96
수평,0,Medium,500,0.93
수평,0,Medium,750,0.88
수평,0,Medium,1000,0.83
수평,0,Strong,100,0.99
수평,0,Strong,300,0.98
수평,0,Strong,500,0.96
수평,0,Strong,750,0.93
수평,0,Strong,1000,0.9
남,30,None,100,0
남,30,None,300,0
남,30,None,500,0
남,30,None,750,0
남,30,None,1000,0
남,30,Low,100,0.99
남,30,Low,300,0.96
남,30,Low,500,0.91
남,30,Low,750,0.8
남,30,Low,1000,0.66
남,30,Medium,100,0.99
남,30,Medium,300,0.99
남,30,Medium,500,0.97
남,30,Medium,750,0.95
남,30,Medium,1000,0.91
남,30,Strong,100,0.99
남,30,Strong,300,0.99
남,30,Strong,500,0.98
남,30,Strong,750,0.97
남,30,Strong,1000,0.96
남,45,None,100,0
남,45,None,300,0
남,45,None,500,0
남,45,None,750,0
남,45,None,1000,0
남,45,Low,100,0.99
남,45,Low,300,0.97
남,45,Low,500,0.92
남,45,Low,750,0.81
남,45,Low,1000,0.67
남,45,Medium,100,0.99
남,45,Medium,300,0.99
남,45,Medium,500,0.98
남,45,Medium,750,0.96
남,45,Medium,1000,0.92
남,45,Strong,100,0.99
남,45,Strong,300,0.99
남,45,Strong,500,0.99
남,45,Strong,750,0.98
남,45,Strong,1000,0.96
남,60,None,100,0
남,60,None,300,0
남,60,None,500,0
남,60,None,750,0
남,60,None,1000,0
남,60,Low,100,0.99
남,60,Low,300,0.97
남,60,Low,500,0.91
남,60,Low,750,0.79
남,60,Low,1000,0.64
남,60,Medium,100,0.99
남,60,Medium,300,0.99
남,60,Medium,500,0.98
남,60,Medium,750,0.96
남,60,Medium,1000,0.91
남,60,Strong,100,0.99
남,60,Strong,300,0.99
남,60,Strong,500,0.99
남,60,Strong,750,0.98
남,60,Strong,1000,0.97
남,90,None,100,0
남,90,None,300,0
남,90,None,500,0
남,90,None,750,0
남,90,None,1000,0
남,90,Low,100,0.99
남,90,Low,300,0.94
남,90,Low,500,0.83
남,90,Low,750,0.63
남,90,Low,1000,0.48
남,90,Medium,100,0.99
남,90,Medium,300,0.99
남,90,Medium,500,0.97
남,90,Medium,750,0.91
남,90,Medium,1000,0.83
남,90,Strong,100,0.99
남,90,Strong,300,0.99
남,90,Strong,500,0.99
남,90,Strong,750,0.97
남,90,Strong,1000,0.93
남동,30,None,100,0
남동,30,None,300,0
남동,30,None,500,0
남동,30,None,750,0
남동,30,None,1000,0
남동,30,Low,100,0.99
남동,30,Low,300,0.94
남동,30,Low,500,0.86
남동,30,Low,750,0.75
남동,30,Low,1000,0.62
남동,30,Medium,100,1
남동,30,Medium,300,0.98
남동,30,Medium,500,0.95
남동,30,Medium,750,0.91
남동,30,Medium,1000,0.86
남동,30,Strong,100,1
남동,30,Strong,300,0.99
남동,30,Strong,500,0.98
남동,30,Strong,750,0.95
남동,30,Strong,1000,0.93
남동,45,None,100,0
남동,45,None,300,0
남동,45,None,500,0
남동,45,None,750,0
남동,45,None,1000,0
남동,45,Low,100,0.99
남동,45,Low,300,0.92
남동,45,Low,500,0.85
남동,45,Low,750,0.74
남동,45,Low,1000,0.61
남동,45,Medium,100,1
남동,45,Medium,300,0.97
남동,45,Medium,500,0.94
남동,45,Medium,750,0.9
남동,45,Medium,1000,0.85
남동,45,Strong,100,1
남동,45,Strong,300,0.99
남동,45,Strong,500,0.97
남동,45,Strong,750,0.94
남동,45,Strong,1000,0.91
남동,60,None,100,0
남동,60,None,300,0
남동,60,None,500,0
남동,60,None,750,0
남동,60,None,1000,0
남동,60,Low,100,0.99
남동,60,Low,300,0.94
남동,60,Low,500,0.86
남동,60,Low,750,0.75
남동,60,Low,1000,0.6
남동,60,Medium,100,1
남동,60,Medium,300,0.98
남동,60,Medium,500,0.96
남동,60,Medium,750,0.91
남동,60,Medium,1000,0.86
남동,60,Strong,100,1
남동,60,Strong,300,0.99
남동,60,Strong,500,0.98
남동,60,Strong,750,0.96
남동,60,Strong,1000,0.93
남동,90,None,100,0
남동,90,None,300,0
남동,90,None,500,0
남동,90,None,750,0
남동,90,None,1000,0
남동,90,Low,100,0.99
남동,90,Low,300,0.93
남동,90,Low,500,0.84
남동,90,Low,750,0.66
남동,90,Low,1000,0.5
남동,90,Medium,100,0.99
남동,90,Medium,300,0.98
남동,90,Medium,500,0.95
남동,90,Medium,750,0.9
남동,90,Medium,1000,0.84
남동,90,Strong,100,1
남동,90,Strong,300,0.99
남동,90,Strong,500,0.98
남동,90,Strong,750,0.95
남동,90,Strong,1000,0.92
남서,30,None,100,0
남서,30,None,300,0
남서,30,None,500,0
남서,30,None,750,0
남서,30,None,1000,0
남서,30,Low,100,0.99
남서,30,Low,300,0.94
남서,30,Low,500,0.86
남서,30,Low,750,0.75
남서,30,Low,1000,0.62
남서,30,Medium,100,1
남서,30,Medium,300,0.98
남서,30,Medium,500,0.95
남서,30,Medium,750,0.91
남서,30,Medium,1000,0.86
남서,30,Strong,100,1
남서,30,Strong,300,0.99
남서,30,Strong,500,0.98
남서,30,Strong,750,0.95
남서,30,Strong,1000,0.93
남서,45,None,100,0
남서,45,None,300,0
남서,45,None,500,0
남서,45,None,750,0
남서,45,None,1000,0
남서,45,Low,100,0.99
남서,45,Low,300,0.92
남서,45,Low,500,0.85
