K,γF,γW,hg/hw,ηR
0.6,30,30,1,0.39
0.6,30,45,1,0.39
0.6,30,60,1,0.41
0.6,30,75,1,0.4
0.6,45,45,1,0.37
0.6,60,30,1,0.34
0.6,60,45,1,0.35
0.6,60,60,1,0.36
0.6,60,75,1,0.35
0.6,90,30,1,0.29
0.6,90,45,1,0.3
0.6,90,60,1,0.31
0.6,90,75,1,0.31
0.6,30,30,0.5,0.38
0.6,30,45,0.5,0.39
0.6,30,60,0.5,0.39
0.6,30,75,0.5,0.4
0.6,45,45,0.5,0.36
0.6,60,30,0.5,0.33
0.6,60,45,0.5,0.34
0.6,60,60,0.5,0.35
0.6,60,75,0.5,0.36
0.6,90,30,0.5,0.29
0.6,90,45,0.5,0.29
0.6,90,60,0.5,0.3
0.6,90,75,0.5,0.3
0.8,30,30,1,0.51
0.8,30,45,1,0.52
0.8,30,60,1,0.53
0.8,30,75,1,0.5
0.8,45,45,1,0.49
0.8,60,30,1,0.44
0.8,60,45,1,0.45
0.8,60,60,1,0.46
0.8,60,75,1,0.44
0.8,90,30,1,0.37
0.8,90,45,1,0.39
0.8,90,60,1,0.39
0.8,90,75,1,0.38
0.8,30,30,0.5,0.5
0.8,30,45,0.5,0.51
0.8,30,60,0.5,0.52
0.8,30,75,0.5,0.51
0.8,45,45,0.5,0.48
0.8,60,30,0.5,0.43
0.8,60,45,0.5,0.44
0.8,60,60,0.5,0.45
0.8,60,75,0.5,0.44
0.8,90,30,0.5,0.37
0.8,90,45,0.5,0.37
0.8,90,60,0.5,0.38
0.8,90,75,0.5,0.38
1,30,30,1,0.57
1,30,45,1,0.58
1,30,60,1,0.58
1,30,75,1,0.55
1,45,45,1,0.55
1,60,30,1,0.5
1,60,45,1,0.52
1,60,60,1,0.51
1,60,75,1,0.49
1,90,30,1,0.44
1,90,45,1,0.45
1,90,60,1,0.45
1,90,75,1,0.44
1,30,30,0.5,0.56
1,30,45,0.5,0.57
1,30,60,0.5,0.57
1,30,75,0.5,0.56
1,45,45,0.5,0.53
1,60,30,0.5,0.49
1,60,45,0.5,0.5
1,60,60,0.5,0.51
1,60,75,0.5,0.5
1,90,30,0.5,0.43
1,90,45,0.5,0.44
1,90,60,0.5,0.44
1,90,75,0.5,0.44
1.25,30,30,1,0.66
1.25,30,45,1,0.66
1.25,30,60,1,0.65
1.25,30,75,1,0.62
1.25,45,45,1,0.62
1.25,60,30,1,0.58
1.25,60,45,1,0.59
1.25,60,60,1,0.58
1.25,60,75,1,0.55
1.25,90,30,1,0.51
1.25,90,45,1,0.51
1.25,90,60,1,0.51
1.25,90,75,1,0.49
1.25,30,30,0.5,0.65
1.25,30,45,0.5,0.65
1.25,30,60,0.5,0.65
1.25,30,75,0.5,0.4
1.25,45,45,0.5,0.61
1.25,60,30,0.5,0.57
1.25,60,45,0.5,0.58
1.25,60,60,0.5,0.58
1.25,60,75,0.5,0.56
1.25,90,30,0.5,0.5
1.25,90,45,0.5,0.51
1.25,90,60,0.5,0.5
1.25,90,75,0.5,0.5
1.5,30,30,1,0.72
1.5,30,45,1,0.72
1.5,30,60,1,0.71
1.5,30,75,1,0.67
1.5,45,45,1,0.68
1.5,60,30,1,0.64
1.5,60,45,1,0.64
1.5,60,60,1,0.63
1.5,60,75,1,0.6
1.5,90,30,1,0.56
1.5,90,45,1,0.56
1.5,90,60,1,0.56
1.5,90,75,1,0.54
1.5,30,30,0.5,0.71
1.5,30,45,0.5,0.71
1.5,30,60,0.5,0.71
1.5,30,75,0.5,0.69
1.5,45,45,0.5,0.67
1.5,60,30,0.5,0.62
1.5,60,45,0.5,0.63
1.5,60,60,0.5,0.63
1.5,60,75,0.5,0.61
1.5,90,30,0.5,0.55
1.5,90,45,0.5,0.56
1.5,90,60,0.5,0.55
1.5,90,75,0.5,0.55
2,30,30,1,0.8
2,30,45,1,0.79
2,30,60,1,0.77
2,30,75,1,0.73
2,45,45,1,0.8
2,60,30,1,0.77
2,60,45,1,0.76
2,60,60,1,0.73
2,60,75,1,0.7
2,90,30,1,0.69
2,90,45,1,0.68
2,90,60,1,0.66
2,90,75,1,0.64
2,30,30,0.5,0.84
2,30,45,0.5,0.84
2,30,60,0.5,0.83
2,30,75,0.5,0.8
2,45,45,0.5,0.8
2,60,30,0.5,0.76
2,60,45,0.5,0.76
2,60,60,0.5,0.75
2,60,75,0.5,0.72
2,90,30,0.5,0.68
2,90,45,0.5,0.68
2,90,60,0.5,0.67
2,90,75,0.5,0.65
2.5,30,30,1,0.85
2.5,30,45,1,0.84
2.5,30,60,1,0.81
2.5,30,75,1,0.77
2.5,45,45,1,0.8
2.5,60,30,1,0.77
2.5,60,45,1,0.76
2.5,60,60,1,0.73
2.5,60,75,1,0.7
2.5,90,30,1,0.69
2.5,90,45,1,0.68
2.5,90,60,1,0.66
2.5,90,75,1,0.64
2.5,30,30,0.5,0.84
2.5,30,45,0.5,0.84
2.5,30,60,0.5,0.83
2.5,30,75,0.5,0.8
2.5,45,45,0.5,0.8
2.5,60,30,0.5,0.76
2.5,60,45,0.5,0.76
2.5,60,60,0.5,0.75
2.5,60,75,0.5,0.72
2.5,90,30,0.5,0.68
2.5,90,45,0.5,0.68
2.5,90,60,0.5,0.67
2.5,90,75,0.5,0.65
3,30,30,1,0.88
3,30,45,1,0.88
3,30,60,1,0.84
3,30,75,1,0.8
3,45,45,1,0.83
3,60,30,1,0.81
3,60,45,1,0.79
3,60,60,1,0.76
3,60,75,1,0.72
3,90,30,1,0.72
3,90,45,1,0.71
3,90,60,1,0.69
3,90,75,1,0.67
3,30,30,0.5,0.88
3,30,45,0.5,0.88
3,30,60,0.5,0.86
3,30,75,0.5,0.83
3,45,45,0.5,0.84
3,60,30,0.5,0.8
3,60,45,0.5,0.8
3,60,60,0.5,0.78
3,60,75,0.5,0.75
3,90,30,0.5,0.72
3,90,45,0.5,0.71
3,90,60,0.5,0.7
3,90,75,0.5,0.68
4,30,30,1,0.94
4,30,45,1,0.92
4,30,60,1,0.88
4,30,75,1,0.84
4,45,45,1,0.87
4,60,30,1,0.85
4,60,45,1,0.83
4,60,60,1,0.8
4,60,75,1,0.76
4,90,30,1,0.77
4,90,45,1,0.75
4,90,60,1,0.73
4,90,75,1,0.7
4,30,30,0.5,0.93
4,30,45,0.5,0.93
4,30,60,0.5,0.91
4,30,75,0.5,0.87
4,45,45,0.5,0.88
4,60,30,0.5,0.85
4,60,45,0.5,0.84
4,60,60,0.5,0.82
4,60,75,0.5,0.79
4,90,30,0.5,0.77
4,90,45,0.5,0.76
4,90,60,0.5,0.75
4,90,75,0.5,0.72
5,30,30,1,0.97
5,30,45,1,0.95
5,30,60,1,0.91
5,30,75,1,0.87
5,45,45,1,0.9
5,60,30,1,0.89
5,60,45,1,0.86
5,60,60,1,0.82
5,60,75,1,0.78
5,90,30,1,0.8
5,90,45,1,0.78
5,90,60,1,0.75
5,90,75,1,0.73
5,30,30,0.5,0.97
5,30,45,0.5,0.96
5,30,60,0.5,0.93
5,30,75,0.5,0.9
5,45,45,0.5,0.92
5,60,30,0.5,0.89
5,60,45,0.5,0.88
5,60,60,0.5,0.85
5,60,75,0.5,0.81
5,90,30,0.5,0.8
5,90,45,0.5,0.79
5,90,60,0.5,0.77
5,90,75,0.5,0.75
