K,γW,hs/bs,as/bs,ηR
0.6,30,0.25,1,0.4
0.6,60,0.25,1,0.41
0.6,90,0.25,1,0.38
0.6,30,0.25,2,0.4
0.6,60,0.25,2,0.4
0.6,90,0.25,2,0.39
0.6,30,0.25,5,0.41
0.6,60,0.25,5,0.41
0.6,90,0.25,5,0.4
0.6,30,0.5,1,0.4
0.6,60,0.5,1,0.41
0.6,90,0.5,1,0.36
0.6,30,0.5,2,0.4
0.6,60,0.5,2,0.41
0.6,90,0.5,2,0.37
0.6,30,0.5,5,0.42
0.6,60,0.5,5,0.43
0.6,90,0.5,5,0.39
0.8,30,0.25,1,0.53
0.8,60,0.25,1,0.54
0.8,90,0.25,1,0.5
0.8,30,0.25,2,0.53
0.8,60,0.25,2,0.54
0.8,90,0.25,2,0.51
0.8,30,0.25,5,0.54
0.8,60,0.25,5,0.55
0.8,90,0.25,5,0.52
0.8,30,0.5,1,0.53
0.8,60,0.5,1,0.55
0.8,90,0.5,1,0.46
0.8,30,0.5,2,0.53
0.8,60,0.5,2,0.55
0.8,90,0.5,2,0.49
0.8,30,0.5,5,0.55
0.8,60,0.5,5,0.57
0.8,90,0.5,5,0.51
1,30,0.25,1,0.59
1,60,0.25,1,0.6
1,90,0.25,1,0.56
1,30,0.25,2,0.59
1,60,0.25,2,0.6
1,90,0.25,2,0.57
1,30,0.25,5,0.6
1,60,0.25,5,0.61
1,90,0.25,5,0.59
1,30,0.5,1,0.6
1,60,0.5,1,0.61
1,90,0.5,1,0.51
1,30,0.5,2,0.6
1,60,0.5,2,0.61
1,90,0.5,2,0.54
1,30,0.5,5,0.62
1,60,0.5,5,0.66
1,90,0.5,5,0.56
1.25,30,0.25,1,0.68
1.25,60,0.25,1,0.69
1.25,90,0.25,1,0.64
1.25,30,0.25,2,0.68
1.25,60,0.25,2,0.69
1.25,90,0.25,2,0.66
1.25,30,0.25,5,0.69
1.25,60,0.25,5,0.7
1.25,90,0.25,5,0.67
1.25,30,0.5,1,0.69
1.25,60,0.5,1,0.69
1.25,90,0.5,1,0.58
1.25,30,0.5,2,0.69
1.25,60,0.5,2,0.7
1.25,90,0.5,2,0.62
1.25,30,0.5,5,0.71
1.25,60,0.5,5,0.72
1.25,90,0.5,5,0.64
1.5,30,0.25,1,0.75
1.5,60,0.25,1,0.75
1.5,90,0.25,1,0.69
1.5,30,0.25,2,0.75
1.5,60,0.25,2,0.75
1.5,90,0.25,2,0.71
1.5,30,0.25,5,0.76
1.5,60,0.25,5,0.76
1.5,90,0.25,5,0.72
1.5,30,0.5,1,0.76
1.5,60,0.5,1,0.75
1.5,90,0.5,1,0.63
1.5,30,0.5,2,0.76
1.5,60,0.5,2,0.76
1.5,90,0.5,2,0.67
1.5,30,0.5,5,0.78
1.5,60,0.5,5,0.78
1.5,90,0.5,5,0.69
2,30,0.25,1,0.83
2,60,0.25,1,0.83
2,90,0.25,1,0.77
2,30,0.25,2,0.83
2,60,0.25,2,0.83
2,90,0.25,2,0.79
2,30,0.25,5,0.84
2,60,0.25,5,0.84
2,90,0.25,5,0.8
2,30,0.5,1,0.84
2,60,0.5,1,0.82
2,90,0.5,1,0.69
2,30,0.5,2,0.84
2,60,0.5,2,0.83
2,90,0.5,2,0.79
2,30,0.5,5,0.87
2,60,0.5,5,0.85
2,90,0.5,5,0.75
2.5,30,0.25,1,0.89
2.5,60,0.25,1,0.88
2.5,90,0.25,1,0.81
2.5,30,0.25,2,0.89
2.5,60,0.25,2,0.88
2.5,90,0.25,2,0.84
2.5,30,0.25,5,0.9
2.5,60,0.25,5,0.89
2.5,90,0.25,5,0.85
2.5,30,0.5,1,0.9
2.5,60,0.5,1,0.87
2.5,90,0.5,1,0.73
2.5,30,0.5,2,0.9
2.5,60,0.5,2,0.88
2.5,90,0.5,2,0.77
2.5,30,0.5,5,0.92
2.5,60,0.5,5,0.9
2.5,90,0.5,5,0.79
3,30,0.25,1,0.93
3,60,0.25,1,0.92
3,90,0.25,1,0.85
3,30,0.25,2,0.93
3,60,0.25,2,0.92
3,90,0.25,2,0.87
3,30,0.25,5,0.94
3,60,0.25,5,0.93
3,90,0.25,5,0.88
3,30,0.5,1,0.94
3,60,0.5,1,0.9
3,90,0.5,1,0.76
3,30,0.5,2,0.94
3,60,0.5,2,0.91
3,90,0.5,2,0.81
3,30,0.5,5,0.96
3,60,0.5,5,0.93
3,90,0.5,5,0.86
4,30,0.25,1,0.98
4,60,0.25,1,0.96
4,90,0.25,1,0.9
4,30,0.25,2,0.98
4,60,0.25,2,0.97
4,90,0.25,2,0.92
4,30,0.25,5,0.99
4,60,0.25,5,0.98
4,90,0.25,5,0.93
4,30,0.5,1,0.99
4,60,0.5,1,0.95
4,90,0.5,1,0.8
4,30,0.5,2,0.98
4,60,0.5,2,0.96
4,90,0.5,2,0.85
4,30,0.5,5,1
4,60,0.5,5,0.98
4,90,0.5,5,0.87
5,30,0.25,1,1.02
5,60,0.25,1,1
5,90,0.25,1,0.92
5,30,0.25,2,1.02
5,60,0.25,2,1
5,90,0.25,2,0.95
5,30,0.25,5,1.03
5,60,0.25,5,1.01
5,90,0.25,5,0.96
5,30,0.5,1,1.02
5,60,0.5,1,0.97
5,90,0.5,1,0.82
5,30,0.5,2,1.02
5,60,0.5,2,0.99
5,90,0.5,2,0.87
5,30,0.5,5,1.04
5,60,0.5,5,1.01
5,90,0.5,5,0.89
