방위,기준조도,D,FD_S_SNA
남,100,0.125,0.26
남,100,0.5,0.78
남,100,1,0.87
남,100,1.5,0.91
남,100,2,0.9
남,100,3,0.92
남,100,5,0.92
남,100,8,0.94
남,100,12,0.94
남,100,18,0.95
남,300,0.125,0.2
남,300,0.5,0.6
남,300,1,0.73
남,300,1.5,0.82
남,300,2,0.81
남,300,3,0.86
남,300,5,0.88
남,300,8,0.91
남,300,12,0.92
남,300,18,0.93
남,500,0.125,0.146748592
남,500,0.5,0.441152808
남,500,1,0.600735672
남,500,1.5,0.732667769
남,500,2,0.734109968
남,500,3,0.807876337
남,500,5,0.836270838
남,500,8,0.882989509
남,500,12,0.901080047
남,500,18,0.908195649
남,750,0.125,0.102886827
남,750,0.5,0.307846416
남,750,1,0.463034778
남,750,1.5,0.627806005
남,750,2,0.644132603
남,750,3,0.743109968
남,750,5,0.785109968
남,750,8,0.846341171
남,750,12,0.874873908
남,750,18,0.883361376
남,1000,0.125,0.079095396
남,1000,0.5,0.341130072
남,1000,1,0.36231125
남,1000,1.5,0.532245775
남,1000,2,0.559014573
남,1000,3,0.682574802
남,1000,5,0.742994367
남,1000,8,0.817738101
남,1000,12,0.852434137
남,1000,18,0.862200506
남동,100,0.125,0.25671464
남동,100,0.5,0.769690403
남동,100,1,0.857313679
남동,100,1.5,0.897031135
남동,100,2,1.186614132
남동,100,3,0.908877939
남동,100,5,0.91107519
남동,100,8,0.926806392
남동,100,12,0.929364193
남동,100,18,0.93423606
남동,300,0.125,0.187413105
남동,300,0.5,0.562692832
남동,300,1,0.684320965
남동,300,1.5,0.768099865
남동,300,2,0.759250633
남동,300,3,0.811086119
남동,300,5,0.824259521
남동,300,8,0.854141491
남동,300,12,0.865988295
남동,300,18,0.87528983
남동,500,0.125,0.137748592
남동,500,0.5,0.413199292
남동,500,1,0.562631388
남동,500,1.5,0.686191618
남동,500,2,0.6876803
남동,500,3,0.756342385
남동,500,5,0.782457986
남동,500,8,0.825979406
남동,500,12,0.84296566
남동,500,18,0.853813679
남동,750,0.125,0.092829027
