방위,γF,trel_D_SNA,trel_D_SA
수평,0,0.61,0.39
남,30,0.61,0.39
남,45,0.61,0.39
남,60,0.61,0.39
남,90,0.59,0.41
남동,30,0.61,0.39
남동,45,0.6,0.4
남동,60,0.56,0.44
남동,90,0.45,0.55
남서,30,0.61,0.39
남서,45,0.6,0.4
남서,60,0.56,0.44
남서,90,0.45,0.55
서,30,0.58,0.42
서,45,0.51,0.49
서,60,0.44,0.56
서,90,0.32,0.68
동,30,0.58,0.42
동,45,0.51,0.49
동,60,0.44,0.56
동,90,0.32,0.68
북동,30,0.56,0.44
북동,45,0.47,0.53
북동,60,0.35,0.65
북동,90,0.18,0.82
북서,30,0.56,0.44
북서,45,0.47,0.53
북서,60,0.35,0.65
북서,90,0.18,0.82
북,30,0.54,0.46
북,45,0.44,0.56
북,60,0.33,0.67
북,90,0.03,0.97
