번호	DB유형	제품명	제조사	구조유형	열교유형	선형열관류율	A	B	C	수직간격	수평간격
TBS_001	표준	금속스터드	IPAZEB	경량철골조	금속스터드	0.148	0.0007	-0.5941	221.59	600	0
TBS_002	표준	덧댐≤50_금속스터드	IPAZEB	경량철골조	금속스터드	0.043	-0.0005	0.2317	19.66	600	0
TBS_003	표준	덧댐>50_금속스터드	IPAZEB	경량철골조	금속스터드	0.028	-0.0003	0.1808	7.1679	600	0
TBS_004	표준	단열패널	IPAZEB	경량철골조	단열패널	0.011	0.0001	-6.E-02	17.131	1000	0
TBS_005	표준	목재스터드	IPAZEB	목구조	목재스터드	0.018	0.0003	-0.1647	35.939	400	0
TBS_006	표준	덧댐≤50_목재스터드	IPAZEB	목구조	목재스터드	0.009	-0.0002	0.0682	3.1779	400	0
TBS_007	표준	덧댐>50_목재스터드	IPAZEB	목구조	목재스터드	0.004	-0.0002	0.107	-7.2897	400	0
TBS_008	표준	금속트러스	IPAZEB	콘크리트조	트러스(선형)	0.099	-0.001	0.2448	84.392	900	0
TBS_009	표준	목재트러스	IPAZEB	콘크리트조	트러스(선형)	0.021	0.0007	-0.3299	54.966	900	0
TBS_010	표준	금속스터드(내)	IPAZEB	콘크리트조	내단열	0.085	-0.0008	0.2169	70.575	600	0
TBS_011	표준	목재스터드(내)	IPAZEB	콘크리트조	내단열	0.020	0.0007	-0.3049	49.577	600	0
TBS_012	인증	티푸스STUD	티푸스코리아	콘크리트조	트러스(선형)	0.055	0.0042	-1.6409	206.21	900	0
