번호	DB유형	제품명	제조사	구조유형	열교유형	선형열관류율	A	B	C	수직간격	수평간격
TBS_001	표준	일반형	IPAZEB	경량철골조	경량_일반형	0.148	0.0007	-0.5941	221.59	1000	0
TBS_002	표준	≤T50덧댐형	IPAZEB	경량철골조	경량_덧댐형	0.043	-0.0005	0.2317	19.66	1000	0
TBS_003	표준	>T50덧댐형	IPAZEB	경량철골조	경량_덧댐형	0.028	-0.0003	0.1808	7.1679	1000	0
TBS_004	표준	일반형	IPAZEB	목구조	목조_일반형	0.018	0.0003	-0.1647	35.939	600	0
TBS_005	표준	≤T50덧댐형	IPAZEB	목구조	목조_덧댐형	0.009	-0.0002	0.0682	3.1779	600	0
TBS_006	표준	>T50덧댐형	IPAZEB	목구조	목조_덧댐형	0.004	-0.0002	0.107	-7.2897	600	0
TBS_007	표준	보선형(끊김)	IPAZEB	콘크리트조	내단열(보선형)	1.138	-0.0002	-2.068	1453	6000	8000
TBS_008	표준	보선형(부분)	IPAZEB	콘크리트조	내단열(보선형)	0.560	-0.0011	-0.5906	672.96	6000	8000
TBS_009	표준	보선형(연결)	IPAZEB	콘크리트조	내단열(보선형)	0.077	0.0067	-2.751	338.82	6000	8000
TBS_010	표준	목재스터드	IPAZEB	콘크리트조	트러스(선형)	0.021	0.0008	-0.3592	56.617	600	0
TBS_011	표준	(내)목재스터드	IPAZEB	콘크리트조	내부덧댐	0.118	0.0007	0.326	53.334	600	0
TBS_012	표준	(내)금속스터드	IPAZEB	콘크리트조	내부덧댐	0.085	-0.0008	0.2169	70.575	1000	0
TBS_013	인증	열교차단TIFUS	티푸스코리아	콘크리트조	트러스(선형)	0.055	0.0042	-1.6409	206.21	1000	0
TBS_014	표준	단열패널	IPAZEB	경량철골조	경량_단열패널	0.011	0.0001	-0.0566	17.131	1000	0
TBS_015	표준	단열패널	IPAZEB	콘크리트조	단열패널	0.011	0.0001	-0.0566	17.131	1000	0
