번호	DB유형	제품명	구분1	구분2	구분3	구분4	이미지_열교유형
WS_001	표준	표준설치열교	내단열	플라스틱	단창	외부측	
WS_002	표준	표준설치열교	내단열	플라스틱	단창	중간	
WS_003	표준	표준설치열교	내단열	플라스틱	단창	내부측	
WS_004	표준	표준설치열교	내단열	플라스틱	이중창	외부측	
WS_005	표준	표준설치열교	내단열	플라스틱	이중창	중간	
WS_006	표준	표준설치열교	내단열	플라스틱	이중창	내부측	
WS_007	표준	표준설치열교	내단열	금속	단창	외부측	
WS_008	표준	표준설치열교	내단열	금속	단창	중간	
WS_009	표준	표준설치열교	내단열	금속	단창	내부측	
WS_010	표준	표준설치열교	내단열	금속	이중창	외부측	
WS_011	표준	표준설치열교	내단열	금속	이중창	중간	
WS_012	표준	표준설치열교	내단열	금속	이중창	내부측	
WS_013	표준	표준설치열교	외단열	플라스틱	단창	외부측	
WS_014	표준	표준설치열교	외단열	플라스틱	단창	중간	
WS_015	표준	표준설치열교	외단열	플라스틱	단창	내부측	
WS_016	표준	표준설치열교	외단열	플라스틱	이중창	외부측	
WS_017	표준	표준설치열교	외단열	플라스틱	이중창	중간	
WS_018	표준	표준설치열교	외단열	플라스틱	이중창	내부측	
WS_019	표준	표준설치열교	외단열	금속	단창	외부측	
WS_020	표준	표준설치열교	외단열	금속	단창	중간	
WS_021	표준	표준설치열교	외단열	금속	단창	내부측	
WS_022	표준	표준설치열교	외단열	금속	이중창	외부측	
WS_023	표준	표준설치열교	외단열	금속	이중창	중간	
WS_024	표준	표준설치열교	외단열	금속	이중창	내부측	
WS_025	표준	표준설치열교	목구조	플라스틱	단창	외부측	
WS_026	표준	표준설치열교	목구조	플라스틱	단창	중간	
WS_027	표준	표준설치열교	목구조	플라스틱	단창	내부측	
WS_028	표준	표준설치열교	목구조	플라스틱	이중창	외부측	
WS_029	표준	표준설치열교	목구조	플라스틱	이중창	중간	
WS_030	표준	표준설치열교	목구조	플라스틱	이중창	내부측	
WS_031	표준	표준설치열교	목구조	금속	단창	외부측	
WS_032	표준	표준설치열교	목구조	금속	단창	중간	
WS_033	표준	표준설치열교	목구조	금속	단창	내부측	
WS_034	표준	표준설치열교	목구조	금속	이중창	외부측	
WS_035	표준	표준설치열교	목구조	금속	이중창	중간	
WS_036	표준	표준설치열교	목구조	금속	이중창	내부측	
WS_037	표준	표준설치열교	경량철골조	플라스틱	단창	외부측	
WS_038	표준	표준설치열교	경량철골조	플라스틱	단창	중간	
WS_039	표준	표준설치열교	경량철골조	플라스틱	단창	내부측	
WS_040	표준	표준설치열교	경량철골조	플라스틱	이중창	외부측	
WS_041	표준	표준설치열교	경량철골조	플라스틱	이중창	중간	
WS_042	표준	표준설치열교	경량철골조	플라스틱	이중창	내부측	
WS_043	표준	표준설치열교	경량철골조	금속	단창	외부측	
WS_044	표준	표준설치열교	경량철골조	금속	단창	중간	
WS_045	표준	표준설치열교	경량철골조	금속	단창	내부측	
WS_046	표준	표준설치열교	경량철골조	금속	이중창	외부측	
WS_047	표준	표준설치열교	경량철골조	금속	이중창	중간	
WS_048	표준	표준설치열교	경량철골조	금속	이중창	내부측	
