번호	DB유형	제품명	구분1	구분2	구분3	구분4	"상부설치
선형열관류율"	"측면설치
선형열관류율"	"하부설치
선형열관류율"
번호	DB유형	제품명	구분1	구분2	구분3	구분4	"Ψg,fix"	"Ψg,t"	"Ψg,t"
번호	DB유형	제품명	구분1	구분2	구분3	구분4	[W/m·K]	[W/m·K]	[W/m·K]
WS_001	표준	표준설치열교	내단열	플라스틱	단창	외부측	0.627	0.627	0.627
WS_002	표준	표준설치열교	내단열	플라스틱	단창	중간	0.104	0.104	0.104
WS_003	표준	표준설치열교	내단열	플라스틱	단창	내부측	0.009	0.009	0.009
WS_004	표준	표준설치열교	내단열	플라스틱	이중창	외부측	0.045	0.045	0.045
WS_005	표준	표준설치열교	내단열	플라스틱	이중창	중간	0.008	0.008	0.008
WS_006	표준	표준설치열교	내단열	플라스틱	이중창	내부측	0.000	0.000	0.000
WS_007	표준	표준설치열교	내단열	금속	단창	외부측	0.611	0.611	0.611
WS_008	표준	표준설치열교	내단열	금속	단창	중간	0.081	0.081	0.081
WS_009	표준	표준설치열교	내단열	금속	단창	내부측	0.052	0.052	0.052
WS_010	표준	표준설치열교	내단열	금속	이중창	외부측	0.037	0.037	0.037
WS_011	표준	표준설치열교	내단열	금속	이중창	중간	0.000	0.000	0.000
WS_012	표준	표준설치열교	내단열	금속	이중창	내부측	0.000	0.000	0.000
WS_013	표준	표준설치열교	외단열	플라스틱	단창	외부측	0.010	0.010	0.010
WS_014	표준	표준설치열교	외단열	플라스틱	단창	중간	0.136	0.136	0.136
WS_015	표준	표준설치열교	외단열	플라스틱	단창	내부측	0.893	0.893	0.893
WS_016	표준	표준설치열교	외단열	플라스틱	이중창	외부측	0.021	0.021	0.021
WS_017	표준	표준설치열교	외단열	플라스틱	이중창	중간	0.054	0.054	0.054
WS_018	표준	표준설치열교	외단열	플라스틱	이중창	내부측	0.120	0.120	0.120
WS_019	표준	표준설치열교	외단열	금속	단창	외부측	0.026	0.026	0.026
WS_020	표준	표준설치열교	외단열	금속	단창	중간	0.188	0.188	0.188
WS_021	표준	표준설치열교	외단열	금속	단창	내부측	0.906	0.906	0.906
WS_022	표준	표준설치열교	외단열	금속	이중창	외부측	0.000	0.000	0.000
WS_023	표준	표준설치열교	외단열	금속	이중창	중간	0.170	0.170	0.170
WS_024	표준	표준설치열교	외단열	금속	이중창	내부측	0.246	0.246	0.246
WS_025	표준	표준설치열교	목구조	플라스틱	단창	외부측	0.069	0.069	0.069
WS_026	표준	표준설치열교	목구조	플라스틱	단창	중간	0.054	0.054	0.054
WS_027	표준	표준설치열교	목구조	플라스틱	단창	내부측	0.070	0.070	0.070
WS_028	표준	표준설치열교	목구조	플라스틱	이중창	외부측	0.015	0.015	0.015
WS_029	표준	표준설치열교	목구조	플라스틱	이중창	중간	0.016	0.016	0.016
WS_030	표준	표준설치열교	목구조	플라스틱	이중창	내부측	0.017	0.017	0.017
WS_031	표준	표준설치열교	목구조	금속	단창	외부측	0.075	0.075	0.075
WS_032	표준	표준설치열교	목구조	금속	단창	중간	0.066	0.066	0.066
WS_033	표준	표준설치열교	목구조	금속	단창	내부측	0.090	0.090	0.090
WS_034	표준	표준설치열교	목구조	금속	이중창	외부측	0.031	0.031	0.031
WS_035	표준	표준설치열교	목구조	금속	이중창	중간	0.035	0.035	0.035
WS_036	표준	표준설치열교	목구조	금속	이중창	내부측	0.038	0.038	0.038
WS_037	표준	표준설치열교	경량철골조	플라스틱	단창	외부측	0.239	0.239	0.239
WS_038	표준	표준설치열교	경량철골조	플라스틱	단창	중간	0.238	0.238	0.238
WS_039	표준	표준설치열교	경량철골조	플라스틱	단창	내부측	0.207	0.207	0.207
WS_040	표준	표준설치열교	경량철골조	플라스틱	이중창	외부측	0.121	0.121	0.121
WS_041	표준	표준설치열교	경량철골조	플라스틱	이중창	중간	0.118	0.118	0.118
WS_042	표준	표준설치열교	경량철골조	플라스틱	이중창	내부측	0.114	0.114	0.114
WS_043	표준	표준설치열교	경량철골조	금속	단창	외부측	0.244	0.244	0.244
WS_044	표준	표준설치열교	경량철골조	금속	단창	중간	0.241	0.241	0.241
WS_045	표준	표준설치열교	경량철골조	금속	단창	내부측	0.205	0.205	0.205
WS_046	표준	표준설치열교	경량철골조	금속	이중창	외부측	0.142	0.142	0.142
WS_047	표준	표준설치열교	경량철골조	금속	이중창	중간	0.136	0.136	0.136
WS_048	표준	표준설치열교	경량철골조	금속	이중창	내부측	0.131	0.131	0.131
