번호	DB유형	제품명	구분1	구분2	구분4	"상부설치
선형열관류율"	"측면설치
선형열관류율"	"하부설치
선형열관류율"
기호						"Ψg,fix"	"Ψg,t"	"Ψg,t"
단위						[W/m·K]	[W/m·K]	[W/m·K]
WS_001	표준	표준설치열교	내단열	STS	외부측	0.255	0.255	0.255
WS_002	표준	표준설치열교	내단열	STS	중간	0.000	0.000	0.000
WS_003	표준	표준설치열교	내단열	STS	내부측	0.000	0.000	0.000
WS_004	표준	표준설치열교	내단열	일반ALU	외부측	0.321	0.321	0.321
WS_005	표준	표준설치열교	내단열	일반ALU	중간	0.032	0.032	0.032
WS_006	표준	표준설치열교	내단열	일반ALU	내부측	0.000	0.000	0.000
WS_007	표준	표준설치열교	내단열	단열ALU	외부측	0.389	0.389	0.389
WS_008	표준	표준설치열교	내단열	단열ALU	중간	0.081	0.081	0.081
WS_009	표준	표준설치열교	내단열	단열ALU	내부측	0.003	0.003	0.003
WS_010	표준	표준설치열교	외단열	STS	외부측	0.000	0.000	0.000
WS_011	표준	표준설치열교	외단열	STS	중간	0.017	0.017	0.017
WS_012	표준	표준설치열교	외단열	STS	내부측	0.096	0.096	0.096
WS_013	표준	표준설치열교	외단열	일반ALU	외부측	0.000	0.000	0.000
WS_014	표준	표준설치열교	외단열	일반ALU	중간	0.020	0.020	0.020
WS_015	표준	표준설치열교	외단열	일반ALU	내부측	0.132	0.132	0.132
WS_016	표준	표준설치열교	외단열	단열ALU	외부측	0.004	0.004	0.004
WS_017	표준	표준설치열교	외단열	단열ALU	중간	0.026	0.026	0.026
WS_018	표준	표준설치열교	외단열	단열ALU	내부측	0.141	0.141	0.141
WS_019	표준	표준설치열교	목구조	STS	외부측	0.000	0.000	0.000
WS_020	표준	표준설치열교	목구조	STS	중간	0.000	0.000	0.000
WS_021	표준	표준설치열교	목구조	STS	내부측	0.024	0.024	0.024
WS_022	표준	표준설치열교	목구조	일반ALU	외부측	0.002	0.002	0.002
WS_023	표준	표준설치열교	목구조	일반ALU	중간	0.010	0.010	0.010
WS_024	표준	표준설치열교	목구조	일반ALU	내부측	0.042	0.042	0.042
WS_025	표준	표준설치열교	목구조	단열ALU	외부측	0.048	0.048	0.048
WS_026	표준	표준설치열교	목구조	단열ALU	중간	0.046	0.046	0.046
WS_027	표준	표준설치열교	목구조	단열ALU	내부측	0.069	0.069	0.069
WS_028	표준	표준설치열교	경량철골조	STS	외부측	0.073	0.073	0.073
WS_029	표준	표준설치열교	경량철골조	STS	중간	0.094	0.094	0.094
WS_030	표준	표준설치열교	경량철골조	STS	내부측	0.130	0.130	0.130
WS_031	표준	표준설치열교	경량철골조	일반ALU	외부측	0.119	0.119	0.119
WS_032	표준	표준설치열교	경량철골조	일반ALU	중간	0.124	0.124	0.124
WS_033	표준	표준설치열교	경량철골조	일반ALU	내부측	0.150	0.150	0.150
WS_034	표준	표준설치열교	경량철골조	단열ALU	외부측	0.167	0.167	0.167
WS_035	표준	표준설치열교	경량철골조	단열ALU	중간	0.168	0.168	0.168
WS_036	표준	표준설치열교	경량철골조	단열ALU	내부측	0.178	0.178	0.178
								
