번호	DB유형	제품명	제조사	구분1	구분2	"고정부프레임
열관류율"	"개폐부프레임
열관류율"	패널엣지선형열관류율	"M/T
프레임두께"	"fr
프레임두께"										
기호						Umt	Ufr	"Ψp,mt"	Da	dB										
단위						[W/m2?K]	[W/m2?K]	[W/m·K]	[m]	[m]										
CW_01	표준	일반간봉_단열ALU	IPAZEB	단열ALU	일반간봉	3.10	5.24	0.08	0.06	0.06										
CW_02	표준	단열간봉_단열ALU	IPAZEB	단열ALU	단열간봉	3.10	5.24	0.06	0.06	0.06										
CW_03	표준	일반간봉_일반ALU	IPAZEB	일반ALU	일반간봉	4.50	6.03	0.05	0.06	0.06										
CW_04	표준	단열간봉_일반ALU	IPAZEB	일반ALU	단열간봉	4.50	6.03	0.035	0.06	0.06										
CW_05	표준	일반간봉_STS	IPAZEB	STS	일반간봉	6.70	6.60	0.02	0.06	0.06										
CW_06	표준	단열간봉_STS	IPAZEB	STS	단열간봉	6.70	6.60	0.01	0.06	0.06										
CW_07	인증	JA-192	중앙알텍	단열ALU	단열간봉	2.40	1.45	0.039	0.06	0.07										
CW_08	인증	HS162	㈜ 한솔HWD	단열ALU	단열간봉	2.14	7.85	0.05	0.06	0.0576										
CW_09	인증	KYE-CWP42T_155	건양엔지니어링	단열ALU	단열간봉	1.41	2.20	0.038	0.06	0.0573										
CW_10	인증	KYE-CWP43TG_180	건양엔지니어링	단열ALU	단열간봉	1.48	2.37	0.035	0.06	0.0549										
CW_11	인증	WJ-AFP173CH-T08	원진알미늄	단열ALU	단열간봉	1.86	3.67	0.039	0.06	0.0645										
																				
																				
																				
																				
