번호	DB유형	제품명	제조사	복층/삼중/단창	아르곤/공기	LE/CL/V	열관류율	태양열취득율	빛투과율	외부반사율	내부반사율
번호	DB유형	제품명	제조사	복층/삼중/단창	아르곤/공기	LE/CL/V	Ug	SHGC	"τD65,SNA"	ρv	ρ'v
번호	DB유형	제품명	제조사	복층/삼중/단창	아르곤/공기	LE/CL/V	[W/m2?K]	SHGC	"τD65,SNA"	ρv	ρ'v
WG_001	표준	10CL	IPAZEB	단창	공기	CL	5.764	0.861	0.894	0.08	0.08
WG_002	표준	CL/6A/CL	IPAZEB	복층	공기	CL	3.248	0.759	0.804	0.14	0.14
WG_003	표준	CL/8A/CL	IPAZEB	복층	공기	CL	3.053	0.759	0.804	0.14	0.14
WG_004	표준	CL/12A/CL	IPAZEB	복층	공기	CL	2.825	0.759	0.804	0.14	0.14
WG_005	표준	CL/14A/CL	IPAZEB	복층	공기	CL	2.759	0.759	0.804	0.14	0.14
WG_006	표준	CL/6R/CL	IPAZEB	복층	아르곤	CL	3.014	0.759	0.804	0.14	0.14
WG_007	표준	CL/12R/CL	IPAZEB	복층	아르곤	CL	2.669	0.759	0.804	0.14	0.14
WG_008	표준	CL/14R/CL	IPAZEB	복층	아르곤	CL	2.620	0.759	0.804	0.14	0.14
WG_009	표준	LE/6A/CL	IPAZEB	복층	공기	LE	2.495	0.609	0.774	0.11	0.12
WG_010	표준	LE/12A/CL	IPAZEB	복층	공기	LE	1.716	0.601	0.774	0.11	0.12
WG_011	표준	LE/14A/CL	IPAZEB	복층	공기	LE	1.600	0.599	0.774	0.11	0.12
WG_012	표준	LE/6R/CL	IPAZEB	복층	아르곤	LE	2.070	0.605	0.774	0.11	0.12
WG_013	표준	LE/12R/CL	IPAZEB	복층	아르곤	LE	1.403	0.597	0.774	0.11	0.12
WG_014	표준	LE/14R/CL	IPAZEB	복층	아르곤	LE	1.323	0.596	0.774	0.11	0.12
WG_015	표준	CLE/6A/CL	IPAZEB	복층	공기	LE	2.430	0.440	0.402	0.33	0.26
WG_016	표준	CLE/12A/CL	IPAZEB	복층	공기	LE	1.616	0.303	0.402	0.33	0.26
WG_017	표준	CLE/14A/CL	IPAZEB	복층	공기	LE	1.496	0.299	0.402	0.33	0.26
WG_018	표준	CLE/6R/CL	IPAZEB	복층	아르곤	LE	1.987	0.314	0.402	0.33	0.26
WG_019	표준	CLE/12R/CL	IPAZEB	복층	아르곤	LE	1.286	0.293	0.402	0.33	0.26
WG_020	표준	CLE/14R/CL	IPAZEB	복층	아르곤	LE	1.204	0.289	0.402	0.33	0.26
WG_021	표준	CL/V/LE/6A/CL	IPAZEB	삼중	공기	V	0.713	0.561	0.698	0.17	0.16
WG_022	표준	CL/V/LE/12A/CL	IPAZEB	삼중	공기	V	0.689	0.563	0.698	0.17	0.16
WG_023	표준	CL/V/LE/14A/CL	IPAZEB	삼중	공기	V	0.684	0.563	0.698	0.17	0.16
WG_024	표준	CL/V/LE/6R/CL	IPAZEB	삼중	아르곤	V	0.701	0.562	0.698	0.17	0.16
WG_025	표준	CL/V/LE/12R/CL	IPAZEB	삼중	아르곤	V	0.679	0.563	0.698	0.17	0.16
WG_026	표준	CL/V/LE/14R/CL	IPAZEB	삼중	아르곤	V	0.675	0.564	0.698	0.17	0.16
WG_027	표준	CL/6A/CL/6A/CL	IPAZEB	삼중	공기	CL	2.268	0.678	0.728	0.20	0.20
WG_028	표준	CL/12A/CL/12A/CL	IPAZEB	삼중	공기	CL	1.877	0.678	0.728	0.20	0.20
WG_029	표준	CL/14A/CL/14A/CL	IPAZEB	삼중	공기	CL	1.815	0.678	0.728	0.20	0.20
WG_030	표준	CL/6R/CL/6R/CL	IPAZEB	삼중	아르곤	CL	2.048	0.678	0.728	0.20	0.20
WG_031	표준	CL/12R/CL/12R/CL	IPAZEB	삼중	아르곤	CL	1.742	0.678	0.728	0.20	0.20
WG_032	표준	CL/14R/CL/14R/CL	IPAZEB	삼중	아르곤	CL	1.696	0.678	0.728	0.20	0.20
WG_033	표준	LE/6A/CL/6A/LE	IPAZEB	삼중	공기	LE	1.595	0.516	0.671	0.13	0.13
WG_034	표준	LE/12A/CL/12A/LE	IPAZEB	삼중	공기	LE	1.002	0.510	0.671	0.13	0.13
WG_035	표준	LE/14A/CL/14A/LE	IPAZEB	삼중	공기	LE	0.907	0.509	0.671	0.13	0.13
WG_036	표준	LE/6R/CL/6R/LE	IPAZEB	삼중	아르곤	LE	1.264	0.513	0.671	0.13	0.13
WG_037	표준	LE/12R/CL/12R/LE	IPAZEB	삼중	아르곤	LE	0.789	0.508	0.671	0.13	0.13
WG_038	표준	LE/14R/CL/14R/LE	IPAZEB	삼중	아르곤	LE	0.718	0.507	0.671	0.13	0.13
WG_039	표준	CLE/6A/CL/6A/LE	IPAZEB	삼중	공기	LE	1.543	0.229	0.189	0.37	0.37
WG_040	표준	CLE/12A/CL/12A/LE	IPAZEB	삼중	공기	LE	0.932	0.213	0.189	0.37	0.37
WG_041	표준	CLE/14A/CL/14A/LE	IPAZEB	삼중	공기	LE	0.835	0.210	0.189	0.37	0.37
WG_042	표준	CLE/6R/CL/6R/LE	IPAZEB	삼중	아르곤	LE	1.203	0.220	0.189	0.37	0.37
WG_043	표준	CLE/12R/CL/12R/LE	IPAZEB	삼중	아르곤	LE	0.712	0.206	0.189	0.37	0.37
WG_044	표준	CLE/14R/CL/14R/LE	IPAZEB	삼중	아르곤	LE	0.640	0.204	0.189	0.37	0.37
