월	일	휴일수	주간일수	이용일수
1월	31	2	주 7.0 일 근무	31
2월	28	1	주 7.0 일 근무	28
3월	31	1	주 7.0 일 근무	31
4월	30	0	주 7.0 일 근무	30
5월	31	2	주 7.0 일 근무	31
6월	30	1	주 7.0 일 근무	30
7월	31	1	주 7.0 일 근무	31
8월	31	1	주 7.0 일 근무	31
9월	30	2	주 7.0 일 근무	30
10월	31	2	주 7.0 일 근무	31
11월	30	0	주 7.0 일 근무	30
12월	31	1	주 7.0 일 근무	31
 연간	365	14	주 7.0 일 근무	365
1월	31	2	주 6.0 일 근무	24.57142857
2월	28	1	주 6.0 일 근무	23
3월	31	1	주 6.0 일 근무	25.57142857
4월	30	0	주 6.0 일 근무	25.71428571
5월	31	2	주 6.0 일 근무	24.57142857
6월	30	1	주 6.0 일 근무	24.71428571
7월	31	1	주 6.0 일 근무	25.57142857
8월	31	1	주 6.0 일 근무	25.57142857
9월	30	2	주 6.0 일 근무	23.71428571
10월	31	2	주 6.0 일 근무	24.57142857
11월	30	0	주 6.0 일 근무	25.71428571
12월	31	1	주 6.0 일 근무	25.57142857
 연간	365	14	주 6.0 일 근무	298.8571429
1월	31	2	주 5.5 일 근무	22.35714286
2월	28	1	주 5.5 일 근무	21
3월	31	1	주 5.5 일 근무	23.35714286
4월	30	0	주 5.5 일 근무	23.57142857
5월	31	2	주 5.5 일 근무	22.35714286
6월	30	1	주 5.5 일 근무	22.57142857
7월	31	1	주 5.5 일 근무	23.35714286
8월	31	1	주 5.5 일 근무	23.35714286
9월	30	2	주 5.5 일 근무	21.57142857
10월	31	2	주 5.5 일 근무	22.35714286
11월	30	0	주 5.5 일 근무	23.57142857
12월	31	1	주 5.5 일 근무	23.35714286
 연간	365	14	주 5.5 일 근무	272.7857143
1월	31	2	주 5.0 일 근무	20.14285714
2월	28	1	주 5.0 일 근무	19
3월	31	1	주 5.0 일 근무	21.14285714
4월	30	0	주 5.0 일 근무	21.42857143
5월	31	2	주 5.0 일 근무	20.14285714
6월	30	1	주 5.0 일 근무	20.42857143
7월	31	1	주 5.0 일 근무	21.14285714
8월	31	1	주 5.0 일 근무	21.14285714
9월	30	2	주 5.0 일 근무	19.42857143
10월	31	2	주 5.0 일 근무	20.14285714
11월	30	0	주 5.0 일 근무	21.42857143
12월	31	1	주 5.0 일 근무	21.14285714
 연간	365	14	주 5.0 일 근무	246.7142857
1월	31	2	주 4.0 일 근무	15.71428571
2월	28	1	주 4.0 일 근무	15
3월	31	1	주 4.0 일 근무	16.71428571
4월	30	0	주 4.0 일 근무	17.14285714
5월	31	2	주 4.0 일 근무	15.71428571
6월	30	1	주 4.0 일 근무	16.14285714
7월	31	1	주 4.0 일 근무	16.71428571
8월	31	1	주 4.0 일 근무	16.71428571
9월	30	2	주 4.0 일 근무	15.14285714
10월	31	2	주 4.0 일 근무	15.71428571
11월	30	0	주 4.0 일 근무	17.14285714
12월	31	1	주 4.0 일 근무	16.71428571
 연간	365	14	주 4.0 일 근무	194.5714286
1월	31	2	주 3.0 일 근무	11.28571429
2월	28	1	주 3.0 일 근무	11
3월	31	1	주 3.0 일 근무	12.28571429
4월	30	0	주 3.0 일 근무	12.85714286
5월	31	2	주 3.0 일 근무	11.28571429
6월	30	1	주 3.0 일 근무	11.85714286
7월	31	1	주 3.0 일 근무	12.28571429
8월	31	1	주 3.0 일 근무	12.28571429
9월	30	2	주 3.0 일 근무	10.85714286
10월	31	2	주 3.0 일 근무	11.28571429
11월	30	0	주 3.0 일 근무	12.85714286
12월	31	1	주 3.0 일 근무	12.28571429
 연간	365	14	주 3.0 일 근무	142.4285714
1월	31	2	주 2.0 일 근무	6.857142857
2월	28	1	주 2.0 일 근무	7
3월	31	1	주 2.0 일 근무	7.857142857
4월	30	0	주 2.0 일 근무	8.571428571
5월	31	2	주 2.0 일 근무	6.857142857
6월	30	1	주 2.0 일 근무	7.571428571
7월	31	1	주 2.0 일 근무	7.857142857
8월	31	1	주 2.0 일 근무	7.857142857
9월	30	2	주 2.0 일 근무	6.571428571
10월	31	2	주 2.0 일 근무	6.857142857
11월	30	0	주 2.0 일 근무	8.571428571
12월	31	1	주 2.0 일 근무	7.857142857
 연간	365	14	주 2.0 일 근무	90.28571429
1월	31	2	주 1.0 일 근무	2.428571429
2월	28	1	주 1.0 일 근무	3
3월	31	1	주 1.0 일 근무	3.428571429
4월	30	0	주 1.0 일 근무	4.285714286
5월	31	2	주 1.0 일 근무	2.428571429
6월	30	1	주 1.0 일 근무	3.285714286
7월	31	1	주 1.0 일 근무	3.428571429
8월	31	1	주 1.0 일 근무	3.428571429
9월	30	2	주 1.0 일 근무	2.285714286
10월	31	2	주 1.0 일 근무	2.428571429
11월	30	0	주 1.0 일 근무	4.285714286
12월	31	1	주 1.0 일 근무	3.428571429
 연간	365	14	주 1.0 일 근무	38.14285714
