항목	용도명	번호+용도명	이용시작시간	이용종료시간	일일이용시간	연간이용일수	방학여부	공조/냉방 일일가동시간	냉난방설비가동일수	난방일일가동시간	조도	작업면높이	이용영역계수	조명이용시 부재율	수직면기준조명계수	난방설정온도	냉방설정온도	허용셋백온도	난방최저온도	냉방최고온도	최저상대습도	최고상대습도	겨울습기발생량	여름 습기발생량	필요외기도입량	비이용일 최소외기도입량	이용일 최소외기도입량	공조운전시 부재율	공조/냉방 부분운전계수	사람일일이용시간	기기일일이용시간	재실밀도_낮음	재실밀도_보통	재실밀도_높음	인체발열_낮음	인체발열_보통	인체발열_높음	기기발열_낮음	기기발열_보통	기기발열_높음	급탕요구량	종업원수
구분	구분	구분	재실시간 / 이용시간								조명					실내환경														내부발열											급탕	
번호	번호	번호	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
번호+항목	번호+항목	번호+항목	01. 이용시작시간	02. 이용종료시간	03. 일일이용시간	04. 연간이용일수	05. 방학여부	06. 공조/냉방 일일가동시간	07. 냉난방설비가동일수	08. 난방일일가동시간	09. 조도	10. 작업면높이	11. 이용영역계수	12. 조명이용시 부재율	13. 수직면기준조명계수	14. 난방설정온도	15. 냉방설정온도	16. 허용셋백온도	17. 난방최저온도	18. 냉방최고온도	19. 최저상대습도	20. 최고상대습도	21. 겨울습기발생량	22. 여름 습기발생량	23. 필요외기도입량	24. 비이용일 최소외기도입량	25. 이용일 최소외기도입량	26. 공조운전시 부재율	27. 공조/냉방 부분운전계수	28. 사람일일이용시간	29. 기기일일이용시간	30. 재실밀도_낮음	31. 재실밀도_보통	32. 재실밀도_높음	33. 인체발열_낮음	34. 인체발열_보통	35. 인체발열_높음	36. 기기발열_낮음	37. 기기발열_보통	38. 기기발열_높음	39. 급탕요구량	40. 종업원수
기호	기호	기호	-	-	"twd,d"	"dwd,a"		"tv,op,d"	"dop,a"	"th,op,d"	Em	hNe	FCA	FA	kVB	"θi,h,soll"	"θi,c,soll"	"Δθi,NA"	"θi,h,min"	"θi,c,max"					VA	"VA,bldg"	"VA,bldg"	cHVAC	FHVAC												"Qw,b"	
단위	용도명	번호+용도명	Time	Time	h/d	d/a		h/d	d/a	h/d	lx	m	-	-	-	°C	°C	K	°C	°C	%	%	"g/(h,명)"	"g/(h,명)"	m³/(h ? m²)	m³/(h ? m²)	m³/(h ? m²)			h/d	h/d	m2/인	m2/인	m2/인	W/m2	W/m2	W/m2	W/m2	W/m2	W/m2	kWh/인·d	
01	단독주택	01. 단독주택	0:00	24:00	24	365		24	365	17	300	0.8	1	0.53	1.0	20	26	0	19	28	25	60	35	65	1.3	1.30	1.30	0	0.5	14.4 	14.4 	49.5 	42.5 	24.8 	1.6 	1.9 	3.2 	2.1 	2.4 	4.1 	2.3	
02	공동주택	02. 공동주택	0:00	24:00	24	365		24	365	17	300	0.8	1	0.53	1.0	20	26	0	19	28	25	60	35	65	1.3	1.30	1.30	0	0.5	14.4 	14.4 	33.0 	28.3 	17.3 	2.4 	2.8 	4.6 	2.6 	3.0 	4.9 	2	
03	단독 사무실	03. 단독 사무실	9:00	18:00	9	249		10	249	10	500	0.8	0.84	0.40	1.0	21	26	4	20	28	25	60	35	65	4.00	1.50	3.25	0.30	0.7	6.0 	6.0 	22.0 	17.0 	12.0 	3.6 	4.7 	6.7 	6.5 	8.5 	12.0 	0.4	
04	소규모 사무실	04. 소규모 사무실	8:00	18:00	10	249		11	249	11	500	0.8	0.92	0.30	1.0	21	26	4	20	28	25	60	35	65	4.00	1.50	3.25	0.30	0.7	6.0 	6.0 	12.0 	10.0 	8.3 	6.7 	8.0 	9.6 	12.0 	14.4 	17.3 	0.4	
05	대규모 사무실	05. 대규모 사무실	8:00	18:00	10	249		11	249	11	500	0.8	0.93	0.20	1.0	21	26	4	20	28	25	60	35	65	6.00	1.50	5.10	0.20	1.0	6.0 	6.0 	8.3 	7.3 	6.3 	9.6 	11.0 	12.7 	17.3 	19.7 	22.9 	0.4	
