번호	구분	재료명	종류	초기열전도율	"ISO10456기준
열전도율"	밀도	투습저항계수dry	투습저항계수wet	비열	(DIN = DIN 4108-4:2013)
번호	구분	재료명	종류	초기열전도율	W/(m·K)	kg/m3	-	-	kJ/(kg·K)	(DIN = DIN 4108-4:2013)
1	단열재	압출법보온판특호	특호	압출법보온판	0.027	35	150	150	1.4	KS/ISO 10456
2	단열재	압출법보온판1호	1호	압출법보온판	0.028	30	150	150	1.4	KS/ISO 10456
3	단열재	압출법보온판2호	2호	압출법보온판	0.029	25	150	150	1.4	KS/ISO 10456
4	단열재	압출법보온판3호	3호	압출법보온판	0.031	20	150	150	1.4	KS/ISO 10456
8	단열재	비드법보온판1종1호	1호	비드법보온판1종	0.036	30	60	60	1.45	KS/ISO 10456
9	단열재	비드법보온판1종2호	2호	비드법보온판1종	0.037	25	60	60	1.45	KS/ISO 10456
10	단열재	비드법보온판1종3호	3호	비드법보온판1종	0.04	20	60	60	1.45	KS/ISO 10456
11	단열재	비드법보온판1종4호	4호	비드법보온판1종	0.043	15	60	60	1.45	KS/ISO 10456
12	단열재	비드법보온판2종1호	1호	비드법보온판2종	0.031	30	60	60	1.45	KS/ISO 10456
13	단열재	비드법보온판2종2호	2호	비드법보온판2종	0.032	25	60	60	1.45	KS/ISO 10456
14	단열재	비드법보온판2종3호	3호	비드법보온판2종	0.033	20	60	60	1.45	KS/ISO 10456
15	단열재	비드법보온판2종4호	4호	비드법보온판2종	0.034	15	60	60	1.45	KS/ISO 10456
16	단열재	경질우레탄폼보온판1종1호	1호	경질우레탄폼보온판1종	0.024	45	60	60	1.4	KS/ISO 10456
17	단열재	경질우레탄폼보온판1종2호	2호	경질우레탄폼보온판1종	0.024	35	60	60	1.4	KS/ISO 10456
18	단열재	경질우레탄폼보온판1종3호	3호	경질우레탄폼보온판1종	0.026	25	60	60	1.4	KS/ISO 10456
19	단열재	경질우레탄폼보온판2종1호	1호	경질우레탄폼보온판2종	0.023	45	60	60	1.4	KS/ISO 10456
20	단열재	경질우레탄폼보온판2종2호	2호	경질우레탄폼보온판2종	0.023	35	60	60	1.4	KS/ISO 10456
21	단열재	경질우레탄폼보온판2종3호	3호	경질우레탄폼보온판2종	0.028	25	60	60	1.4	KS/ISO 10456
22	단열재	미네랄울(암면)펠트	펠트	미네랄울(암면)	0.038	40~70	1	1	1.03	KS/ISO 10456
23	단열재	미네랄울(암면)1호	1호	미네랄울(암면)	0.037	71~100	1	1	1.03	KS/ISO 10456
24	단열재	미네랄울(암면)2호	2호	미네랄울(암면)	0.036	101~160	1	1	1.03	KS/ISO 10456
25	단열재	미네랄울(암면)3호	3호	미네랄울(암면)	0.038	161~300	1	1	1.03	KS/ISO 10456
26	단열재	글라스울64K	64K	글라스울	0.035	64	1	1	1.03	KS/ISO 10456
27	단열재	글라스울48K	48K	글라스울	0.036	48	1	1	1.03	KS/ISO 10456
28	단열재	글라스울32K	32K	글라스울	0.037	32	1	1	1.03	KS/ISO 10456
29	단열재	글라스울24K	24K	글라스울	0.038	24	1	1	1.03	KS/ISO 10456
30	단열재	글라스울20K	20K	글라스울	0.04	20	1	1	1.03	KS/ISO 10456
31	단열재	에어로겔	-	에어로겔	0.021	90	2	2	-	KS
32	단열재	수성연질스프레이	-	수성연질스프레이	0.04					KS
33	단열재	경질연질스프레이	-	경질연질스프레이	0.029	30~50	60	60	1.4	ISO 10456
34	단열재	페놀보드	보드	페놀	0.025	20~50	50	50	1.4	ISO 10456
35	단열재	난연경질우레탄폼스프레이	-	난연경질우레탄폼스프레이	0.024	60	2	2	1.6	ISO 10456
36	단열재	진공단열재	-	진공단열재	0.002	205	100000	100000	0.9	DIN 
