기준	시기	지역	외벽_직접외기	외벽_간접외기	지붕_직접외기	지붕_간접외기	바닥_직접외기	바닥_간접외기	문_직접외기	문_간접외기	창호_직접외기	창호_간접외기
구조체			외벽	외벽	지붕	지붕	바닥	바닥	문	문	창호	창호
직접간접			직접외기	간접외기	직접외기	간접외기	직접외기	간접외기	직접외기	간접외기	직접외기	간접외기
건축물의 에너지절약설계기준	2018.09	중부1	0.17	0.24	0.15	0.21	0.17	0.24	1.5	1.9	1.3	1.6
건축물의 에너지절약설계기준	2018.09	중부2	0.24	0.34	0.15	0.21	0.2	0.29	1.5	1.9	1.5	1.9
건축물의 에너지절약설계기준	2018.09	남부	0.32	0.45	0.18	0.26	0.25	0.35	1.8	2.2	1.8	2.2
건축물의 에너지절약설계기준	2018.09	제주	0.41	0.56	0.25	0.35	0.33	0.47	2.2	2.8	2.2	2.8
건축물의 에너지절약설계기준	2016.01	중부1	0.26	0.36	0.15	0.22	0.22	0.3	1.5	1.9	1.5	1.9
건축물의 에너지절약설계기준	2016.01	중부2	0.26	0.36	0.15	0.22	0.22	0.3	1.5	1.9	1.5	1.9
건축물의 에너지절약설계기준	2016.01	남부	0.32	0.45	0.18	0.26	0.25	0.35	1.8	2.2	1.8	2.2
건축물의 에너지절약설계기준	2016.01	제주	0.43	0.62	0.25	0.35	0.33	0.47	2.4	3	2.4	3
건축물의 에너지절약설계기준	2013.1	중부1	0.27	0.37	0.18	0.26	0.29	0.41	2.1	2.1	2.1	2.6
건축물의 에너지절약설계기준	2013.1	중부2	0.27	0.37	0.18	0.26	0.29	0.41	2.1	2.1	2.1	2.6
건축물의 에너지절약설계기준	2013.1	남부	0.34	0.48	0.22	0.31	0.33	0.47	2.4	2.4	2.4	3.1
건축물의 에너지절약설계기준	2013.1	제주	0.44	0.64	0.28	0.4	0.39	0.55	3	3	3	3.8
건축물의 에너지절약설계기준	2013.09	중부1	0.27	0.37	0.18	0.26	0.29	0.41	2.1	2.6	2.1	2.6
건축물의 에너지절약설계기준	2013.09	중부2	0.27	0.37	0.18	0.26	0.29	0.41	2.1	2.6	2.1	2.6
건축물의 에너지절약설계기준	2013.09	남부	0.34	0.48	0.22	0.31	0.29	0.41	2.4	3.1	2.4	3.1
건축물의 에너지절약설계기준	2013.09	제주	0.44	0.64	0.28	0.4	0.29	0.41	3	3.8	3	3.8
건축물의 설비기준 등에 관한 규칙	2011.12	중부1	0.36	0.49	0.2	0.29	0.41	0.58	2.4	3.2	2.4	3.2
건축물의 설비기준 등에 관한 규칙	2011.12	중부2	0.36	0.49	0.2	0.29	0.41	0.58	2.4	3.2	2.4	3.2
건축물의 설비기준 등에 관한 규칙	2011.12	남부	0.45	0.63	0.24	0.34	0.41	0.58	2.7	3.7	2.7	3.7
건축물의 설비기준 등에 관한 규칙	2011.12	제주	0.58	0.58	0.29	0.41	0.41	0.58	3.4	4.3	3.4	4.3
건축물의 설비기준 등에 관한 규칙	2008.07	중부1	0.47	0.64	0.29	0.41	0.41	0.58	3.4	3.4	3.4	4.6
건축물의 설비기준 등에 관한 규칙	2008.07	중부2	0.47	0.64	0.29	0.41	0.41	0.58	3.4	3.4	3.4	4.6
건축물의 설비기준 등에 관한 규칙	2008.07	남부	0.58	0.81	0.35	0.52	0.47	0.64	3.8	3.8	3.8	5.3
건축물의 설비기준 등에 관한 규칙	2008.07	제주	0.76	1.1	0.41	0.58	0.52	0.76	4.4	4.4	4.4	6.3
건축물의 설비기준 등에 관한 규칙	2001.01	중부1	0.47	0.64	0.29	0.41	0.41	0.58	3.84	5.47	3.84	5.47
건축물의 설비기준 등에 관한 규칙	2001.01	중부2	0.47	0.64	0.29	0.41	0.41	0.58	3.84	5.47	3.84	5.47
건축물의 설비기준 등에 관한 규칙	2001.01	남부	0.58	0.81	0.35	0.52	0.47	0.64	4.19	6.05	4.19	6.05
건축물의 설비기준 등에 관한 규칙	2001.01	제주	0.76	1.1	0.41	0.58	0.52	0.76	5.23	7.56	5.23	7.56
건축법 시행규칙	1987.07	중부1	0.58	0.58	0.41	0.41	0.58	0.58	3.37	3.37	3.37	3.37
건축법 시행규칙	1987.07	중부2	0.58	0.58	0.41	0.41	0.58	0.58	3.37	3.37	3.37	3.37
건축법 시행규칙	1987.07	남부	0.76	0.76	0.52	0.52	0.76	0.76	3.61	3.61	3.61	3.61
건축법 시행규칙	1987.07	제주	1.16	1.16	0.76	0.76	1.16	1.16	5.82	5.82	5.82	5.82
건축법 시행규칙	1984.03	중부1	0.58	0.58	0.58	0.58	0.58	0.58	3.5	3.5	3.5	3.5
건축법 시행규칙	1984.03	중부2	0.58	0.58	0.58	0.58	0.58	0.58	3.5	3.5	3.5	3.5
건축법 시행규칙	1984.03	남부	0.58	0.58	0.58	0.58	0.58	0.58	3.5	3.5	3.5	3.5
건축법 시행규칙	1984.03	제주	1.16	1.16	1.16	1.16	1.16	1.16	3.5	3.5	3.5	3.5
건축법 시행규칙	1980.12	중부1	0.58	0.58	0.58	0.58	1.16	1.16	3.5	3.5	3.5	3.5
건축법 시행규칙	1980.12	중부2	0.58	0.58	0.58	0.58	1.16	1.16	3.5	3.5	3.5	3.5
건축법 시행규칙	1980.12	남부	0.58	0.58	0.58	0.58	1.16	1.16	3.5	3.5	3.5	3.5
건축법 시행규칙	1980.12	제주	0.58	0.58	0.58	0.58	1.16	1.16	3.5	3.5	3.5	3.5
건축법 시행규칙	1979.09	중부1	2.09	2.09	1.05	1.05	1.7	1.7	2.6	2.6	3.5	3.5
건축법 시행규칙	1979.09	중부2	2.09	2.09	1.05	1.05	1.7	1.7	2.6	2.6	3.5	3.5
건축법 시행규칙	1979.09	남부	2.09	2.09	1.05	1.05	1.7	1.7	2.6	2.6	3.5	3.5
건축법 시행규칙	1979.09	제주	2.09	2.09	1.05	1.05	1.7	1.7	2.6	2.6	3.5	3.5
