	정부청사	경찰지구대	소방청사	공공도서관	문화체육센터	노인복지시설	어린이집
1	단독 사무실	단독 사무실	단독 사무실	단독 사무실	단독 사무실	단독 사무실	단독 사무실
2	소규모 사무실	소규모 사무실	소규모 사무실	소규모 사무실	소규모 사무실	소규모 사무실	소규모 사무실
3	대규모 사무실	대규모 사무실	대규모 사무실	대규모 사무실	대규모 사무실	대규모 사무실	대규모 사무실
4	회의실 및 세미나실	회의실 및 세미나실	구내식당	회의실 및 세미나실	회의실 및 세미나실	회의실 및 세미나실	회의실 및 세미나실
5	"로비, 홀"	"로비, 홀"	주방 및 조리실	"로비, 홀"	"로비, 홀"	강당	"교실(초,중,고)"
6	강당	구내식당	"화장실, 샤워실"	"교실(초,중,고)"	어린이 교실	병실	구내식당
7	구내식당	주방 및 조리실	그 외 체류공간	강당	강당	구내식당	주방 및 조리실
8	주방 및 조리실	"화장실, 샤워실"	부속공간	구내식당	구내식당	주방 및 조리실	"화장실, 샤워실"
9	"화장실, 샤워실"	그 외 체류공간	복도	주방 및 조리실	주방 및 조리실	"화장실, 샤워실"	그 외 체류공간
10	그 외 체류공간	부속공간	창고/설비/문서실	"화장실, 샤워실"	"화장실, 샤워실"	그 외 체류공간	부속공간
11	부속공간	복도	전산실	그 외 체류공간	그 외 체류공간	부속공간	복도
12	복도	창고/설비/문서실	피트니스 / 운동실	부속공간	부속공간	복도	창고/설비/문서실
13	창고/설비/문서실	전산실	"병영실, 대기실"	복도	복도	창고/설비/문서실	
14	전산실	피트니스 / 운동실		창고/설비/문서실	창고/설비/문서실	노인 주거실	
15				전산실	객석	의료 검사 및 치료실	
16				일반 작업실	공연장 무대		
17				열람실(도서관)	전시실 및 박물관		
18					체육관		
19					피트니스 / 운동실		
