지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
01	춘천	수평	0˚	100.74	119.30	193.53	176.69	223.50	214.39	186.05	163.31	161.86	139.49	99.61	80.55	1359
01	춘천	남	30˚	170.25	177.14	244.97	194.06	224.36	209.10	187.77	177.28	189.86	192.93	160.51	144.34	1660.0
01	춘천	남	45˚	191.36	191.84	250.52	187.45	207.30	190.82	174.34	170.45	189.03	204.31	178.01	164.79	1679.7
01	춘천	남	60˚	201.22	195.46	241.82	171.07	180.06	163.78	152.75	154.89	178.14	204.13	185.09	175.47	1608.9
01	춘천	남	90˚	185.30	169.22	184.94	113.60	104.14	93.26	92.21	102.25	129.76	169.96	166.76	165.37	1223.2
01	춘천	남동	30˚	150.42	162.95	227.01	190.60	226.78	210.62	190.35	169.49	187.77	183.21	143.75	126.26	1584.6
01	춘천	남동	45˚	163.78	172.63	226.99	184.24	213.32	195.00	179.27	161.15	186.78	191.17	154.38	139.25	1583.2
01	춘천	남동	60˚	167.88	172.85	216.69	170.60	191.39	172.20	161.23	146.98	176.95	189.14	156.44	144.63	1509.2
01	춘천	남동	90˚	147.84	146.19	167.25	125.11	131.14	115.72	111.84	105.00	134.06	156.74	135.50	130.59	1172.8
01	춘천	남서	30˚	146.51	155.21	226.01	186.02	215.75	206.46	181.92	175.03	173.01	169.28	137.54	123.11	1531.3
01	춘천	남서	45˚	157.80	161.37	225.50	178.16	198.49	190.12	169.16	168.66	166.79	172.49	146.20	135.05	1512.0
01	춘천	남서	60˚	160.66	159.46	215.15	163.62	175.19	167.40	150.74	155.18	154.16	167.08	146.61	139.42	1427.6
01	춘천	남서	90˚	139.91	131.79	166.09	118.24	117.94	112.09	103.88	111.84	112.42	133.77	124.38	124.33	1092.8
01	춘천	동	30˚	102.30	122.91	183.85	173.83	217.88	206.78	185.48	154.27	166.17	146.56	100.08	83.59	1347.3
01	춘천	동	45˚	100.32	120.03	173.19	164.40	203.30	191.38	174.12	142.99	158.96	143.55	97.02	82.89	1280.3
01	춘천	동	60˚	95.79	114.24	159.73	151.23	183.65	171.37	157.83	129.06	146.89	136.11	92.12	80.48	1182.4
01	춘천	동	90˚	81.21	94.69	125.06	116.45	135.82	126.31	118.66	96.87	113.07	110.46	75.72	69.15	922.8
01	춘천	서	30˚	97.56	113.32	182.75	167.27	202.01	200.73	173.75	162.04	146.71	128.59	93.09	79.99	1277.6
01	춘천	서	45˚	94.08	108.14	172.13	155.91	182.91	184.15	159.85	152.66	134.58	121.04	88.40	78.43	1193.1
01	춘천	서	60˚	89.59	101.23	158.46	141.70	161.65	163.80	142.98	139.15	120.81	112.41	82.02	75.07	1088.2
01	춘천	서	90˚	74.37	82.12	123.78	107.87	118.20	119.06	105.21	105.23	90.74	91.10	67.06	64.47	839.9
01	춘천	북서	30˚	51.14	71.13	132.93	145.11	187.30	192.35	165.13	143.61	121.38	88.35	51.02	38.81	1015.5
