지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	1	-7.61	-2.23	1.61	8.77	14.86	18.89	22.98	23.36	18.06	9.73	1.81	-3.72
01	춘천	2	-8.09	-2.58	0.90	8.01	14.29	18.42	22.56	23.08	17.55	9.46	1.55	-4.13
01	춘천	3	-8.49	-2.99	0.15	7.41	13.69	17.94	22.28	22.85	17.12	9.23	1.26	-4.54
01	춘천	4	-8.75	-3.31	-0.43	6.75	13.25	17.64	22.12	22.65	16.81	9.05	1.01	-4.78
01	춘천	5	-9.10	-3.60	-0.82	6.31	12.82	17.39	21.93	22.52	16.52	8.93	0.81	-4.91
01	춘천	6	-9.42	-3.90	-1.25	5.95	12.59	17.31	21.91	22.38	16.33	8.76	0.65	-5.09
01	춘천	7	-9.46	-4.03	-1.45	5.94	13.05	17.78	22.18	22.57	16.37	8.72	0.52	-5.30
01	춘천	8	-9.61	-4.06	-0.77	6.87	14.15	18.75	22.80	23.25	17.03	9.44	0.58	-5.35
01	춘천	9	-8.79	-2.92	1.01	8.86	15.61	19.96	23.76	24.21	18.08	10.93	1.63	-4.42
01	춘천	10	-6.84	-1.50	2.98	10.99	17.25	21.47	24.67	25.29	19.46	12.52	2.99	-3.07
01	춘천	11	-4.78	0.09	5.03	12.93	18.88	23.07	25.76	26.32	21.08	14.23	4.60	-1.74
01	춘천	12	-2.95	1.59	7.04	14.66	20.46	24.34	26.71	27.24	22.57	15.95	5.98	-0.57
01	춘천	13	-1.31	3.05	8.69	16.13	21.91	25.15	27.48	28.03	23.85	17.22	7.17	0.48
01	춘천	14	0.01	4.10	10.09	17.16	22.90	25.76	28.00	28.60	24.91	18.30	8.10	1.10
01	춘천	15	0.72	4.74	10.90	17.64	23.61	26.25	28.32	28.75	25.59	18.87	8.48	1.44
01	춘천	16	0.79	4.85	11.15	17.81	23.85	26.28	28.56	28.40	25.81	18.83	8.49	1.30
01	춘천	17	0.07	4.49	10.84	17.48	23.75	26.08	28.52	27.88	25.59	18.03	7.56	0.47
01	춘천	18	-1.18	3.58	9.86	16.55	23.15	25.53	28.17	27.34	24.75	15.91	6.30	-0.34
01	춘천	19	-2.39	2.24	8.38	15.30	21.95	24.63	27.47	26.48	23.02	14.17	5.07	-1.18
01	춘천	20	-3.44	1.19	6.94	14.10	20.31	23.33	26.49	25.67	21.53	12.81	4.05	-1.91
01	춘천	21	-4.46	0.42	5.41	12.92	18.80	22.08	25.56	25.05	20.42	11.79	3.32	-2.56
01	춘천	22	-5.38	-0.25	4.13	11.94	17.58	21.09	24.78	24.49	19.50	11.22	2.74	-3.07
01	춘천	23	-6.25	-0.88	3.23	10.99	16.42	20.32	24.13	24.08	18.73	10.66	2.23	-3.53
01	춘천	24	-7.01	-1.81	2.36	9.72	15.56	19.51	23.48	23.74	18.56	10.25	2.15	-3.44
02	강릉	1	-0.11	3.43	5.80	9.48	16.91	19.40	24.21	25.05	18.41	14.01	8.71	0.94
02	강릉	2	-0.14	3.31	5.58	9.18	16.72	19.07	24.08	24.83	18.19	13.86	8.41	0.81
02	강릉	3	-0.34	3.19	5.43	8.97	16.65	18.83	23.92	24.75	18.04	13.85	8.15	0.70
02	강릉	4	-0.54	3.06	5.15	8.87	16.53	18.60	23.55	24.51	17.86	13.60	7.91	0.52
02	강릉	5	-0.72	2.91	5.05	8.63	16.05	18.33	23.34	24.39	17.76	13.41	7.67	0.27
02	강릉	6	-0.81	2.81	4.96	8.52	15.89	18.24	23.24	24.42	17.60	13.18	7.51	0.25
02	강릉	7	-0.95	2.81	4.85	8.78	16.45	19.12	23.82	24.79	17.71	13.05	7.32	0.12
02	강릉	8	-1.09	3.03	5.45	10.12	17.84	20.53	24.88	25.88	18.79	13.98	7.67	0.06
02	강릉	9	-0.31	4.33	6.75	11.69	19.24	21.99	25.91	27.11	20.39	15.72	8.86	1.05
02	강릉	10	1.12	6.07	8.05	12.88	20.37	23.04	26.78	27.88	21.73	17.53	10.30	2.58
02	강릉	11	2.45	7.64	9.05	13.84	21.19	23.61	27.28	28.40	22.48	18.66	11.32	4.06
02	강릉	12	3.52	8.39	9.58	14.58	21.55	24.11	27.86	28.82	22.89	19.28	12.03	5.12
02	강릉	13	3.78	9.01	9.98	15.04	21.64	24.41	27.87	28.85	23.26	19.44	12.33	5.71
02	강릉	14	4.00	9.08	10.27	15.37	22.10	24.54	28.36	28.82	23.39	19.48	12.37	5.75
02	강릉	15	3.93	9.13	10.08	15.30	22.17	24.50	28.42	28.66	23.24	19.48	11.85	5.41
02	강릉	16	3.65	8.73	9.90	15.05	21.92	24.42	28.32	28.25	22.90	19.07	11.35	4.65
02	강릉	17	2.88	8.14	9.50	14.54	21.51	23.92	27.80	27.94	22.38	18.42	10.61	3.59
02	강릉	18	2.05	7.24	8.77	13.77	20.68	23.50	27.15	27.52	21.60	17.17	9.64	2.66
02	강릉	19	1.47	6.36	8.14	12.84	19.79	22.80	26.55	26.79	20.80	16.18	9.16	2.13
02	강릉	20	0.99	5.56	7.48	12.02	18.91	21.91	25.75	25.97	20.22	15.41	8.83	1.67
02	강릉	21	0.69	5.17	7.02	11.34	18.34	21.16	25.22	25.49	19.56	14.97	8.50	1.25
02	강릉	22	0.48	4.65	6.76	10.60	17.87	20.58	25.00	25.19	19.05	14.74	8.37	0.90
02	강릉	23	0.42	4.24	6.58	10.03	17.54	19.99	24.83	25.03	18.69	14.42	8.20	0.74
02	강릉	24	0.03	3.75	6.11	9.63	17.03	19.62	24.36	25.17	18.61	14.16	8.56	1.03
03	서울	1	-3.50	-0.51	4.16	9.92	15.47	20.56	22.95	24.41	20.27	12.91	7.35	0.47
03	서울	2	-3.73	-0.86	3.90	9.63	15.12	20.24	22.54	24.14	19.94	12.54	7.10	0.19
03	서울	3	-4.01	-1.11	3.62	9.14	14.74	19.94	22.33	23.90	19.53	12.12	6.86	-0.04
03	서울	4	-4.45	-1.43	3.49	8.81	14.31	19.73	22.10	23.70	19.22	11.79	6.55	-0.32
03	서울	5	-4.80	-1.69	3.20	8.61	14.04	19.45	21.80	23.57	18.96	11.49	6.32	-0.55
03	서울	6	-5.03	-1.86	2.99	8.53	13.99	19.38	21.72	23.47	18.66	11.25	6.09	-0.83
03	서울	7	-5.21	-1.99	2.83	8.78	14.62	19.88	21.96	23.73	18.58	11.07	5.76	-1.10
03	서울	8	-5.30	-1.94	3.46	9.49	15.84	20.72	22.55	24.63	19.31	11.69	5.84	-1.18
03	서울	9	-4.72	-0.83	4.66	10.44	17.08	21.70	23.22	25.46	20.47	13.39	6.78	-0.64
03	서울	10	-3.50	0.54	5.83	11.47	18.21	22.71	24.02	26.20	21.72	14.87	7.88	0.34
03	서울	11	-2.24	1.94	7.05	12.65	19.33	23.61	24.67	26.91	22.78	16.24	8.95	1.26
03	서울	12	-1.24	3.22	8.02	13.69	20.34	24.56	25.30	27.47	23.72	17.13	9.95	2.19
03	서울	13	-0.29	4.17	8.83	14.33	21.01	25.08	25.84	27.98	24.56	18.01	10.71	2.86
03	서울	14	0.45	4.79	9.40	14.61	21.57	25.71	26.48	28.32	25.11	18.50	11.26	3.53
03	서울	15	0.82	5.29	9.79	14.88	21.82	25.94	26.85	28.40	25.54	18.61	11.55	3.67
03	서울	16	0.81	5.20	9.51	14.83	21.69	25.96	26.90	28.21	25.49	18.31	11.42	3.75
03	서울	17	0.45	4.60	9.08	14.49	21.07	25.59	26.53	27.67	25.06	17.66	10.61	3.06
03	서울	18	-0.39	3.42	8.33	13.88	20.23	24.92	26.18	27.23	24.21	16.47	9.77	2.43
03	서울	19	-0.91	2.50	7.31	12.90	19.15	23.95	25.51	26.74	23.12	15.57	9.25	2.02
03	서울	20	-1.52	1.93	6.68	12.22	18.15	22.99	24.86	26.06	22.35	15.04	8.84	1.68
03	서울	21	-2.04	1.48	6.16	11.65	17.39	22.27	24.42	25.70	21.75	14.42	8.45	1.33
03	서울	22	-2.47	1.00	5.66	11.24	16.89	21.79	24.09	25.37	21.26	14.00	8.19	0.99
03	서울	23	-2.87	0.52	5.22	10.86	16.35	21.42	23.78	25.03	20.85	13.53	7.81	0.70
03	서울	24	-3.16	-0.05	4.60	10.19	15.77	20.93	23.34	24.69	20.70	13.31	7.83	0.77
04	인천	1	-2.51	-1.21	3.98	9.63	15.78	19.14	23.03	25.30	21.13	15.54	6.77	-0.50
04	인천	2	-2.83	-1.33	3.67	9.34	15.39	18.76	22.91	25.12	20.95	15.26	6.64	-0.62
04	인천	3	-3.14	-1.51	3.46	9.06	15.05	18.47	22.83	24.97	20.62	14.94	6.49	-0.87
04	인천	4	-3.38	-1.78	3.26	8.84	14.89	18.26	22.71	24.88	20.44	14.69	6.32	-1.08
04	인천	5	-3.62	-1.96	3.05	8.74	14.71	18.09	22.60	24.78	20.23	14.37	6.11	-1.34
04	인천	6	-3.85	-2.09	2.91	8.59	14.58	18.00	22.48	24.65	20.03	14.13	5.94	-1.37
04	인천	7	-3.95	-2.23	2.86	8.71	14.82	18.33	22.48	24.68	20.04	13.86	5.93	-1.52
04	인천	8	-4.11	-2.19	3.34	9.27	15.67	19.11	22.77	25.06	20.42	14.44	5.88	-1.54
04	인천	9	-3.45	-1.55	4.32	10.03	16.88	20.29	23.26	25.71	21.30	15.68	6.49	-1.01
04	인천	10	-2.13	-0.49	5.16	10.98	17.89	21.10	23.72	26.32	22.37	16.82	7.36	-0.25
04	인천	11	-0.62	0.53	6.17	11.84	18.88	21.90	24.28	26.66	23.15	17.97	8.28	0.62
04	인천	12	0.46	1.41	6.77	12.56	19.58	22.58	24.82	27.21	23.85	18.95	8.95	1.28
04	인천	13	1.27	2.22	7.21	13.11	20.00	23.05	25.24	27.60	24.26	19.36	9.42	1.75
04	인천	14	1.85	2.78	7.41	13.58	20.35	23.37	25.57	28.05	24.68	19.77	9.69	2.07
04	인천	15	2.15	3.00	7.32	13.48	20.38	23.56	25.77	28.25	24.67	19.74	9.86	2.18
04	인천	16	2.08	2.91	7.09	13.26	20.18	23.25	25.69	28.08	24.52	19.36	9.70	2.02
04	인천	17	1.45	2.43	6.71	12.68	19.84	23.09	25.43	27.71	24.03	18.66	9.13	1.53
04	인천	18	0.53	1.56	6.23	12.15	19.10	22.60	24.95	27.22	23.45	17.80	8.63	1.17
04	인천	19	-0.04	1.02	5.67	11.39	18.16	21.72	24.43	26.59	22.79	17.22	8.16	0.83
04	인천	20	-0.64	0.58	5.27	10.88	17.36	21.03	23.93	26.02	22.37	16.78	7.83	0.47
04	인천	21	-0.95	0.18	5.03	10.58	17.01	20.51	23.64	25.71	21.99	16.39	7.51	0.03
04	인천	22	-1.32	-0.12	4.88	10.39	16.66	20.17	23.39	25.55	21.67	16.10	7.23	-0.25
04	인천	23	-1.54	-0.51	4.65	10.23	16.41	19.87	23.26	25.41	21.43	15.81	7.15	-0.45
04	인천	24	-2.17	-0.82	4.26	9.76	15.95	19.41	23.16	25.35	21.42	15.78	6.95	-0.26
05	원주	1	-5.92	-2.58	3.51	8.57	14.77	19.77	24.09	24.25	18.23	11.62	4.76	-2.61
05	원주	2	-6.33	-3.13	3.19	7.90	14.21	19.17	23.93	24.05	17.85	11.29	4.42	-3.03
05	원주	3	-6.76	-3.53	2.79	7.43	13.72	18.75	23.65	23.97	17.55	10.96	4.18	-3.38
05	원주	4	-7.25	-3.84	2.36	7.01	13.25	18.42	23.34	23.86	17.29	10.66	3.97	-3.64
05	원주	5	-7.69	-4.16	2.00	6.45	12.89	17.98	23.13	23.75	17.02	10.36	3.73	-3.77
05	원주	6	-8.11	-4.42	1.76	6.11	12.87	17.88	23.14	23.72	16.83	10.04	3.42	-3.93
05	원주	7	-8.39	-4.56	1.61	6.63	13.80	18.85	23.57	24.07	17.03	9.92	3.23	-4.10
05	원주	8	-8.48	-4.38	2.63	8.09	15.05	19.96	24.32	24.96	17.80	10.77	3.66	-4.03
05	원주	9	-6.90	-3.04	4.10	9.99	16.83	21.60	25.19	25.91	19.17	12.41	5.02	-3.06
05	원주	10	-4.95	-1.46	5.75	12.02	18.66	23.27	26.35	26.64	20.92	14.40	6.90	-1.97
05	원주	11	-2.90	0.26	7.56	13.64	20.12	24.67	27.39	27.48	22.35	16.11	8.24	-0.81
05	원주	12	-1.00	1.60	9.14	15.15	21.31	25.41	28.18	28.04	23.59	17.62	9.68	0.34
05	원주	13	0.37	2.88	10.28	16.01	22.02	26.10	28.71	28.74	24.47	18.65	10.60	1.35
05	원주	14	1.19	3.50	11.10	16.67	22.81	26.65	29.07	28.93	24.88	19.20	11.01	1.96
05	원주	15	1.56	3.95	11.28	16.81	23.00	27.04	28.99	28.78	24.96	19.42	11.37	2.28
05	원주	16	1.47	3.91	11.34	16.57	22.95	26.92	29.02	28.64	24.90	18.89	11.03	2.02
05	원주	17	0.71	3.28	10.89	16.16	22.58	26.26	28.68	28.15	24.33	17.72	10.06	1.05
05	원주	18	-0.66	2.24	9.88	15.06	21.65	25.73	28.19	27.40	23.42	16.10	8.67	0.21
05	원주	19	-1.87	1.08	8.66	13.97	20.65	24.77	27.56	26.58	21.87	14.74	7.54	-0.57
05	원주	20	-2.62	0.09	7.53	12.78	19.25	23.60	26.82	25.91	20.74	13.88	6.85	-1.11
05	원주	21	-3.04	-0.65	6.74	11.90	18.32	22.52	26.14	25.35	19.91	13.21	6.25	-1.62
05	원주	22	-3.64	-1.24	5.82	10.89	17.31	21.68	25.47	25.04	19.40	12.72	5.78	-1.94
05	원주	23	-4.25	-1.76	5.02	10.05	16.43	20.97	24.84	24.61	18.91	12.23	5.37	-2.23
05	원주	24	-5.30	-2.08	4.11	9.19	15.51	20.36	24.36	24.52	18.67	12.05	5.31	-2.23
06	청주	1	-2.42	1.10	4.22	11.45	16.01	20.71	24.86	23.50	19.55	11.48	5.08	-0.93
06	청주	2	-2.59	0.69	3.81	11.06	15.39	20.28	24.56	23.29	19.12	10.97	4.51	-1.06
06	청주	3	-2.92	0.34	3.50	10.34	14.91	19.84	24.29	23.06	18.65	10.41	4.15	-1.44
06	청주	4	-3.07	-0.02	3.20	9.84	14.39	19.56	24.03	22.93	18.22	10.11	3.85	-1.76
06	청주	5	-3.30	-0.26	2.88	9.37	13.96	19.07	23.86	22.79	17.88	9.73	3.68	-2.05
06	청주	6	-3.48	-0.58	2.60	8.93	13.87	19.15	23.84	22.72	17.61	9.45	3.42	-2.50
06	청주	7	-3.60	-0.64	2.61	9.39	14.58	19.88	24.30	23.04	17.83	9.44	3.38	-2.56
06	청주	8	-3.65	-0.43	3.21	10.62	15.75	20.68	25.23	23.95	18.75	10.31	3.77	-2.61
06	청주	9	-3.09	0.60	4.19	12.41	17.39	21.85	26.11	24.87	20.36	11.77	5.05	-1.93
06	청주	10	-1.90	1.91	5.57	14.43	19.03	23.18	27.05	26.06	21.78	13.12	6.55	-0.93
06	청주	11	-0.90	3.45	6.98	16.37	20.33	24.19	27.90	26.97	23.42	14.79	8.16	0.29
06	청주	12	0.42	4.80	7.86	17.98	21.51	25.09	28.31	27.67	24.31	16.43	9.84	1.41
06	청주	13	1.29	5.66	8.69	19.02	22.52	25.89	28.66	28.32	25.13	17.64	11.03	2.31
06	청주	14	2.03	6.59	9.26	19.74	23.19	26.51	29.16	28.68	25.96	18.61	11.73	3.11
06	청주	15	2.41	6.76	9.55	19.83	23.37	26.84	29.44	28.44	26.24	18.81	11.92	3.26
06	청주	16	2.34	6.81	9.55	19.98	23.49	26.82	29.38	28.44	25.98	18.74	11.62	3.15
06	청주	17	1.64	6.44	9.10	19.54	23.07	26.49	29.10	28.05	25.51	18.00	10.60	2.47
06	청주	18	0.90	5.53	8.39	18.51	22.20	25.83	28.79	27.42	24.52	16.67	9.51	1.82
06	청주	19	0.39	4.77	7.36	17.17	20.89	24.89	28.00	26.41	23.49	15.69	8.69	1.40
06	청주	20	-0.11	4.01	6.58	15.97	19.71	23.91	27.23	25.57	22.50	14.77	8.04	0.86
06	청주	21	-0.47	3.48	5.98	14.98	18.72	23.12	26.59	24.97	21.76	13.92	7.36	0.45
06	청주	22	-0.88	2.88	5.44	14.12	18.04	22.54	26.15	24.49	21.11	13.24	6.69	-0.07
06	청주	23	-1.38	2.30	4.95	13.30	17.41	21.95	25.66	24.16	20.45	12.60	6.05	-0.60
06	청주	24	-2.02	1.55	4.62	12.14	16.67	21.26	25.15	23.87	20.18	12.12	5.63	-0.43
07	대전	1	-4.33	0.51	3.87	9.29	15.80	20.18	23.95	24.72	19.41	12.61	5.71	-1.12
07	대전	2	-4.76	0.13	3.51	8.72	15.30	19.67	23.67	24.48	19.07	12.27	5.33	-1.46
07	대전	3	-5.08	-0.19	3.16	8.20	14.87	19.25	23.42	24.18	18.71	11.86	4.84	-1.79
07	대전	4	-5.45	-0.41	2.85	7.73	14.45	19.00	23.20	24.02	18.38	11.61	4.52	-2.13
07	대전	5	-5.68	-0.65	2.52	7.24	14.08	18.74	22.99	23.89	18.13	11.38	4.08	-2.45
07	대전	6	-5.92	-0.96	2.25	6.73	13.83	18.69	22.83	23.77	17.94	11.08	3.82	-2.72
07	대전	7	-6.11	-1.18	2.04	6.98	14.25	19.42	23.14	24.06	18.02	10.84	3.54	-2.98
07	대전	8	-6.26	-1.21	2.64	8.69	15.35	20.59	23.81	24.91	18.91	11.70	3.86	-3.14
07	대전	9	-5.25	-0.01	4.23	10.72	17.04	21.96	24.66	25.95	20.58	13.37	5.47	-2.27
07	대전	10	-3.61	1.44	5.61	12.66	18.39	23.03	25.61	27.10	22.06	15.19	7.55	-0.93
07	대전	11	-1.87	2.83	7.02	14.24	19.71	24.30	26.39	27.55	23.11	16.89	9.43	0.71
07	대전	12	-0.55	4.04	8.15	15.48	20.72	25.18	27.15	28.16	24.05	18.29	11.25	2.28
07	대전	13	0.56	5.06	8.88	16.33	21.70	26.00	27.69	28.58	25.14	19.06	12.04	3.37
07	대전	14	1.33	5.72	9.46	16.82	22.36	26.36	28.01	28.86	25.65	19.53	12.42	4.12
07	대전	15	1.72	6.02	9.83	17.10	22.45	26.44	28.22	28.88	25.61	19.82	12.64	4.37
07	대전	16	1.59	5.98	9.72	17.01	22.45	26.42	28.20	28.46	25.44	19.56	12.21	3.99
