지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	1	0.76	0.77	0.75	0.72	0.81	0.83	0.90	0.92	0.95	0.89	0.85	0.76
01	춘천	2	0.77	0.78	0.78	0.75	0.82	0.85	0.91	0.93	0.96	0.90	0.87	0.77	
01	춘천	3	0.78	0.80	0.83	0.77	0.85	0.86	0.91	0.94	0.97	0.90	0.89	0.79	
01	춘천	4	0.78	0.80	0.84	0.79	0.87	0.87	0.91	0.94	0.97	0.91	0.89	0.81	
01	춘천	5	0.80	0.81	0.85	0.80	0.88	0.87	0.92	0.94	0.97	0.91	0.90	0.82	
01	춘천	6	0.80	0.82	0.88	0.82	0.89	0.87	0.92	0.94	0.98	0.92	0.90	0.83	
01	춘천	7	0.80	0.84	0.89	0.81	0.86	0.86	0.90	0.93	0.97	0.92	0.90	0.85	
01	춘천	8	0.82	0.85	0.84	0.75	0.79	0.81	0.86	0.88	0.93	0.89	0.90	0.84	
01	춘천	9	0.79	0.78	0.69	0.65	0.70	0.75	0.81	0.82	0.86	0.81	0.85	0.80	
01	춘천	10	0.72	0.70	0.58	0.56	0.62	0.68	0.77	0.76	0.78	0.75	0.76	0.71	
01	춘천	11	0.63	0.62	0.50	0.49	0.55	0.61	0.72	0.72	0.71	0.67	0.65	0.63	
01	춘천	12	0.55	0.56	0.43	0.44	0.49	0.55	0.68	0.69	0.64	0.60	0.57	0.56	
01	춘천	13	0.46	0.49	0.37	0.40	0.44	0.53	0.66	0.67	0.58	0.55	0.52	0.53	
01	춘천	14	0.42	0.45	0.32	0.38	0.41	0.51	0.64	0.65	0.54	0.50	0.48	0.50	
01	춘천	15	0.39	0.42	0.30	0.37	0.39	0.49	0.64	0.66	0.51	0.48	0.46	0.50	
01	춘천	16	0.41	0.42	0.29	0.37	0.38	0.50	0.63	0.68	0.50	0.47	0.45	0.51	
01	춘천	17	0.44	0.43	0.29	0.37	0.38	0.51	0.64	0.71	0.52	0.50	0.50	0.55	
01	춘천	18	0.48	0.46	0.31	0.41	0.39	0.54	0.65	0.74	0.61	0.63	0.57	0.59	
01	춘천	19	0.54	0.54	0.36	0.45	0.45	0.59	0.71	0.79	0.74	0.72	0.66	0.63	
01	춘천	20	0.59	0.59	0.44	0.50	0.55	0.67	0.77	0.83	0.80	0.78	0.72	0.67	
01	춘천	21	0.64	0.64	0.54	0.55	0.63	0.73	0.81	0.85	0.85	0.82	0.76	0.71	
01	춘천	22	0.69	0.67	0.58	0.58	0.69	0.77	0.85	0.88	0.90	0.84	0.79	0.73	
01	춘천	23	0.72	0.71	0.64	0.62	0.76	0.79	0.87	0.89	0.93	0.85	0.83	0.74	
01	춘천	24	0.73	0.75	0.69	0.65	0.77	0.82	0.88	0.91	0.93	0.88	0.83	0.74	
02	강릉	1	0.52	0.57	0.59	0.60	0.62	0.74	0.80	0.77	0.78	0.62	0.54	0.53	
02	강릉	2	0.52	0.56	0.59	0.61	0.61	0.75	0.80	0.79	0.78	0.62	0.56	0.52	
02	강릉	3	0.52	0.56	0.59	0.61	0.60	0.75	0.80	0.79	0.78	0.60	0.56	0.52	
02	강릉	4	0.53	0.56	0.60	0.61	0.61	0.75	0.82	0.79	0.79	0.60	0.56	0.51	
02	강릉	5	0.53	0.56	0.59	0.61	0.64	0.75	0.82	0.80	0.78	0.61	0.58	0.51	
02	강릉	6	0.53	0.55	0.58	0.61	0.65	0.76	0.82	0.79	0.79	0.62	0.58	0.51	
