지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	수평	0˚	55.46	65.21	129.20	89.00	126.46	99.71	73.69	66.39	69.24	71.46	56.05	42.95
01	춘천	남	30˚	99.84	101.48	166.56	95.54	124.07	93.40	70.58	70.86	82.92	104.19	95.93	82.10
01	춘천	남	45˚	112.49	109.76	168.67	89.15	110.30	80.79	61.85	65.90	81.45	110.36	106.65	93.87
01	춘천	남	60˚	117.47	110.56	159.29	76.80	89.32	62.98	49.20	56.51	74.43	109.01	110.10	99.25
01	춘천	남	90˚	103.62	90.02	109.35	37.80	32.76	18.17	16.17	27.26	46.02	84.62	94.78	89.81
01	춘천	남동	30˚	85.59	91.98	152.14	92.85	125.94	94.39	73.03	66.17	83.16	98.68	84.58	70.15
01	춘천	남동	45˚	92.54	96.70	149.31	86.32	114.47	83.01	65.66	59.94	81.95	102.82	90.62	76.99
01	춘천	남동	60˚	93.22	94.98	137.94	75.42	96.89	67.32	54.76	50.89	75.52	100.26	90.61	78.76
01	춘천	남동	90˚	76.11	73.59	92.69	43.89	50.77	30.79	26.58	26.92	49.44	76.58	73.15	66.49
01	춘천	남서	30˚	83.81	85.27	150.65	89.56	115.98	89.90	65.39	68.67	70.34	85.75	79.58	67.75
01	춘천	남서	45˚	89.84	87.07	147.16	81.91	101.04	77.58	56.17	63.46	64.46	85.15	83.84	73.72
01	춘천	남서	60˚	90.00	83.50	135.70	70.35	82.19	61.76	44.73	54.75	55.53	79.22	82.39	74.73
01	춘천	남서	90˚	72.61	61.29	90.90	39.16	39.14	26.67	19.22	30.14	30.53	54.45	63.98	61.75
01	춘천	동	30˚	51.68	63.66	116.91	81.60	118.78	91.02	70.21	56.77	70.16	73.41	53.62	40.98
01	춘천	동	45˚	47.48	58.99	104.76	72.63	105.93	79.18	62.40	48.46	64.58	69.41	49.37	38.14
01	춘천	동	60˚	41.79	52.43	90.42	61.78	89.44	64.81	51.87	39.23	56.10	62.49	43.90	34.38
01	춘천	동	90˚	28.29	35.53	57.13	37.09	52.34	35.46	29.33	20.58	34.88	42.56	29.40	23.80
01	춘천	서	30˚	49.20	55.06	115.16	76.98	104.63	84.68	59.58	60.32	53.09	56.50	47.70	38.00
01	춘천	서	45˚	44.41	48.39	102.94	66.71	87.75	71.41	49.25	52.84	43.16	48.03	42.10	34.45
01	춘천	서	60˚	39.21	41.13	88.45	55.33	70.07	56.64	38.29	43.74	33.31	39.81	35.53	30.06
01	춘천	서	90˚	25.87	25.40	55.13	31.74	37.13	28.29	17.57	24.30	16.04	24.01	22.35	20.41
01	춘천	북서	30˚	17.16	26.53	76.14	63.14	94.22	79.22	55.07	49.63	38.60	30.34	18.35	10.84
01	춘천	북서	45˚	7.47	13.58	51.00	46.14	70.11	61.36	40.77	37.21	23.28	16.14	7.90	4.10
01	춘천	북서	60˚	3.62	7.21	33.11	31.43	47.47	42.56	26.94	25.40	12.60	8.89	3.61	1.80
01	춘천	북서	90˚	1.22	2.82	13.95	14.01	19.44	16.26	8.81	10.64	3.64	3.64	1.15	0.59
01	춘천	북동	30˚	18.14	31.74	77.30	66.60	104.82	84.28	63.30	47.10	50.89	41.40	21.47	12.37
01	춘천	북동	45˚	7.99	18.66	51.84	50.59	84.29	68.05	51.70	33.96	37.69	27.21	10.51	4.95
01	춘천	북동	60˚	3.67	11.18	33.97	35.90	62.41	49.68	38.22	22.19	25.91	17.53	5.52	2.11
01	춘천	북동	90˚	1.15	4.85	15.00	16.84	29.33	22.28	18.08	8.61	11.39	7.74	1.95	0.64
01	춘천	북	30˚	1.39	12.63	57.24	58.62	94.97	79.66	57.14	44.13	37.00	20.03	3.89	0.00
01	춘천	북	45˚	0.06	0.04	15.38	36.83	68.85	61.05	42.66	28.04	16.49	0.61	0.00	0.00
01	춘천	북	60˚	0.09	0.05	0.07	12.57	38.03	38.27	25.27	10.04	0.72	0.02	0.00	0.00
01	춘천	북	90˚	0.14	0.07	0.01	0.88	3.67	4.79	2.81	0.53	0.10	0.02	0.00	0.00
02	강릉	수평	0˚	55.51	74.72	94.36	116.94	124.84	116.69	70.32	66.56	89.78	87.01	49.19	53.99
02	강릉	남	30˚	99.79	115.28	123.21	129.60	122.16	107.64	66.86	69.71	109.41	125.93	83.31	102.56
02	강릉	남	45˚	112.39	124.36	125.41	122.84	108.42	92.31	58.32	64.25	108.26	133.06	92.36	117.09
02	강릉	남	60˚	117.33	124.96	119.05	107.83	87.59	71.16	45.99	54.56	99.74	131.11	95.12	123.64
02	강릉	남	90˚	103.43	101.15	83.00	57.40	31.65	19.49	14.31	25.20	63.37	101.16	81.43	111.59
02	강릉	남동	30˚	84.01	100.39	111.73	118.68	116.96	105.03	62.77	64.03	99.08	109.48	72.32	84.11
02	강릉	남동	45˚	90.24	103.67	109.81	109.22	103.29	90.68	53.80	57.39	94.76	110.31	76.91	91.01
02	강릉	남동	60˚	90.50	100.31	101.92	94.57	85.12	72.49	43.28	48.18	85.38	104.08	76.27	91.89
02	강릉	남동	90˚	73.05	75.27	69.11	53.89	42.51	32.94	20.92	24.80	54.10	74.19	60.85	75.60
02	강릉	남서	30˚	85.29	101.12	111.58	126.59	121.43	108.85	68.60	69.99	102.46	113.37	70.75	88.33
02	강릉	남서	45˚	91.92	104.49	109.50	119.82	109.16	95.76	61.71	65.30	99.10	115.95	74.87	97.11
02	강릉	남서	60˚	92.56	101.48	101.49	106.66	91.56	78.34	51.71	57.08	89.86	110.78	73.89	99.28
02	강릉	남서	90˚	75.39	76.51	68.68	64.75	47.74	37.57	27.03	32.66	57.90	80.98	57.99	83.68
02	강릉	동	30˚	49.86	67.04	84.87	99.08	107.45	100.39	58.00	55.21	78.05	75.88	45.82	46.77
02	강릉	동	45˚	45.09	60.56	76.12	85.39	92.26	85.78	48.77	46.66	68.89	67.38	42.21	42.01
02	강릉	동	60˚	39.45	53.12	65.87	70.65	75.72	69.75	39.85	37.44	58.33	57.74	37.41	37.10
02	강릉	동	90˚	26.24	34.74	41.68	40.94	43.16	38.74	22.56	20.13	34.73	36.58	24.80	24.76
02	강릉	서	30˚	51.22	68.23	84.72	109.73	113.21	105.84	66.07	63.34	82.24	80.76	43.89	52.05
02	강릉	서	45˚	46.92	61.98	75.86	99.17	99.79	93.02	59.02	57.13	73.38	73.24	39.42	48.71
02	강릉	서	60˚	41.78	54.35	65.48	85.20	83.94	77.51	50.22	48.64	62.98	64.07	33.98	43.65
02	강릉	서	90˚	28.01	35.43	41.51	52.15	48.86	44.39	30.71	29.18	39.79	42.27	22.76	30.70
02	강릉	북서	30˚	18.12	34.08	55.04	86.42	100.54	98.74	59.75	52.63	58.41	45.04	17.65	15.89
02	강릉	북서	45˚	7.99	19.30	36.63	65.51	79.54	80.22	48.78	41.32	40.82	27.75	8.55	6.45
02	강릉	북서	60˚	3.78	11.14	23.97	46.42	58.25	59.92	36.90	29.78	27.59	17.08	4.58	2.94
02	강릉	북서	90˚	1.17	4.24	10.31	21.76	26.76	28.06	18.35	14.13	12.92	6.68	1.83	0.90
02	강릉	북동	30˚	17.44	33.44	55.10	78.70	96.50	94.76	53.95	46.55	55.52	41.95	18.98	13.79
02	강릉	북동	45˚	7.65	19.00	36.64	55.89	73.89	74.74	40.82	33.54	38.07	24.73	9.36	5.21
02	강릉	북동	60˚	3.54	11.02	23.90	37.33	52.35	53.79	28.92	22.21	24.75	14.56	4.69	2.07
02	강릉	북동	90˚	0.99	4.49	10.11	16.77	23.92	24.71	12.93	9.19	9.56	5.43	1.85	0.57
02	강릉	북	30˚	1.59	15.15	40.23	72.95	94.12	94.78	55.01	45.57	46.10	25.11	4.16	0.01
02	강릉	북	45˚	0.00	0.00	9.03	42.63	68.49	73.64	41.39	30.00	18.73	0.75	0.00	0.00
02	강릉	북	60˚	0.00	0.00	0.01	10.35	38.18	47.47	24.95	12.37	0.89	0.00	0.00	0.00
02	강릉	북	90˚	0.00	0.00	0.00	0.75	3.67	6.94	2.52	1.06	0.06	0.00	0.00	0.00
03	서울	수평	0˚	57.90	70.05	90.05	71.21	103.22	105.21	44.46	45.95	56.39	73.52	40.83	39.11
03	서울	남	30˚	101.59	106.37	115.71	77.72	101.16	96.89	42.55	48.53	67.38	106.56	68.62	72.80
03	서울	남	45˚	113.70	114.16	117.02	73.09	89.84	83.02	37.24	44.96	66.12	112.64	75.91	82.71
03	서울	남	60˚	118.06	114.18	110.37	63.51	72.63	63.90	29.50	38.42	60.39	111.05	78.02	86.99
03	서울	남	90˚	102.89	91.39	75.45	32.40	26.29	17.36	9.43	18.30	37.25	85.79	66.52	77.87
03	서울	남동	30˚	84.87	92.48	101.79	74.62	97.62	95.03	41.58	43.78	63.76	92.75	59.93	60.33
03	서울	남동	45˚	90.08	94.98	98.12	69.25	86.39	82.27	36.41	39.16	61.56	93.45	63.63	65.11
03	서울	남동	60˚	89.15	91.16	88.80	60.14	71.41	66.26	29.37	33.11	56.13	88.54	63.11	65.52
03	서울	남동	90˚	69.75	67.01	56.70	33.98	35.58	30.54	13.26	17.67	36.64	63.38	49.84	53.26
03	서울	남서	30˚	88.18	93.82	108.18	72.29	99.43	97.60	41.70	49.57	61.47	95.95	57.87	62.47
03	서울	남서	45˚	94.73	96.60	106.75	66.13	88.65	85.66	36.62	46.76	58.48	98.10	60.90	68.13
03	서울	남서	60˚	94.86	93.05	98.85	56.82	73.92	69.73	29.59	41.22	52.61	93.89	59.80	69.20
03	서울	남서	90˚	76.26	68.65	66.34	31.02	37.38	32.95	13.15	24.57	33.09	68.65	46.19	57.43
03	서울	동	30˚	48.90	62.08	75.86	64.33	89.77	91.34	38.90	37.13	52.31	64.37	37.78	33.79
03	서울	동	45˚	41.88	54.90	65.36	56.26	77.24	78.67	33.12	31.61	47.47	57.29	34.18	29.64
03	서울	동	60˚	33.94	46.64	54.29	46.69	63.30	64.47	26.49	25.71	41.40	49.14	29.86	25.08
03	서울	동	90˚	19.58	28.82	31.21	26.33	34.99	36.04	13.52	13.98	26.67	30.70	19.21	15.36
03	서울	서	30˚	53.09	63.55	84.15	61.18	92.19	94.76	39.09	45.05	49.33	68.33	35.50	36.48
03	서울	서	45˚	47.03	56.69	75.60	52.52	80.31	82.93	33.35	41.02	43.72	61.93	31.35	33.04
03	서울	서	60˚	40.31	48.57	64.83	42.77	66.50	68.80	26.55	35.63	37.32	54.24	26.48	28.64
03	서울	서	90˚	24.24	30.35	40.52	22.90	37.59	39.45	13.70	22.84	23.26	35.39	16.37	18.37
