지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	수평	0˚	45.28	54.09	64.33	87.69	97.04	114.68	112.36	96.92	92.62	68.03	43.56	37.60
01	춘천	남	30˚	70.41	75.66	78.40	98.53	100.29	115.70	117.19	106.42	106.94	88.74	64.58	62.25
01	춘천	남	45˚	78.87	82.08	81.85	98.30	97.00	110.03	112.49	104.55	107.58	93.95	71.36	70.91
01	춘천	남	60˚	83.75	84.90	82.52	94.27	90.75	100.80	103.55	98.38	103.71	95.12	74.98	76.22
01	춘천	남	90˚	81.67	79.20	75.58	75.81	71.38	75.09	76.04	74.99	83.74	85.34	71.98	75.56
01	춘천	남동	30˚	64.82	70.97	74.87	97.75	100.84	116.23	117.32	103.32	104.62	84.52	59.17	56.12
01	춘천	남동	45˚	71.24	75.92	77.68	97.92	98.85	111.99	113.61	101.22	104.83	88.35	63.76	62.25
01	춘천	남동	60˚	74.66	77.87	78.75	95.19	94.50	104.87	106.47	96.08	101.43	88.88	65.83	65.86
01	춘천	남동	90˚	71.73	72.60	74.56	81.22	80.37	84.92	85.26	78.08	84.62	80.16	62.35	64.10
01	춘천	남서	30˚	62.70	69.94	75.36	96.45	99.77	116.56	116.53	106.37	102.68	83.53	57.96	55.36
01	춘천	남서	45˚	67.97	74.31	78.33	96.25	97.45	112.54	112.99	105.20	102.32	87.34	62.36	61.33
01	춘천	남서	60˚	70.66	75.96	79.46	93.27	93.00	105.64	106.01	100.44	98.62	87.86	64.21	64.69
01	춘천	남서	90˚	67.29	70.51	75.19	79.08	78.80	85.42	84.66	81.71	81.89	79.32	60.40	62.59
01	춘천	동	30˚	50.62	59.25	66.94	92.23	99.11	115.76	115.27	97.50	96.01	73.15	46.46	42.61
01	춘천	동	45˚	52.84	61.05	68.43	91.77	97.37	112.20	111.73	94.53	94.38	74.14	47.65	44.75
01	춘천	동	60˚	54.00	61.81	69.31	89.45	94.21	106.56	105.96	89.83	90.79	73.61	48.22	46.10
01	춘천	동	90˚	52.91	59.16	67.93	79.36	83.48	90.85	89.33	76.28	78.19	67.90	46.32	45.35
01	춘천	서	30˚	48.36	58.26	67.60	90.29	97.38	116.06	114.17	101.72	93.62	72.09	45.38	41.99
01	춘천	서	45˚	49.67	59.75	69.19	89.20	95.16	112.73	110.61	99.82	91.42	73.01	46.30	43.98
01	춘천	서	60˚	50.38	60.10	70.01	86.37	91.58	107.15	104.69	95.41	87.50	72.60	46.50	45.01
01	춘천	서	90˚	48.50	56.72	68.65	76.13	81.07	90.77	87.65	80.94	74.70	67.09	44.71	44.06
01	춘천	북서	30˚	33.99	44.60	56.80	81.97	93.08	113.13	110.06	93.98	82.78	58.01	32.67	27.97
01	춘천	북서	45˚	32.33	42.28	54.71	77.06	87.86	106.86	103.18	88.27	76.53	54.84	30.84	27.10
01	춘천	북서	60˚	32.47	41.48	54.08	72.56	82.37	98.95	94.81	81.73	71.19	53.11	30.66	27.84
01	춘천	북서	90˚	33.89	41.27	54.83	64.86	73.13	83.02	78.65	69.27	61.62	50.82	31.82	29.78
01	춘천	북동	30˚	34.74	44.98	56.31	83.54	94.62	113.14	111.20	90.76	84.54	58.74	33.17	28.16
01	춘천	북동	45˚	33.49	43.02	54.22	79.16	89.79	106.76	104.48	84.17	78.58	55.44	31.36	27.45
01	춘천	북동	60˚	33.85	42.64	53.58	74.97	84.56	98.81	96.22	77.62	73.40	53.64	31.19	28.20
01	춘천	북동	90˚	35.54	42.63	54.45	67.28	74.96	83.61	80.44	66.32	63.81	51.12	32.14	30.08
01	춘천	북	30˚	26.40	35.79	49.83	78.59	92.35	112.57	109.34	89.31	77.88	49.07	25.36	21.76
01	춘천	북	45˚	27.91	32.89	42.12	69.94	85.43	105.11	101.12	80.20	66.46	42.15	25.84	23.72
01	춘천	북	60˚	29.76	34.79	41.26	59.64	76.01	93.96	89.06	68.32	57.59	43.30	27.57	25.55
01	춘천	북	90˚	32.68	37.35	46.98	55.87	63.54	72.47	68.37	57.87	54.69	44.65	30.40	28.31
02	강릉	수평	0˚	38.28	52.20	69.29	75.19	92.03	102.92	111.19	91.60	80.59	49.96	45.05	36.66
02	강릉	남	30˚	59.98	72.66	84.78	82.79	94.52	104.55	115.31	100.67	94.81	66.65	64.98	60.23
02	강릉	남	45˚	67.52	78.90	87.90	82.60	91.30	100.09	110.46	99.04	96.42	71.56	71.14	68.65
02	강릉	남	60˚	72.10	81.86	87.59	79.77	85.43	92.58	101.46	93.46	94.15	73.68	74.15	74.00
02	강릉	남	90˚	71.36	77.32	76.96	66.77	67.67	71.30	74.24	71.89	78.80	69.18	70.12	74.27
02	강릉	남동	30˚	53.44	67.61	81.22	82.32	95.01	106.16	115.93	98.36	91.85	62.37	59.21	52.92
02	강릉	남동	45˚	58.46	72.13	83.47	82.96	93.16	103.64	112.46	96.87	93.08	66.08	63.14	58.31
02	강릉	남동	60˚	61.37	74.19	83.27	81.54	89.10	98.48	105.42	92.36	91.28	67.58	64.47	61.57
02	강릉	남동	90˚	59.62	70.10	74.74	72.61	75.98	81.90	83.35	76.00	79.15	64.28	60.01	60.66
02	강릉	남서	30˚	54.54	67.46	81.30	81.44	94.56	104.87	114.45	101.04	91.56	62.60	59.67	54.05
02	강릉	남서	45˚	59.87	71.82	83.54	81.52	92.45	101.76	110.54	100.30	92.58	66.43	63.96	60.09
02	강릉	남서	60˚	63.05	73.83	83.38	79.72	88.24	96.26	103.42	96.24	90.67	67.94	65.59	63.67
