지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	수평	0˚	26.34	32.39	40.71	50.39	55.13	58.87	58.03	52.50	46.14	35.11	28.36	24.22
01	춘천	남	30˚	25.75	31.75	40.50	51.15	56.45	60.41	59.50	53.14	46.21	34.55	27.79	23.61
01	춘천	남	45˚	25.60	31.55	40.42	51.48	57.10	61.21	60.28	53.44	46.24	34.36	27.64	23.46
01	춘천	남	60˚	25.48	31.37	40.33	51.83	57.86	62.16	61.11	53.76	46.26	34.18	27.50	23.34
01	춘천	남	90˚	25.21	30.94	40.07	53.25	60.87	66.17	64.58	55.05	46.32	33.72	27.21	23.10
01	춘천	남동	30˚	25.77	31.39	40.25	50.15	54.94	58.82	57.21	53.03	44.70	33.94	27.60	23.61
01	춘천	남동	45˚	25.55	30.96	39.87	49.61	54.30	58.29	56.45	52.92	44.00	33.46	27.35	23.43
01	춘천	남동	60˚	25.34	30.52	39.23	48.58	53.14	57.13	55.08	52.21	43.14	32.94	27.10	23.23
01	춘천	남동	90˚	24.83	29.29	36.93	44.19	47.59	50.11	48.16	48.20	40.20	31.41	26.37	22.79
01	춘천	남서	30˚	25.92	32.18	40.51	50.82	56.49	60.34	60.36	52.36	47.39	35.20	28.18	23.80
01	춘천	남서	45˚	25.78	32.03	40.22	50.52	56.50	60.32	60.69	51.91	47.67	35.02	28.05	23.64
01	춘천	남서	60˚	25.60	31.77	39.66	49.65	55.69	59.60	60.31	51.03	47.49	34.70	27.91	23.48
01	춘천	남서	90˚	25.13	30.78	37.50	45.41	50.11	53.53	55.44	46.88	45.59	33.30	27.45	23.11
01	춘천	동	30˚	25.48	30.76	39.60	48.87	53.32	57.05	55.28	52.37	43.50	33.17	27.24	23.30
01	춘천	동	45˚	24.49	29.34	38.00	46.91	51.39	55.15	53.08	50.99	41.73	31.71	26.15	22.34
01	춘천	동	60˚	23.26	27.65	35.90	44.09	48.53	52.04	49.83	48.50	39.47	30.02	24.89	21.24
01	춘천	동	90˚	20.58	23.73	30.59	36.17	40.12	41.83	39.85	39.94	33.32	25.97	21.93	18.76
01	춘천	서	30˚	25.80	32.09	40.01	49.89	55.57	59.24	59.76	51.32	47.63	35.17	28.21	23.60
01	춘천	서	45˚	24.82	30.87	38.51	48.18	54.23	58.06	59.09	49.67	46.90	33.78	27.33	22.64
01	춘천	서	60˚	23.63	29.26	36.48	45.46	51.45	55.53	56.97	47.11	45.10	31.73	26.06	21.43
01	춘천	서	90˚	20.79	25.07	31.14	37.41	42.17	45.69	47.26	38.93	38.08	26.53	23.07	18.85
01	춘천	북서	30˚	25.26	32.10	40.11	49.61	54.87	58.35	58.73	51.12	47.67	35.37	28.01	22.61
01	춘천	북서	45˚	20.50	27.77	36.92	47.27	53.55	57.30	58.39	48.90	46.11	31.02	23.66	17.23
01	춘천	북서	60˚	15.74	21.83	31.66	41.94	49.17	53.85	55.26	44.00	40.68	24.35	18.40	12.37
01	춘천	북서	90˚	10.29	14.07	21.74	29.51	34.60	38.09	38.47	30.88	24.89	15.40	12.35	7.56
01	춘천	북동	30˚	24.94	30.63	39.70	48.62	52.91	56.44	54.86	52.04	43.51	33.13	26.89	22.44
01	춘천	북동	45˚	20.36	26.30	36.35	45.89	50.66	54.34	52.30	50.26	40.42	29.39	22.53	17.42
01	춘천	북동	60˚	15.29	20.71	31.06	40.52	46.17	50.01	47.52	45.31	35.24	24.35	17.81	12.11
01	춘천	북동	90˚	8.91	13.02	22.18	27.93	33.21	34.73	33.34	31.23	24.12	16.33	12.55	6.26
01	춘천	북	30˚	31.40	35.47	41.31	49.17	53.41	56.81	56.13	51.48	45.97	37.43	33.04	30.22
01	춘천	북	45˚	12.79	2.35	42.39	47.64	51.77	55.07	54.43	50.22	45.59	42.82	0.00	0.00
