지역코드	지역명	방향	각도	종류	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	수평	0˚	우측												
01	춘천	남	30˚	우측	6.00	9.00	9.07	19.83	30.79	55.25	36.36	31.59	15.55	9.00	5.93	6.00
01	춘천	남	45˚	우측	6.00	9.00	9.07	19.83	30.79	55.25	36.36	31.59	15.55	9.00	5.93	6.00
01	춘천	남	60˚	우측	6.00	9.00	9.07	19.83	30.79	55.25	36.36	31.59	15.55	9.00	5.93	6.00
01	춘천	남	90˚	우측	6.00	9.00	9.07	19.83	30.79	55.25	36.36	31.59	15.55	9.00	5.93	6.00
01	춘천	남동	30˚	우측	8.00	9.80	10.37	19.62	29.24	50.47	33.62	29.76	16.30	11.00	7.09	5.14
01	춘천	남동	45˚	우측	8.00	9.80	10.37	19.62	29.24	50.47	33.62	29.76	16.30	11.00	7.09	5.14
01	춘천	남동	60˚	우측	8.00	9.80	10.37	19.62	29.24	50.47	33.62	29.76	16.30	11.00	7.09	5.14
01	춘천	남동	90˚	우측	8.00	9.80	10.37	19.62	29.24	50.47	33.62	29.76	16.30	11.00	7.09	5.14
01	춘천	남서	30˚	우측	3.00	1.36	5.00	15.76	28.55	54.98	35.30	29.04	10.08	1.38	3.00	3.00
01	춘천	남서	45˚	우측	3.00	1.36	5.00	15.76	28.55	54.98	35.30	29.04	10.08	1.38	3.00	3.00
01	춘천	남서	60˚	우측	3.00	1.36	5.00	15.76	28.55	54.98	35.30	29.04	10.08	1.38	3.00	3.00
01	춘천	남서	90˚	우측	3.00	1.36	5.00	15.76	28.55	54.98	35.30	29.04	10.08	1.38	3.00	3.00
01	춘천	동	30˚	우측	3.82	6.97	7.32	16.03	25.74	45.74	29.59	25.25	12.95	6.68	4.93	3.11
01	춘천	동	45˚	우측	3.82	6.97	7.32	16.03	25.74	45.74	29.59	25.25	12.95	6.68	4.93	3.11
01	춘천	동	60˚	우측	3.82	6.97	7.32	16.03	25.74	45.74	29.59	25.25	12.95	6.68	4.93	3.11
01	춘천	동	90˚	우측	3.82	6.97	7.32	16.03	25.74	45.74	29.59	25.25	12.95	6.68	4.93	3.11
01	춘천	서	30˚	우측	0.00	0.00	1.36	12.51	23.73	49.15	31.32	24.27	6.96	0.00	0.00	0.00
01	춘천	서	45˚	우측	0.00	0.00	1.36	12.51	23.73	49.15	31.32	24.27	6.96	0.00	0.00	0.00
01	춘천	서	60˚	우측	0.00	0.00	1.36	12.51	23.73	49.15	31.32	24.27	6.96	0.00	0.00	0.00
01	춘천	서	90˚	우측	0.00	0.00	1.36	12.51	23.73	49.15	31.32	24.27	6.96	0.00	0.00	0.00
01	춘천	북서	30˚	우측	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	북서	45˚	우측	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	북서	60˚	우측	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	북서	90˚	우측	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	북동	30˚	우측	2.81	5.40	5.35	13.34	22.92	41.96	26.47	21.79	10.47	4.95	3.80	2.16
01	춘천	북동	45˚	우측	2.81	5.40	5.35	13.34	22.92	41.96	26.47	21.79	10.47	4.95	3.80	2.16
01	춘천	북동	60˚	우측	2.81	5.40	5.35	13.34	22.92	41.96	26.47	21.79	10.47	4.95	3.80	2.16
01	춘천	북동	90˚	우측	2.81	5.40	5.35	13.34	22.92	41.96	26.47	21.79	10.47	4.95	3.80	2.16
01	춘천	북	30˚	우측												
01	춘천	북	45˚	우측												
01	춘천	북	60˚	우측												
01	춘천	북	90˚	우측												
01	춘천	수평	0˚	좌측												
01	춘천	남	30˚	좌측	-9.00	-6.62	-9.63	-20.50	-37.05	-50.39	-37.13	-28.63	-18.74	-8.85	-5.82	-9.00
01	춘천	남	45˚	좌측	-9.00	-6.62	-9.63	-20.50	-37.05	-50.39	-37.13	-28.63	-18.74	-8.85	-5.82	-9.00
01	춘천	남	60˚	좌측	-9.00	-6.62	-9.63	-20.50	-37.05	-50.39	-37.13	-28.63	-18.74	-8.85	-5.82	-9.00
01	춘천	남	90˚	좌측	-9.00	-6.62	-9.63	-20.50	-37.05	-50.39	-37.13	-28.63	-18.74	-8.85	-5.82	-9.00
01	춘천	남동	30˚	좌측	-3.00	-2.00	-2.00	-16.56	-35.61	-49.19	-35.56	-25.73	-13.49	-1.61	-3.00	-3.00
01	춘천	남동	45˚	좌측	-3.00	-2.00	-2.00	-16.56	-35.61	-49.19	-35.56	-25.73	-13.49	-1.61	-3.00	-3.00
01	춘천	남동	60˚	좌측	-3.00	-2.00	-2.00	-16.56	-35.61	-49.19	-35.56	-25.73	-13.49	-1.61	-3.00	-3.00
01	춘천	남동	90˚	좌측	-3.00	-2.00	-2.00	-16.56	-35.61	-49.19	-35.56	-25.73	-13.49	-1.61	-3.00	-3.00
01	춘천	남서	30˚	좌측	-8.00	-7.98	-11.03	-20.35	-34.26	-46.90	-34.78	-27.50	-19.00	-10.43	-6.86	-8.00
01	춘천	남서	45˚	좌측	-8.00	-7.98	-11.03	-20.35	-34.26	-46.90	-34.78	-27.50	-19.00	-10.43	-6.86	-8.00
01	춘천	남서	60˚	좌측	-8.00	-7.98	-11.03	-20.35	-34.26	-46.90	-34.78	-27.50	-19.00	-10.43	-6.86	-8.00
01	춘천	남서	90˚	좌측	-8.00	-7.98	-11.03	-20.35	-34.26	-46.90	-34.78	-27.50	-19.00	-10.43	-6.86	-8.00
01	춘천	동	30˚	좌측	0.00	0.00	-1.88	-12.88	-30.99	-42.61	-30.33	-20.82	-9.89	0.00	0.00	0.00
01	춘천	동	45˚	좌측	0.00	0.00	-1.88	-12.88	-30.99	-42.61	-30.33	-20.82	-9.89	0.00	0.00	0.00
01	춘천	동	60˚	좌측	0.00	0.00	-1.88	-12.88	-30.99	-42.61	-30.33	-20.82	-9.89	0.00	0.00	0.00
01	춘천	동	90˚	좌측	0.00	0.00	-1.88	-12.88	-30.99	-42.61	-30.33	-20.82	-9.89	0.00	0.00	0.00
01	춘천	서	30˚	좌측	-3.39	-5.21	-8.41	-16.91	-29.68	-42.91	-31.27	-23.64	-15.00	-7.29	-4.25	-3.72
