지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
01	춘천	수평	0˚	29265.95	33883.34	46984.65	43238.18	52001.71	45122.89	44037.14	42090.58	38813.15	35834.47	31740.53	25788.31	342534.31
01	춘천	남	30˚	49496.25	50343.81	59478.26	47424.05	52117.58	43937.59	44388.44	45646.12	45495.36	49553.33	51286.28	46350.16	427484.62
01	춘천	남	45˚	55636.58	54495.18	60821.15	45763.24	48084.88	40037.39	41159.19	43843.96	45269.20	52437.71	56909.97	52897.33	435997.53
01	춘천	남	60˚	58500.54	55484.69	58696.56	41706.90	41669.29	34289.88	35989.77	39779.00	42629.15	52346.84	59189.28	56299.11	420713.81
01	춘천	남	90˚	53855.29	47928.47	44851.25	27556.77	23853.52	19303.59	21533.53	26095.45	30965.15	43466.46	53331.93	52969.34	325010.16
01	춘천	남동	30˚	43614.56	46231.17	55029.36	46563.33	52741.10	44229.77	44900.77	43470.92	45054.52	47091.94	45970.95	40456.06	405491.42
01	춘천	남동	45˚	47444.90	48907.01	54971.52	44952.15	49550.95	40859.69	42171.21	41220.37	44796.73	49116.97	49408.02	44581.56	407296.23
01	춘천	남동	60˚	48588.36	48893.34	52431.70	41558.60	44378.05	35948.59	37792.34	37467.00	42399.01	48555.66	50093.32	46257.21	389965.91
01	춘천	남동	90˚	42696.15	41165.53	40398.69	30328.73	30224.70	23841.23	26033.56	26491.49	32005.85	40109.82	43386.60	41639.65	305158.15
01	춘천	남서	30˚	42638.55	43783.44	54824.62	45369.93	49894.27	43307.32	42972.46	45083.72	41234.17	43004.57	43747.14	39161.75	390736.13
01	춘천	남서	45˚	45941.12	45379.70	54652.05	43368.15	45721.73	39760.70	39887.80	43370.13	39615.18	43585.45	46455.18	42847.46	387426.85
01	춘천	남서	60˚	46774.32	44706.45	52106.35	39749.69	40180.08	34867.39	35436.84	39812.05	36488.35	41990.01	46534.57	44123.74	367058.55
01	춘천	남서	90˚	40699.21	36692.04	40150.81	28555.11	26830.86	23052.46	24219.51	28486.52	26376.85	33217.14	39376.49	39123.10	282305.91
01	춘천	동	30˚	29515.51	34557.51	44460.79	42387.53	50610.03	43325.22	43650.08	39390.99	39809.99	37503.90	31822.01	26353.85	338495.82
01	춘천	동	45˚	28841.62	33528.64	41815.50	39993.51	47132.64	39940.47	40808.96	36313.96	38006.64	36597.59	30782.95	25917.19	321138.25
01	춘천	동	60˚	27444.71	31719.51	38510.08	36697.54	42468.98	35552.28	36839.95	32563.78	35031.90	34553.89	29189.39	24959.83	296156.58
01	춘천	동	90˚	23165.35	26021.41	30086.50	28139.34	31203.15	25923.44	27549.45	24186.05	26787.22	27819.25	23932.99	21183.62	230714.01
