지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	남	90˚	0.69	0.61	0.62	0.80	0.76	0.69	0.67	0.76	0.86	0.56	0.71	0.67
01	춘천	남동	90˚	0.60	0.57	0.64	0.78	0.76	0.68	0.66	0.68	0.81	0.56	0.62	0.57
01	춘천	남서	90˚	0.56	0.51	0.64	0.77	0.71	0.67	0.63	0.73	0.76	0.43	0.59	0.58
01	춘천	동	90˚	0.32	0.39	0.53	0.70	0.73	0.69	0.67	0.59	0.68	0.37	0.33	0.31
01	춘천	서	90˚	0.24	0.26	0.48	0.67	0.67	0.67	0.60	0.64	0.58	0.19	0.27	0.23
01	춘천	북서	90˚	0.00	0.00	0.05	0.45	0.53	0.55	0.47	0.46	0.17	0.00	0.00	0.00
01	춘천	북동	90˚	0.05	0.00	0.01	0.52	0.60	0.60	0.55	0.40	0.32	0.00	0.00	0.00
01	춘천	북	90˚	0.00	0.00	0.00	0.06	0.04	0.13	0.11	0.06	0.01	0.00	0.00	0.00
02	강릉	남	90˚	0.71	0.65	0.51	0.83	0.75	0.64	0.67	0.73	0.87	0.69	0.62	0.73
02	강릉	남동	90˚	0.63	0.57	0.54	0.78	0.73	0.67	0.65	0.66	0.81	0.60	0.55	0.63
02	강릉	남서	90˚	0.65	0.60	0.51	0.80	0.74	0.67	0.64	0.74	0.83	0.67	0.50	0.67
02	강릉	동	90˚	0.31	0.37	0.39	0.67	0.70	0.68	0.63	0.58	0.69	0.36	0.21	0.29
02	강릉	서	90˚	0.35	0.37	0.38	0.72	0.73	0.68	0.64	0.66	0.70	0.51	0.25	0.30
02	강릉	북서	90˚	0.00	0.00	0.00	0.46	0.59	0.55	0.51	0.49	0.36	0.00	0.00	0.00
02	강릉	북동	90˚	0.00	0.00	0.00	0.45	0.57	0.56	0.51	0.38	0.32	0.00	0.00	0.00
02	강릉	북	90˚	0.00	0.00	0.00	0.01	0.08	0.12	0.09	0.05	0.03	0.00	0.00	0.00
03	서울	남	90˚	0.75	0.64	0.52	0.78	0.74	0.63	0.65	0.70	0.83	0.54	0.52	0.64
03	서울	남동	90˚	0.61	0.53	0.48	0.77	0.72	0.68	0.66	0.68	0.78	0.46	0.44	0.52
03	서울	남서	90˚	0.70	0.53	0.57	0.73	0.73	0.66	0.60	0.66	0.76	0.51	0.43	0.54
03	서울	동	90˚	0.12	0.18	0.28	0.67	0.69	0.69	0.67	0.60	0.64	0.20	0.11	0.03
03	서울	서	90˚	0.18	0.22	0.38	0.61	0.69	0.67	0.56	0.61	0.63	0.28	0.12	0.19
03	서울	북서	90˚	0.00	0.00	0.00	0.35	0.56	0.57	0.44	0.42	0.31	0.00	0.00	0.00
03	서울	북동	90˚	0.00	0.00	0.00	0.40	0.54	0.59	0.55	0.42	0.32	0.00	0.00	0.00
03	서울	북	90˚	0.00	0.00	0.00	0.04	0.08	0.12	0.12	0.07	0.02	0.00	0.00	0.00
04	인천	남	90˚	0.75	0.64	0.37	0.83	0.75	0.63	0.60	0.72	0.86	0.46	0.54	0.67
04	인천	남동	90˚	0.67	0.53	0.35	0.79	0.75	0.65	0.62	0.74	0.81	0.41	0.48	0.61
04	인천	남서	90˚	0.67	0.53	0.47	0.78	0.72	0.65	0.56	0.67	0.80	0.41	0.41	0.55
04	인천	동	90˚	0.32	0.20	0.23	0.70	0.73	0.64	0.61	0.67	0.69	0.19	0.20	0.21
04	인천	서	90˚	0.31	0.27	0.32	0.67	0.70	0.66	0.53	0.57	0.67	0.21	0.18	0.26
04	인천	북서	90˚	0.00	0.00	0.00	0.43	0.56	0.56	0.38	0.37	0.32	0.00	0.00	0.00
04	인천	북동	90˚	0.00	0.00	0.00	0.44	0.60	0.53	0.51	0.50	0.37	0.00	0.00	0.00
04	인천	북	90˚	0.00	0.00	0.00	0.02	0.07	0.10	0.07	0.06	0.02	0.00	0.00	0.00
05	원주	남	90˚	0.72	0.65	0.52	0.83	0.75	0.63	0.63	0.72	0.85	0.52	0.51	0.67
05	원주	남동	90˚	0.55	0.56	0.51	0.80	0.72	0.66	0.61	0.69	0.79	0.47	0.39	0.56
05	원주	남서	90˚	0.62	0.59	0.54	0.79	0.71	0.65	0.60	0.67	0.78	0.45	0.46	0.59
05	원주	동	90˚	0.21	0.30	0.35	0.70	0.68	0.69	0.61	0.61	0.65	0.21	0.08	0.15
05	원주	서	90˚	0.36	0.41	0.37	0.69	0.69	0.65	0.58	0.59	0.63	0.25	0.22	0.29
05	원주	북서	90˚	0.00	0.00	0.00	0.44	0.55	0.53	0.45	0.40	0.28	0.00	0.00	0.00
05	원주	북동	90˚	0.00	0.00	0.00	0.46	0.54	0.57	0.48	0.44	0.34	0.00	0.00	0.00
05	원주	북	90˚	0.00	0.00	0.00	0.05	0.07	0.07	0.10	0.09	0.01	0.00	0.00	0.00
06	청주	남	90˚	0.57	0.47	0.40	0.82	0.75	0.67	0.65	0.72	0.84	0.49	0.66	0.66
06	청주	남동	90˚	0.46	0.36	0.41	0.79	0.73	0.70	0.61	0.69	0.76	0.43	0.48	0.49
06	청주	남서	90˚	0.51	0.43	0.45	0.78	0.71	0.65	0.63	0.70	0.78	0.47	0.56	0.53
06	청주	동	90˚	0.17	0.13	0.28	0.70	0.68	0.71	0.61	0.61	0.57	0.16	0.15	0.12
06	청주	서	90˚	0.18	0.21	0.33	0.68	0.68	0.65	0.63	0.60	0.61	0.27	0.23	0.22
06	청주	북서	90˚	0.00	0.00	0.00	0.45	0.55	0.54	0.51	0.40	0.24	0.00	0.00	0.00
06	청주	북동	90˚	0.00	0.00	0.00	0.47	0.54	0.63	0.50	0.44	0.22	0.00	0.00	0.00
06	청주	북	90˚	0.00	0.00	0.00	0.05	0.05	0.12	0.09	0.05	0.01	0.00	0.00	0.00
07	대전	남	90˚	0.76	0.66	0.48	0.85	0.72	0.61	0.67	0.71	0.88	0.51	0.62	0.73
07	대전	남동	90˚	0.65	0.58	0.48	0.81	0.71	0.67	0.60	0.70	0.83	0.50	0.49	0.62
07	대전	남서	90˚	0.69	0.62	0.51	0.82	0.68	0.68	0.65	0.70	0.80	0.51	0.53	0.58
07	대전	동	90˚	0.33	0.33	0.33	0.73	0.71	0.67	0.60	0.62	0.70	0.30	0.19	0.26
07	대전	서	90˚	0.35	0.37	0.41	0.74	0.65	0.69	0.63	0.65	0.66	0.26	0.27	0.25
07	대전	북서	90˚	0.00	0.00	0.00	0.52	0.53	0.57	0.49	0.46	0.32	0.00	0.00	0.00
07	대전	북동	90˚	0.00	0.00	0.00	0.53	0.57	0.56	0.49	0.45	0.36	0.00	0.00	0.00
07	대전	북	90˚	0.00	0.00	0.00	0.06	0.06	0.15	0.10	0.07	0.02	0.00	0.00	0.00
08	대구	남	90˚	0.74	0.64	0.57	0.84	0.74	0.61	0.65	0.71	0.86	0.49	0.64	0.76
08	대구	남동	90˚	0.68	0.59	0.59	0.81	0.72	0.69	0.60	0.66	0.80	0.38	0.50	0.68
08	대구	남서	90˚	0.67	0.57	0.55	0.79	0.74	0.67	0.64	0.70	0.79	0.49	0.52	0.67
08	대구	동	90˚	0.41	0.37	0.45	0.74	0.69	0.70	0.61	0.58	0.68	0.18	0.21	0.32
08	대구	서	90˚	0.34	0.36	0.44	0.71	0.74	0.68	0.64	0.62	0.65	0.23	0.25	0.31
08	대구	북서	90˚	0.00	0.00	0.01	0.49	0.62	0.60	0.52	0.43	0.31	0.00	0.00	0.00
08	대구	북동	90˚	0.00	0.00	0.01	0.52	0.55	0.60	0.50	0.42	0.37	0.00	0.00	0.00
08	대구	북	90˚	0.00	0.00	0.00	0.05	0.11	0.15	0.10	0.06	0.03	0.00	0.00	0.00
09	전주	남	90˚	0.61	0.59	0.41	0.81	0.70	0.57	0.64	0.73	0.85	0.46	0.50	0.50
09	전주	남동	90˚	0.50	0.51	0.42	0.78	0.69	0.61	0.65	0.67	0.77	0.44	0.37	0.35
09	전주	남서	90˚	0.52	0.49	0.42	0.80	0.69	0.64	0.65	0.71	0.79	0.42	0.52	0.40
09	전주	동	90˚	0.19	0.24	0.29	0.70	0.68	0.61	0.65	0.61	0.64	0.22	0.08	0.03
09	전주	서	90˚	0.19	0.26	0.20	0.73	0.67	0.67	0.67	0.66	0.67	0.12	0.26	0.07
09	전주	북서	90˚	0.00	0.00	0.00	0.53	0.55	0.56	0.55	0.47	0.36	0.00	0.00	0.00
09	전주	북동	90˚	0.00	0.00	0.00	0.50	0.55	0.51	0.54	0.42	0.30	0.00	0.00	0.00
09	전주	북	90˚	0.00	0.00	0.00	0.06	0.06	0.12	0.12	0.05	0.03	0.00	0.00	0.00
