지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	남	90˚	0.64	0.56	0.57	0.68	0.64	0.58	0.57	0.64	0.73	0.52	0.65	0.62
01	춘천	남동	90˚	0.53	0.51	0.57	0.57	0.55	0.49	0.48	0.50	0.59	0.49	0.55	0.50
01	춘천	남서	90˚	0.50	0.45	0.57	0.56	0.52	0.48	0.46	0.53	0.55	0.38	0.52	0.51
01	춘천	동	90˚	0.25	0.29	0.40	0.39	0.40	0.38	0.37	0.33	0.38	0.28	0.25	0.24
01	춘천	서	90˚	0.18	0.20	0.37	0.37	0.37	0.37	0.34	0.35	0.32	0.14	0.20	0.17
01	춘천	북서	90˚	0.00	0.00	0.05	0.59	0.69	0.71	0.61	0.60	0.22	0.00	0.00	0.00
01	춘천	북동	90˚	0.05	0.00	0.01	0.67	0.77	0.78	0.72	0.52	0.42	0.00	0.00	0.00
01	춘천	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	남	90˚	0.65	0.60	0.47	0.71	0.64	0.54	0.57	0.62	0.74	0.63	0.57	0.67
02	강릉	남동	90˚	0.56	0.51	0.48	0.57	0.53	0.49	0.47	0.48	0.59	0.53	0.49	0.56
02	강릉	남서	90˚	0.58	0.53	0.46	0.58	0.53	0.48	0.47	0.54	0.60	0.60	0.45	0.59
02	강릉	동	90˚	0.23	0.28	0.29	0.37	0.39	0.38	0.35	0.32	0.39	0.27	0.16	0.22
02	강릉	서	90˚	0.27	0.28	0.28	0.40	0.41	0.38	0.36	0.36	0.39	0.38	0.19	0.23
02	강릉	북서	90˚	0.00	0.00	0.00	0.60	0.77	0.72	0.66	0.64	0.47	0.00	0.00	0.00
02	강릉	북동	90˚	0.00	0.00	0.00	0.58	0.74	0.73	0.66	0.49	0.42	0.00	0.00	0.00
02	강릉	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	남	90˚	0.69	0.59	0.48	0.66	0.62	0.53	0.55	0.59	0.71	0.50	0.48	0.59
03	서울	남동	90˚	0.54	0.47	0.43	0.56	0.52	0.50	0.48	0.49	0.57	0.40	0.39	0.47
03	서울	남서	90˚	0.62	0.47	0.50	0.53	0.53	0.48	0.44	0.48	0.56	0.45	0.38	0.48
03	서울	동	90˚	0.09	0.13	0.21	0.37	0.38	0.38	0.37	0.34	0.36	0.15	0.09	0.02
03	서울	서	90˚	0.13	0.17	0.29	0.34	0.39	0.37	0.31	0.34	0.35	0.21	0.09	0.15
03	서울	북서	90˚	0.00	0.00	0.00	0.45	0.73	0.74	0.57	0.54	0.40	0.00	0.00	0.00
03	서울	북동	90˚	0.00	0.00	0.00	0.51	0.71	0.77	0.72	0.54	0.42	0.00	0.00	0.00
03	서울	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	남	90˚	0.69	0.59	0.34	0.70	0.64	0.53	0.51	0.61	0.73	0.42	0.49	0.62
04	인천	남동	90˚	0.60	0.47	0.31	0.57	0.54	0.47	0.45	0.54	0.59	0.36	0.43	0.54
04	인천	남서	90˚	0.59	0.47	0.42	0.57	0.53	0.48	0.41	0.49	0.58	0.36	0.36	0.49
04	인천	동	90˚	0.24	0.15	0.18	0.39	0.41	0.36	0.34	0.37	0.39	0.14	0.15	0.16
04	인천	서	90˚	0.23	0.20	0.24	0.37	0.39	0.37	0.29	0.32	0.37	0.16	0.14	0.19
04	인천	북서	90˚	0.00	0.00	0.00	0.56	0.73	0.72	0.49	0.48	0.41	0.00	0.00	0.00
04	인천	북동	90˚	0.00	0.00	0.00	0.58	0.78	0.68	0.66	0.65	0.48	0.00	0.00	0.00
04	인천	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	남	90˚	0.67	0.60	0.48	0.70	0.64	0.53	0.53	0.61	0.72	0.48	0.47	0.61
05	원주	남동	90˚	0.49	0.50	0.46	0.58	0.53	0.48	0.45	0.50	0.57	0.42	0.35	0.50
05	원주	남서	90˚	0.55	0.53	0.48	0.58	0.52	0.47	0.43	0.49	0.57	0.40	0.41	0.52
05	원주	동	90˚	0.16	0.22	0.27	0.39	0.38	0.39	0.34	0.34	0.36	0.16	0.06	0.11
05	원주	서	90˚	0.27	0.31	0.28	0.39	0.38	0.36	0.32	0.33	0.35	0.19	0.17	0.22
05	원주	북서	90˚	0.00	0.00	0.00	0.58	0.72	0.69	0.59	0.52	0.36	0.00	0.00	0.00
05	원주	북동	90˚	0.00	0.00	0.00	0.59	0.70	0.74	0.62	0.57	0.45	0.00	0.00	0.00
05	원주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	남	90˚	0.53	0.43	0.37	0.70	0.63	0.57	0.55	0.61	0.71	0.45	0.61	0.61
06	청주	남동	90˚	0.40	0.32	0.36	0.58	0.53	0.51	0.45	0.50	0.55	0.38	0.43	0.43
06	청주	남서	90˚	0.45	0.38	0.40	0.56	0.51	0.47	0.46	0.51	0.56	0.41	0.50	0.47
06	청주	동	90˚	0.13	0.10	0.21	0.39	0.38	0.40	0.34	0.34	0.32	0.12	0.12	0.09
06	청주	서	90˚	0.13	0.16	0.25	0.38	0.38	0.36	0.35	0.33	0.34	0.21	0.17	0.17
06	청주	북서	90˚	0.00	0.00	0.00	0.59	0.71	0.70	0.66	0.52	0.31	0.00	0.00	0.00
06	청주	북동	90˚	0.00	0.00	0.00	0.61	0.70	0.81	0.64	0.58	0.28	0.00	0.00	0.00
06	청주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	남	90˚	0.70	0.61	0.44	0.72	0.61	0.52	0.56	0.61	0.74	0.47	0.57	0.67
07	대전	남동	90˚	0.58	0.52	0.43	0.59	0.51	0.49	0.43	0.51	0.60	0.45	0.44	0.55
07	대전	남서	90˚	0.61	0.55	0.45	0.60	0.49	0.49	0.47	0.51	0.59	0.46	0.47	0.52
07	대전	동	90˚	0.25	0.25	0.25	0.41	0.40	0.37	0.34	0.35	0.39	0.22	0.14	0.20
07	대전	서	90˚	0.27	0.28	0.31	0.41	0.36	0.38	0.35	0.36	0.37	0.20	0.21	0.19
07	대전	북서	90˚	0.00	0.00	0.00	0.67	0.69	0.74	0.64	0.60	0.42	0.00	0.00	0.00
07	대전	북동	90˚	0.00	0.00	0.00	0.69	0.74	0.73	0.63	0.58	0.47	0.00	0.00	0.00
07	대전	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	남	90˚	0.68	0.59	0.52	0.72	0.63	0.52	0.55	0.60	0.73	0.45	0.59	0.70
08	대구	남동	90˚	0.61	0.52	0.52	0.59	0.52	0.50	0.44	0.48	0.58	0.33	0.44	0.60
08	대구	남서	90˚	0.59	0.51	0.49	0.57	0.54	0.49	0.46	0.51	0.58	0.43	0.46	0.60
08	대구	동	90˚	0.31	0.28	0.34	0.41	0.38	0.39	0.34	0.32	0.38	0.14	0.16	0.25
08	대구	서	90˚	0.26	0.27	0.33	0.39	0.41	0.38	0.36	0.35	0.36	0.17	0.19	0.23
08	대구	북서	90˚	0.00	0.00	0.01	0.64	0.80	0.78	0.68	0.56	0.41	0.00	0.00	0.00
08	대구	북동	90˚	0.00	0.00	0.01	0.68	0.72	0.78	0.65	0.55	0.48	0.00	0.00	0.00
08	대구	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	남	90˚	0.56	0.55	0.38	0.69	0.60	0.49	0.54	0.62	0.72	0.42	0.46	0.46
09	전주	남동	90˚	0.44	0.45	0.37	0.57	0.50	0.45	0.47	0.49	0.56	0.39	0.33	0.31
09	전주	남서	90˚	0.46	0.43	0.38	0.58	0.50	0.47	0.47	0.52	0.57	0.37	0.46	0.35
09	전주	동	90˚	0.14	0.18	0.22	0.39	0.38	0.34	0.36	0.34	0.36	0.16	0.06	0.02
09	전주	서	90˚	0.14	0.19	0.15	0.41	0.37	0.37	0.37	0.37	0.37	0.09	0.20	0.05
09	전주	북서	90˚	0.00	0.00	0.00	0.69	0.71	0.72	0.72	0.62	0.46	0.00	0.00	0.00
