지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	남	90˚	0.59	0.59	0.74	0.51	0.62	0.45	0.35	0.37	0.40	0.53	0.61	0.56
01	춘천	남동	90˚	0.46	0.45	0.57	0.40	0.48	0.35	0.27	0.28	0.31	0.41	0.47	0.44
01	춘천	남서	90˚	0.46	0.45	0.57	0.40	0.48	0.35	0.27	0.28	0.31	0.41	0.47	0.44
01	춘천	동	90˚	0.32	0.32	0.39	0.28	0.34	0.25	0.19	0.20	0.22	0.29	0.33	0.31
01	춘천	서	90˚	0.32	0.32	0.39	0.28	0.34	0.25	0.19	0.20	0.22	0.29	0.33	0.31
01	춘천	북서	90˚	0.19	0.18	0.22	0.16	0.19	0.14	0.11	0.11	0.12	0.17	0.19	0.18
01	춘천	북동	90˚	0.19	0.18	0.22	0.16	0.19	0.14	0.11	0.11	0.12	0.17	0.19	0.18
01	춘천	북	90˚	0.05	0.05	0.06	0.05	0.05	0.04	0.02	0.02	0.03	0.05	0.05	0.05
02	강릉	남	90˚	0.66	0.66	0.64	0.68	0.63	0.56	0.34	0.39	0.55	0.71	0.54	0.67
02	강릉	남동	90˚	0.51	0.51	0.49	0.53	0.49	0.43	0.27	0.30	0.43	0.54	0.42	0.51
02	강릉	남서	90˚	0.51	0.51	0.49	0.53	0.49	0.43	0.27	0.30	0.43	0.54	0.42	0.51
02	강릉	동	90˚	0.36	0.36	0.35	0.37	0.34	0.31	0.19	0.21	0.30	0.38	0.30	0.36
02	강릉	서	90˚	0.36	0.36	0.35	0.37	0.34	0.31	0.19	0.21	0.30	0.38	0.30	0.36
02	강릉	북서	90˚	0.21	0.20	0.20	0.21	0.20	0.18	0.10	0.12	0.18	0.22	0.17	0.21
02	강릉	북동	90˚	0.21	0.20	0.20	0.21	0.20	0.18	0.10	0.12	0.18	0.22	0.17	0.21
02	강릉	북	90˚	0.05	0.05	0.05	0.05	0.05	0.05	0.02	0.03	0.05	0.05	0.05	0.05
03	서울	남	90˚	0.68	0.61	0.62	0.44	0.50	0.50	0.26	0.28	0.35	0.53	0.44	0.53
03	서울	남동	90˚	0.52	0.47	0.48	0.34	0.39	0.39	0.19	0.21	0.27	0.41	0.35	0.41
03	서울	남서	90˚	0.52	0.47	0.48	0.34	0.39	0.39	0.19	0.21	0.27	0.41	0.35	0.41
03	서울	동	90˚	0.37	0.33	0.34	0.24	0.28	0.28	0.13	0.14	0.19	0.29	0.25	0.29
03	서울	서	90˚	0.37	0.33	0.34	0.24	0.28	0.28	0.13	0.14	0.19	0.29	0.25	0.29
03	서울	북서	90˚	0.21	0.19	0.19	0.14	0.16	0.16	0.07	0.08	0.11	0.17	0.14	0.17
03	서울	북동	90˚	0.21	0.19	0.19	0.14	0.16	0.16	0.07	0.08	0.11	0.17	0.14	0.17
03	서울	북	90˚	0.05	0.05	0.05	0.03	0.04	0.04	0.01	0.01	0.02	0.05	0.04	0.05
04	인천	남	90˚	0.69	0.56	0.49	0.54	0.62	0.42	0.36	0.38	0.55	0.48	0.45	0.58
04	인천	남동	90˚	0.53	0.44	0.38	0.42	0.48	0.33	0.28	0.30	0.43	0.37	0.35	0.45
04	인천	남서	90˚	0.53	0.44	0.38	0.42	0.48	0.33	0.28	0.30	0.43	0.37	0.35	0.45
04	인천	동	90˚	0.37	0.31	0.27	0.30	0.34	0.23	0.20	0.21	0.30	0.26	0.25	0.32
04	인천	서	90˚	0.37	0.31	0.27	0.30	0.34	0.23	0.20	0.21	0.30	0.26	0.25	0.32
04	인천	북서	90˚	0.21	0.18	0.16	0.17	0.19	0.13	0.11	0.12	0.18	0.15	0.14	0.18
04	인천	북동	90˚	0.21	0.18	0.16	0.17	0.19	0.13	0.11	0.12	0.18	0.15	0.14	0.18
04	인천	북	90˚	0.05	0.05	0.04	0.05	0.05	0.03	0.02	0.03	0.05	0.04	0.04	0.05
05	원주	남	90˚	0.61	0.62	0.64	0.52	0.58	0.51	0.25	0.29	0.45	0.52	0.42	0.57
05	원주	남동	90˚	0.47	0.48	0.49	0.41	0.45	0.40	0.19	0.22	0.35	0.41	0.33	0.44
05	원주	남서	90˚	0.47	0.48	0.49	0.41	0.45	0.40	0.19	0.22	0.35	0.41	0.33	0.44
05	원주	동	90˚	0.33	0.33	0.35	0.29	0.32	0.28	0.12	0.16	0.25	0.29	0.23	0.31
05	원주	서	90˚	0.33	0.33	0.35	0.29	0.32	0.28	0.12	0.16	0.25	0.29	0.23	0.31
05	원주	북서	90˚	0.19	0.19	0.20	0.17	0.18	0.16	0.07	0.08	0.14	0.17	0.13	0.18
05	원주	북동	90˚	0.19	0.19	0.20	0.17	0.18	0.16	0.07	0.08	0.14	0.17	0.13	0.18
05	원주	북	90˚	0.05	0.05	0.05	0.05	0.05	0.05	0.01	0.01	0.04	0.05	0.03	0.05
06	청주	남	90˚	0.47	0.44	0.54	0.51	0.57	0.44	0.30	0.32	0.42	0.52	0.57	0.53
06	청주	남동	90˚	0.37	0.34	0.42	0.40	0.44	0.34	0.23	0.25	0.32	0.41	0.44	0.41
06	청주	남서	90˚	0.37	0.34	0.42	0.40	0.44	0.34	0.23	0.25	0.32	0.41	0.44	0.41
06	청주	동	90˚	0.26	0.24	0.30	0.28	0.31	0.24	0.16	0.17	0.23	0.29	0.31	0.29
06	청주	서	90˚	0.26	0.24	0.30	0.28	0.31	0.24	0.16	0.17	0.23	0.29	0.31	0.29
06	청주	북서	90˚	0.15	0.14	0.17	0.17	0.18	0.14	0.09	0.10	0.13	0.17	0.18	0.17
06	청주	북동	90˚	0.15	0.14	0.17	0.17	0.18	0.14	0.09	0.10	0.13	0.17	0.18	0.17
06	청주	북	90˚	0.04	0.03	0.05	0.05	0.05	0.03	0.01	0.02	0.03	0.05	0.05	0.05
07	대전	남	90˚	0.67	0.66	0.64	0.67	0.57	0.45	0.26	0.33	0.56	0.56	0.56	0.63
07	대전	남동	90˚	0.52	0.51	0.50	0.52	0.44	0.35	0.20	0.26	0.43	0.43	0.43	0.48
07	대전	남서	90˚	0.52	0.51	0.50	0.52	0.44	0.35	0.20	0.26	0.43	0.43	0.43	0.48
07	대전	동	90˚	0.36	0.36	0.35	0.36	0.31	0.25	0.13	0.18	0.31	0.31	0.31	0.34
07	대전	서	90˚	0.36	0.36	0.35	0.36	0.31	0.25	0.13	0.18	0.31	0.31	0.31	0.34
07	대전	북서	90˚	0.21	0.20	0.20	0.21	0.18	0.14	0.07	0.10	0.18	0.18	0.18	0.20
07	대전	북동	90˚	0.21	0.20	0.20	0.21	0.18	0.14	0.07	0.10	0.18	0.18	0.18	0.20
07	대전	북	90˚	0.05	0.05	0.05	0.05	0.05	0.04	0.01	0.02	0.05	0.05	0.05	0.05
08	대구	남	90˚	0.71	0.64	0.71	0.63	0.60	0.45	0.29	0.26	0.44	0.48	0.54	0.70
08	대구	남동	90˚	0.54	0.49	0.54	0.49	0.46	0.35	0.22	0.20	0.34	0.37	0.42	0.53
08	대구	남서	90˚	0.54	0.49	0.54	0.49	0.46	0.35	0.22	0.20	0.34	0.37	0.42	0.53
08	대구	동	90˚	0.38	0.34	0.38	0.34	0.33	0.25	0.15	0.13	0.24	0.26	0.30	0.37
08	대구	서	90˚	0.38	0.34	0.38	0.34	0.33	0.25	0.15	0.13	0.24	0.26	0.30	0.37
08	대구	북서	90˚	0.22	0.20	0.22	0.20	0.19	0.14	0.08	0.07	0.14	0.15	0.17	0.21
08	대구	북동	90˚	0.22	0.20	0.22	0.20	0.19	0.14	0.08	0.07	0.14	0.15	0.17	0.21
08	대구	북	90˚	0.05	0.05	0.05	0.05	0.05	0.04	0.01	0.01	0.04	0.04	0.05	0.05
09	전주	남	90˚	0.50	0.55	0.52	0.52	0.54	0.33	0.29	0.42	0.39	0.46	0.43	0.35
09	전주	남동	90˚	0.39	0.42	0.40	0.40	0.42	0.25	0.22	0.32	0.30	0.36	0.34	0.27
09	전주	남서	90˚	0.39	0.42	0.40	0.40	0.42	0.25	0.22	0.32	0.30	0.36	0.34	0.27
09	전주	동	90˚	0.28	0.30	0.29	0.29	0.30	0.18	0.15	0.23	0.22	0.26	0.24	0.19
09	전주	서	90˚	0.28	0.30	0.29	0.29	0.30	0.18	0.15	0.23	0.22	0.26	0.24	0.19
09	전주	북서	90˚	0.16	0.17	0.17	0.17	0.17	0.10	0.08	0.13	0.12	0.15	0.14	0.11
09	전주	북동	90˚	0.16	0.17	0.17	0.17	0.17	0.10	0.08	0.13	0.12	0.15	0.14	0.11
09	전주	북	90˚	0.05	0.05	0.05	0.05	0.05	0.02	0.01	0.03	0.03	0.04	0.03	0.02
10	광주	남	90˚	0.51	0.69	0.68	0.69	0.69	0.34	0.24	0.38	0.58	0.65	0.52	0.45
10	광주	남동	90˚	0.40	0.53	0.52	0.53	0.53	0.26	0.18	0.29	0.45	0.50	0.41	0.35
10	광주	남서	90˚	0.40	0.53	0.52	0.53	0.53	0.26	0.18	0.29	0.45	0.50	0.41	0.35
10	광주	동	90˚	0.29	0.37	0.37	0.37	0.37	0.18	0.12	0.21	0.32	0.35	0.29	0.25
10	광주	서	90˚	0.29	0.37	0.37	0.37	0.37	0.18	0.12	0.21	0.32	0.35	0.29	0.25
10	광주	북서	90˚	0.17	0.21	0.21	0.21	0.21	0.10	0.07	0.12	0.18	0.20	0.17	0.14
10	광주	북동	90˚	0.17	0.21	0.21	0.21	0.21	0.10	0.07	0.12	0.18	0.20	0.17	0.14
10	광주	북	90˚	0.05	0.05	0.05	0.05	0.05	0.02	0.01	0.03	0.05	0.05	0.05	0.04
11	부산	남	90˚	0.72	0.64	0.70	0.72	0.63	0.56	0.50	0.49	0.62	0.57	0.67	0.59
11	부산	남동	90˚	0.56	0.49	0.54	0.55	0.48	0.43	0.39	0.38	0.48	0.44	0.52	0.46
11	부산	남서	90˚	0.56	0.49	0.54	0.55	0.48	0.43	0.39	0.38	0.48	0.44	0.52	0.46
11	부산	동	90˚	0.39	0.35	0.38	0.39	0.34	0.31	0.28	0.27	0.34	0.31	0.36	0.32
11	부산	서	90˚	0.39	0.35	0.38	0.39	0.34	0.31	0.28	0.27	0.34	0.31	0.36	0.32
11	부산	북서	90˚	0.22	0.20	0.22	0.22	0.20	0.18	0.16	0.16	0.19	0.18	0.21	0.19
11	부산	북동	90˚	0.22	0.20	0.22	0.22	0.20	0.18	0.16	0.16	0.19	0.18	0.21	0.19
11	부산	북	90˚	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.05
12	목포	남	90˚	0.46	0.53	0.50	0.66	0.68	0.30	0.36	0.46	0.49	0.64	0.55	0.33
12	목포	남동	90˚	0.36	0.41	0.39	0.51	0.53	0.23	0.28	0.36	0.38	0.49	0.43	0.26
12	목포	남서	90˚	0.36	0.41	0.39	0.51	0.53	0.23	0.28	0.36	0.38	0.49	0.43	0.26
12	목포	동	90˚	0.26	0.29	0.28	0.36	0.37	0.16	0.20	0.26	0.27	0.35	0.30	0.18
12	목포	서	90˚	0.26	0.29	0.28	0.36	0.37	0.16	0.20	0.26	0.27	0.35	0.30	0.18
12	목포	북서	90˚	0.15	0.17	0.16	0.21	0.21	0.09	0.11	0.15	0.16	0.20	0.18	0.10
12	목포	북동	90˚	0.15	0.17	0.16	0.21	0.21	0.09	0.11	0.15	0.16	0.20	0.18	0.10
12	목포	북	90˚	0.04	0.05	0.04	0.05	0.05	0.01	0.02	0.04	0.04	0.05	0.05	0.02
13	서산	남	90˚	0.52	0.60	0.49	0.61	0.55	0.43	0.28	0.40	0.48	0.50	0.41	0.46
