지역코드	지역명	관측고도	경도	위도	해석설계외기온도	해당 월	최고 온도	최고 절대습도	최고 수평 전일사량	최고 확산 일사량	수평	남	남동	남서	동	서	북서	북동	북
01	춘천	78	127.7355	37.9015	-14.7	5월	31.6	0.0177	990.0	213.3	990.0	432.9	280.7	427.4	171.7	275.4	163.8	163.8	163.8
02	강릉	26	128.8908	37.7518	-7.9	6월	31.6	0.0175	990.0	216.4	990.0	405.4	350.3	318.0	184.9	162.1	162.1	162.1	162.1
03	서울	86	126.9662	37.5714	-11.3	6월	31.2	0.0184	1010.0	206.5	1010.0	408.0	330.8	340.7	161.5	168.5	161.5	161.5	161.5
04	인천	68	126.6245	37.4777	-10.4	6월	30.1	0.0180	970.0	233.8	970.0	394.9	318.4	336.2	164.0	176.6	164.0	164.0	164.0
05	원주	149	127.9469	37.3374	-7.9	5월	31.6	0.0175	980.0	221.6	980.0	448.7	379.2	351.5	183.6	164.1	164.1	164.1	164.1
06	청주	57	127.4406	36.6396	-12.1	5월	32.5	0.0183	960.0	216.6	960.0	420.1	352.3	339.5	246.1	235.2	162.3	165.0	162.3
07	대전	69	127.3714	36.3715	-10.3	6월	32.3	0.0179	1040.0	221.7	1040.0	393.9	324.0	331.0	167.2	172.2	167.2	167.2	167.2
08	대구	64	128.6509	35.8789	-7.6	4월	33.3	0.0180	950.0	226.6	950.0	516.7	434.9	392.8	195.3	165.5	165.5	165.5	165.5
09	전주	53	127.1161	35.8405	-8.7	6월	32.4	0.0184	960.0	266.9	960.0	362.8	302.9	313.9	177.0	184.8	177.0	177.0	177.0
10	광주	72	126.8914	35.1735	-6.6	6월	31.8	0.0190	1010.0	197.7	1010.0	358.5	290.9	308.5	157.7	170.1	157.7	157.7	157.7
11	부산	70	129.0322	35.1048	-5.3	7월	30.7	0.0198	1010.0	215.2	1010.0	401.6	334.0	329.6	166.8	163.7	163.3	163.3	163.3
12	목포	38	126.3811	34.8171	-4.7	6월	31.1	0.0198	1020.0	207.2	1020.0	359.5	288.6	314.1	160.9	178.9	160.9	160.9	160.9
13	서산	29	126.4938	36.7769	-9.6	6월	31.1	0.0189	1050.0	233.1	1050.0	406.4	323.9	351.2	171.3	190.6	171.3	171.3	171.3
14	진주	30	128.04	35.1642	-8.4	4월	31.6	0.0196	960.0	208.2	960.0	518.5	427.5	400.4	180.7	161.5	161.5	161.5	161.5
15	포항	2	129.3796	36.0329	-6.4	5월	32.5	0.0187	1030.0	233.2	1030.0	488.5	429.6	362.5	220.2	172.8	172.8	172.8	172.8
16	제주	20	126.5296	33.3941	0.1	6월	30.9	0.0199	1060.0	225.4	1060.0	361.6	297.8	312.5	168.7	179.1	168.7	168.7	168.7
17	안동	140	128.7074	36.5732															
18	수원	34	126.9854	37.2725															
19	대관	773	128.7188	37.6773															
20	추풍	245	127.9944	36.2201															
