기간	지역코드	지역명	온도	상대습도
1월	01	춘천	-5.2	64.6%
2월	01	춘천	-0.2	65.4%
3월	01	춘천	4.4	58.2%
4월	01	춘천	11.7	58.4%
5월	01	춘천	17.9	64.0%
6월	01	춘천	21.6	70.2%
7월	01	춘천	25.0	78.9%
8월	01	춘천	25.2	82.0%
9월	01	춘천	20.4	79.4%
10월	01	춘천	12.7	75.4%
11월	01	춘천	3.7	72.9%
12월	01	춘천	-2.5	69.0%
평균값	01	춘천	11.2	69.9%
1월	02	강릉	1.1	51.4%
2월	02	강릉	5.5	51.3%
3월	02	강릉	7.3	52.9%
4월	02	강릉	11.7	53.3%
5월	02	강릉	19.0	56.5%
6월	02	강릉	21.5	66.9%
7월	02	강릉	25.8	73.7%
8월	02	강릉	26.4	72.4%
9월	02	강릉	20.2	71.3%
10월	02	강릉	16.0	57.4%
11월	02	강릉	9.4	53.5%
12월	02	강릉	2.2	46.9%
평균값	02	강릉	13.8	58.9%
1월	03	서울	-2.5	52.3%
2월	03	서울	1.2	54.9%
3월	03	서울	6.0	52.2%
4월	03	서울	11.6	54.6%
5월	03	서울	17.7	58.0%
6월	03	서울	22.5	65.8%
7월	03	서울	24.2	74.8%
8월	03	서울	25.8	74.2%
9월	03	서울	21.8	62.6%
10월	03	서울	14.6	60.9%
11월	03	서울	8.4	57.3%
12월	03	서울	1.1	55.9%
평균값	03	서울	12.7	60.3%
1월	04	인천	-1.3	55.4%
2월	04	인천	0.0	59.9%
3월	04	인천	5.0	62.5%
4월	04	인천	10.8	63.8%
5월	04	인천	17.3	67.5%
6월	04	인천	20.7	71.2%
7월	04	인천	23.8	85.6%
8월	04	인천	26.1	82.3%
9월	04	인천	22.2	75.7%
10월	04	인천	16.6	67.8%
11월	04	인천	7.6	66.2%
12월	04	인천	0.1	61.5%
평균값	04	인천	12.4	68.3%
1월	05	원주	-3.8	60.4%
2월	05	원주	-0.8	60.0%
3월	05	원주	6.2	54.8%
4월	05	원주	11.5	53.2%
5월	05	원주	17.9	57.3%
6월	05	원주	22.4	62.5%
7월	05	원주	26.0	75.0%
8월	05	원주	26.0	76.9%
9월	05	원주	20.5	77.8%
10월	05	원주	14.0	72.2%
11월	05	원주	6.7	66.1%
12월	05	원주	-1.5	64.6%
평균값	05	원주	12.1	65.1%
1월	06	청주	-1.0	63.2%
2월	06	청주	2.8	55.3%
3월	06	청주	5.8	58.1%
4월	06	청주	14.4	51.9%
5월	06	청주	18.6	55.5%
6월	06	청주	22.9	64.0%
7월	06	청주	26.6	73.9%
8월	06	청주	25.4	74.3%
9월	06	청주	21.7	66.2%
10월	06	청주	13.7	67.6%
11월	06	청주	7.1	61.0%
12월	06	청주	0.1	66.2%
평균값	06	청주	13.2	63.1%
1월	07	대전	-2.7	66.3%
2월	07	대전	2.1	62.9%
3월	07	대전	5.7	57.5%
4월	07	대전	12.0	51.7%
5월	07	대전	18.2	58.9%
6월	07	대전	22.6	65.7%
7월	07	대전	25.4	75.9%
8월	07	대전	26.2	78.2%
9월	07	대전	21.5	71.7%
10월	07	대전	14.8	71.5%
11월	07	대전	7.7	66.0%
12월	07	대전	0.1	66.2%
평균값	07	대전	12.8	66.1%
1월	08	대구	0.8	46.2%
2월	08	대구	3.9	53.2%
3월	08	대구	7.7	50.5%
4월	08	대구	13.8	45.4%
5월	08	대구	19.8	52.8%
6월	08	대구	23.2	63.5%
7월	08	대구	26.8	71.2%
8월	08	대구	26.3	71.8%
9월	08	대구	23.1	65.7%
10월	08	대구	16.5	60.9%
11월	08	대구	9.5	56.0%
12월	08	대구	2.6	47.8%
평균값	08	대구	14.5	57.1%
1월	09	전주	-0.8	62.7%
