지역코드	지역명	방위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	수평	77.12	68.06	61.65	32.53	36.21	31.23	30.03	29.85	36.96	42.03	59.76	80.55
01	춘천	남	74.53	86.00	62.43	30.48	34.05	29.90	30.46	29.05	34.26	39.83	75.26	96.59
01	춘천	남동	64.54	76.55	56.75	30.76	37.06	30.48	31.04	28.63	35.33	37.70	64.13	86.92
01	춘천	남서	70.09	72.61	59.86	30.42	35.33	32.53	31.85	30.38	30.02	33.28	61.56	81.03
01	춘천	동	64.40	71.73	52.15	30.52	39.94	30.87	31.41	26.58	33.45	37.62	59.24	89.10
01	춘천	서	52.14	48.97	48.77	28.05	35.12	34.45	32.16	28.44	22.59	22.53	34.69	52.95
01	춘천	북서	46.96	32.13	32.62	22.62	28.35	30.56	26.95	19.69	13.48	13.30	24.21	39.99
01	춘천	북동	35.12	28.28	30.43	24.17	34.49	31.00	28.24	22.18	18.98	14.95	19.26	28.53
01	춘천	북	0.00	0.00	18.71	20.64	30.29	31.37	26.57	17.89	11.24	6.59	0.00	0.00
02	강릉	수평	71.79	72.41	52.13	35.38	35.13	31.99	29.30	28.91	38.90	41.27	56.53	90.65
02	강릉	남	70.07	91.12	53.16	33.41	32.80	30.15	29.49	27.83	37.10	39.89	69.13	108.87
02	강릉	남동	58.60	77.96	48.32	32.09	34.13	30.38	28.79	27.41	35.54	34.79	58.18	93.21
02	강릉	남서	67.42	79.33	51.24	34.38	35.88	33.80	32.43	29.83	34.50	35.19	58.46	94.32
02	강릉	동	56.53	70.97	44.84	30.45	36.21	30.71	28.80	25.63	32.06	32.08	55.22	89.03
02	강릉	서	50.52	54.32	42.20	31.63	36.63	36.49	33.64	28.54	26.24	23.87	34.73	61.37
02	강릉	북서	42.85	35.08	29.20	24.32	29.44	32.19	28.05	19.87	14.79	12.81	26.26	40.33
02	강릉	북동	30.13	27.88	27.08	23.15	31.54	30.78	26.04	21.63	17.49	11.83	19.56	26.36
02	강릉	북	0.00	0.00	17.84	19.98	29.51	32.09	26.00	17.81	10.43	4.78	0.00	0.00
03	서울	수평	73.25	71.46	50.61	28.94	33.90	30.84	23.53	25.86	32.47	42.87	53.40	76.12
03	서울	남	68.56	86.24	50.25	27.45	31.92	29.07	24.35	25.22	29.99	40.08	63.13	85.80
03	서울	남동	57.13	73.88	44.64	27.46	33.33	29.43	24.48	25.30	29.83	35.39	54.01	75.26
03	서울	남서	66.49	75.51	49.45	27.00	34.44	32.43	25.69	26.68	27.78	35.55	53.08	74.35
03	서울	동	52.49	67.27	40.84	26.96	35.45	29.94	24.64	24.12	28.21	33.80	52.01	74.27
03	서울	서	48.04	51.61	41.00	24.70	35.05	34.96	26.08	25.43	21.82	24.84	31.78	49.00
