지역코드	지역명	구분	단위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	온도등급 1: θe = -7℃	[h]	516.80	217.40	90.50	3.00	0.00	0.00	0.00	0.00	0.00	3.40	88.00	344.10
01	춘천	온도등급 2: θe = 2℃	[h]	199.10	326.70	294.50	88.30	0.00	0.00	0.00	0.00	0.00	63.00	281.90	311.30
01	춘천	온도등급 3: θe = 7℃	[h]	28.10	123.10	338.70	433.00	223.10	16.55	0.00	0.00	57.70	416.65	349.00	88.60
01	춘천	온도등급 4: θe = 20℃	[h]	0.00	4.80	20.30	163.50	392.60	464.65	280.30	200.00	489.40	257.95	1.10	0.00
01	춘천	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	32.20	128.30	238.80	463.70	544.00	172.90	3.00	0.00	0.00
01	춘천	온도등급 1: θe = -7℃	[Kh]	14408.70	5713.10	2177.50	69.00	0.00	0.00	0.00	0.00	0.00	78.50	2129.50	9481.40
01	춘천	온도등급 2: θe = 2℃	[Kh]	3919.30	6350.20	5544.60	1594.80	0.00	0.00	0.00	0.00	0.00	1172.90	5258.60	6057.60
01	춘천	온도등급 3: θe = 7℃	[Kh]	393.90	1472.65	3844.10	4313.10	1875.55	117.53	0.00	0.00	400.25	3735.88	4360.05	1188.30
02	강릉	온도등급 1: θe = -7℃	[h]	139.50	25.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	171.40
02	강릉	온도등급 2: θe = 2℃	[h]	460.50	257.90	216.80	49.00	0.00	0.00	0.00	0.00	0.00	0.00	83.60	289.70
02	강릉	온도등급 3: θe = 7℃	[h]	144.00	382.80	473.85	486.75	154.15	46.90	0.00	0.00	27.85	319.40	546.50	282.90
02	강릉	온도등급 4: θe = 20℃	[h]	0.00	5.90	51.65	175.65	462.95	442.30	283.00	175.80	586.95	407.40	89.90	0.00
02	강릉	온도등급 5: θe = 27℃	[h]	0.00	0.00	1.70	8.60	126.90	230.80	461.00	568.20	105.20	17.20	0.00	0.00
02	강릉	온도등급 1: θe = -7℃	[Kh]	3398.10	611.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4265.30
02	강릉	온도등급 2: θe = 2℃	[Kh]	8739.10	4557.20	3732.20	843.10	0.00	0.00	0.00	0.00	0.00	0.00	1421.40	5364.50
02	강릉	온도등급 3: θe = 7℃	[Kh]	1936.80	4577.40	5692.88	4881.08	1104.38	318.15	0.00	0.00	190.78	2497.35	6036.80	3660.80
03	서울	온도등급 1: θe = -7℃	[h]	380.50	126.00	17.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	197.30
03	서울	온도등급 2: θe = 2℃	[h]	339.10	411.10	307.90	9.70	0.00	0.00	0.00	0.00	0.00	37.10	142.90	331.40
03	서울	온도등급 3: θe = 7℃	[h]	24.40	134.90	361.85	574.30	216.10	2.20	0.00	0.00	21.00	321.45	495.10	215.30
03	서울	온도등급 4: θe = 20℃	[h]	0.00	0.00	56.95	136.00	459.30	449.40	314.60	104.50	475.20	385.45	82.00	0.00
03	서울	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	68.60	268.40	429.40	639.50	223.80	0.00	0.00	0.00
03	서울	온도등급 1: θe = -7℃	[Kh]	9805.10	3131.60	397.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5113.30
03	서울	온도등급 2: θe = 2℃	[Kh]	6562.40	7836.60	5563.30	158.40	0.00	0.00	0.00	0.00	0.00	641.30	2544.90	6298.30
03	서울	온도등급 3: θe = 7℃	[Kh]	349.60	1694.80	4309.98	5588.10	1664.50	16.50	0.00	0.00	152.75	2719.53	5613.85	2658.60
04	인천	온도등급 1: θe = -7℃	[h]	308.20	186.90	7.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.10	274.50
04	인천	온도등급 2: θe = 2℃	[h]	359.40	374.40	315.00	9.80	0.00	0.00	0.00	0.00	0.00	0.00	212.10	242.70
04	인천	온도등급 3: θe = 7℃	[h]	76.40	110.70	421.30	644.20	203.50	14.95	0.00	0.00	53.00	229.10	395.20	226.80
04	인천	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	66.00	491.40	554.05	334.10	80.30	367.30	502.20	103.60	0.00
04	인천	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	49.10	151.00	409.90	663.70	299.70	12.70	0.00	0.00
04	인천	온도등급 1: θe = -7℃	[Kh]	7879.40	4908.30	177.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	209.80	7204.40
04	인천	온도등급 2: θe = 2℃	[Kh]	6939.80	7019.20	5670.40	156.80	0.00	0.00	0.00	0.00	0.00	0.00	4036.50	4577.20
04	인천	온도등급 3: θe = 7℃	[Kh]	1020.90	1505.70	5302.10	6277.90	1470.30	102.83	0.00	0.00	382.35	1812.40	4416.10	3026.60
05	원주	온도등급 1: θe = -7℃	[h]	464.80	240.00	30.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.60	317.20
05	원주	온도등급 2: θe = 2℃	[h]	226.90	334.50	300.20	54.30	0.00	0.00	0.00	0.00	0.00	18.50	256.80	315.00
05	원주	온도등급 3: θe = 7℃	[h]	52.30	97.50	335.35	483.60	219.65	20.60	0.00	0.00	50.50	401.15	381.45	111.80
05	원주	온도등급 4: θe = 20℃	[h]	0.00	0.00	78.15	175.60	416.45	415.50	170.90	165.30	505.40	307.35	71.15	0.00
05	원주	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	6.50	107.90	283.90	573.10	578.70	164.10	17.00	0.00	0.00
05	원주	온도등급 1: θe = -7℃	[Kh]	12541.20	6363.90	716.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	248.20	8468.10
05	원주	온도등급 2: θe = 2℃	[Kh]	4465.00	6337.50	5570.60	937.20	0.00	0.00	0.00	0.00	0.00	325.30	4732.50	6043.20
05	원주	온도등급 3: θe = 7℃	[Kh]	693.00	1255.70	3891.78	4935.40	1752.53	141.25	0.00	0.00	368.20	3794.83	4409.88	1476.70
06	청주	온도등급 1: θe = -7℃	[h]	244.60	65.00	14.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.20	251.70
06	청주	온도등급 2: θe = 2℃	[h]	453.40	366.50	270.50	6.40	0.00	0.00	0.00	0.00	0.00	15.60	236.20	327.20
06	청주	온도등급 3: θe = 7℃	[h]	46.00	238.20	439.00	406.85	155.55	0.60	0.00	0.00	6.90	445.90	437.75	165.10
06	청주	온도등급 4: θe = 20℃	[h]	0.00	2.30	19.70	263.05	473.15	418.60	95.80	196.10	489.00	282.50	40.85	0.00
06	청주	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	43.70	115.30	300.80	648.20	547.90	224.10	0.00	0.00	0.00
06	청주	온도등급 1: θe = -7℃	[Kh]	6172.80	1623.50	348.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	119.60	6629.10
06	청주	온도등급 2: θe = 2℃	[Kh]	8815.80	6906.90	4903.30	102.40	0.00	0.00	0.00	0.00	0.00	263.30	4290.20	6264.00
06	청주	온도등급 3: θe = 7℃	[Kh]	650.00	3010.70	5236.65	3856.98	1209.18	4.50	0.00	0.00	49.50	3911.65	4755.13	1967.50
07	대전	온도등급 1: θe = -7℃	[h]	418.60	152.40	21.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.40	257.30
07	대전	온도등급 2: θe = 2℃	[h]	256.60	311.50	267.60	38.20	0.00	0.00	0.00	0.00	0.00	7.30	154.20	324.80
07	대전	온도등급 3: θe = 7℃	[h]	68.80	189.00	437.20	464.50	190.65	7.70	0.00	0.00	60.80	376.00	463.80	159.60
07	대전	온도등급 4: θe = 20℃	[h]	0.00	19.10	17.90	212.10	468.25	437.90	209.20	131.00	435.20	335.30	70.60	2.30
07	대전	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	5.20	85.10	274.40	534.80	613.00	224.00	25.40	0.00	0.00
07	대전	온도등급 1: θe = -7℃	[Kh]	10971.60	3854.60	505.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	759.40	6738.90
07	대전	온도등급 2: θe = 2℃	[Kh]	5001.10	5945.50	4879.40	651.00	0.00	0.00	0.00	0.00	0.00	119.90	2776.70	6204.70
07	대전	온도등급 3: θe = 7℃	[Kh]	924.50	2202.90	5218.75	4769.25	1427.33	51.75	0.00	0.00	482.85	3429.90	5176.80	1857.40
08	대구	온도등급 1: θe = -7℃	[h]	162.20	55.10	5.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.20	129.10
08	대구	온도등급 2: θe = 2℃	[h]	443.50	338.40	133.80	11.80	0.00	0.00	0.00	0.00	0.00	16.20	115.00	354.90
08	대구	온도등급 3: θe = 7℃	[h]	138.30	235.15	554.65	438.55	121.60	0.00	0.00	0.00	36.15	219.45	483.25	260.00
08	대구	온도등급 4: θe = 20℃	[h]	0.00	43.35	50.15	249.05	452.90	422.40	122.10	176.60	365.15	479.65	119.55	0.00
08	대구	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	20.60	169.50	297.60	621.90	567.40	318.70	28.70	0.00	0.00
08	대구	온도등급 1: θe = -7℃	[Kh]	3988.80	1356.00	124.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	51.00	3133.80
08	대구	온도등급 2: θe = 2℃	[Kh]	8424.30	6400.60	2367.40	199.70	0.00	0.00	0.00	0.00	0.00	267.50	2067.60	6788.30
08	대구	온도등급 3: θe = 7℃	[Kh]	1873.20	2954.53	6510.28	4046.98	944.80	0.00	0.00	0.00	256.73	1906.83	5177.48	3065.50
09	전주	온도등급 1: θe = -7℃	[h]	257.60	144.50	13.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.80	76.60
09	전주	온도등급 2: θe = 2℃	[h]	416.90	377.50	250.10	46.60	0.00	0.00	0.00	0.00	0.00	4.00	144.80	458.00
09	전주	온도등급 3: θe = 7℃	[h]	69.50	140.00	420.80	458.10	142.20	9.95	0.00	0.00	53.60	362.30	458.15	209.40
09	전주	온도등급 4: θe = 20℃	[h]	0.00	10.00	52.20	208.60	482.80	420.35	123.60	75.90	443.80	338.20	103.85	0.00
09	전주	온도등급 5: θe = 27℃	[h]	0.00	0.00	7.30	6.70	119.00	289.70	620.40	668.10	222.60	39.50	0.40	0.00
09	전주	온도등급 1: θe = -7℃	[Kh]	6489.20	3682.50	315.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	299.50	1837.70
09	전주	온도등급 2: θe = 2℃	[Kh]	8063.60	7206.00	4629.60	799.10	0.00	0.00	0.00	0.00	0.00	64.10	2576.60	8757.30
09	전주	온도등급 3: θe = 7℃	[Kh]	948.90	1692.05	4611.30	4803.70	1194.50	65.93	0.00	0.00	383.00	3256.25	5093.68	2613.70
10	광주	온도등급 1: θe = -7℃	[h]	161.50	106.00	7.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	21.70
10	광주	온도등급 2: θe = 2℃	[h]	408.10	326.30	230.30	13.80	0.00	0.00	0.00	0.00	0.00	0.00	97.00	489.50
10	광주	온도등급 3: θe = 7℃	[h]	173.80	237.70	432.90	432.70	161.25	0.00	0.00	0.00	14.70	307.05	496.05	232.80
10	광주	온도등급 4: θe = 20℃	[h]	0.60	2.00	69.00	231.60	448.15	453.40	127.00	177.60	440.60	402.75	125.35	0.00
10	광주	온도등급 5: θe = 27℃	[h]	0.00	0.00	3.90	41.90	134.60	266.60	617.00	566.40	264.70	34.20	0.00	0.00
10	광주	온도등급 1: θe = -7℃	[Kh]	3895.10	2644.60	181.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.80	505.30
10	광주	온도등급 2: θe = 2℃	[Kh]	7934.50	6166.70	4245.30	230.00	0.00	0.00	0.00	0.00	0.00	0.00	1782.60	9224.20
10	광주	온도등급 3: θe = 7℃	[Kh]	2219.00	2920.30	4732.35	4096.70	1150.33	0.00	0.00	0.00	99.85	2608.83	5264.78	2977.50
11	부산	온도등급 1: θe = -7℃	[h]	102.40	19.60	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.20
11	부산	온도등급 2: θe = 2℃	[h]	450.00	271.90	107.60	4.20	0.00	0.00	0.00	0.00	0.00	0.00	57.90	274.80
11	부산	온도등급 3: θe = 7℃	[h]	191.60	349.55	582.55	479.15	168.70	3.40	0.00	0.00	0.00	123.00	474.55	420.20
11	부산	온도등급 4: θe = 20℃	[h]	0.00	30.95	46.65	236.65	554.00	630.20	233.40	216.90	303.10	578.40	187.55	4.80
11	부산	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	21.30	86.40	510.60	527.10	416.90	42.60	0.00	0.00
11	부산	온도등급 1: θe = -7℃	[Kh]	2463.60	466.50	165.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1032.10
11	부산	온도등급 2: θe = 2℃	[Kh]	8368.80	4995.40	1955.40	67.20	0.00	0.00	0.00	0.00	0.00	0.00	1021.60	5256.80
11	부산	온도등급 3: θe = 7℃	[Kh]	2542.50	4019.93	5840.28	4289.58	1167.55	25.50	0.00	0.00	0.00	927.00	4505.48	4573.80
12	목포	온도등급 1: θe = -7℃	[h]	37.10	85.60	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
12	목포	온도등급 2: θe = 2℃	[h]	552.70	442.60	317.10	9.20	0.00	0.00	0.00	0.00	0.00	0.00	65.60	439.30
12	목포	온도등급 3: θe = 7℃	[h]	154.20	138.95	399.30	521.55	205.75	0.00	0.00	0.00	8.10	263.20	611.95	304.60
12	목포	온도등급 4: θe = 20℃	[h]	0.00	4.85	26.10	189.25	502.75	511.90	236.70	201.80	485.60	443.50	42.45	0.00
12	목포	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	35.50	208.10	507.30	542.20	226.30	37.30	0.00	0.00
12	목포	온도등급 1: θe = -7℃	[Kh]	920.70	2114.80	34.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.30
12	목포	온도등급 2: θe = 2℃	[Kh]	10683.10	8395.00	5701.10	159.00	0.00	0.00	0.00	0.00	0.00	0.00	1137.20	8075.00
12	목포	온도등급 3: θe = 7℃	[Kh]	2030.40	1705.93	4531.95	5080.18	1526.23	0.00	0.00	0.00	55.45	1976.90	6280.48	3948.20
13	서산	온도등급 1: θe = -7℃	[h]	370.70	214.90	43.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	98.90
13	서산	온도등급 2: θe = 2℃	[h]	275.50	341.30	337.00	70.20	0.00	0.00	0.00	0.00	0.00	10.90	111.60	418.40
13	서산	온도등급 3: θe = 7℃	[h]	97.80	115.80	363.80	545.85	324.10	6.15	0.00	0.00	56.70	376.95	426.80	226.70
13	서산	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	103.95	391.30	523.45	430.20	127.60	457.40	338.75	177.90	0.00
13	서산	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	28.60	190.40	313.80	616.40	205.90	17.40	3.70	0.00
13	서산	온도등급 1: θe = -7℃	[Kh]	9368.40	5570.80	1027.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2447.50
13	서산	온도등급 2: θe = 2℃	[Kh]	5347.00	6598.30	6144.20	1225.80	0.00	0.00	0.00	0.00	0.00	177.60	1941.50	8033.60
13	서산	온도등급 3: θe = 7℃	[Kh]	1286.80	1566.10	4575.30	5639.88	2729.75	41.48	0.00	0.00	415.85	3399.13	4051.70	2936.10
14	진주	온도등급 1: θe = -7℃	[h]	282.40	125.60	48.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.50	180.90
14	진주	온도등급 2: θe = 2℃	[h]	309.20	323.40	225.60	50.30	0.00	0.00	0.00	0.00	0.00	27.90	165.80	327.00
14	진주	온도등급 3: θe = 7℃	[h]	152.40	217.90	404.90	436.25	196.15	26.00	0.00	0.00	61.25	300.80	421.80	231.85
14	진주	온도등급 4: θe = 20℃	[h]	0.00	5.10	65.50	227.05	414.15	423.00	178.60	31.20	289.75	390.00	115.90	4.25
14	진주	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	6.40	133.70	271.00	565.40	712.80	369.00	25.30	0.00	0.00
14	진주	온도등급 1: θe = -7℃	[Kh]	7374.20	3225.00	1168.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	397.10	4526.10
14	진주	온도등급 2: θe = 2℃	[Kh]	5961.40	6191.40	4133.60	885.10	0.00	0.00	0.00	0.00	0.00	514.30	2942.10	6217.80
14	진주	온도등급 3: θe = 7℃	[Kh]	1865.10	2632.35	4325.15	3934.03	1481.58	175.20	0.00	0.00	470.93	2638.50	4585.60	2727.63
15	포항	온도등급 1: θe = -7℃	[h]	118.80	30.40	15.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.40
15	포항	온도등급 2: θe = 2℃	[h]	409.20	308.00	139.90	10.20	0.00	0.00	0.00	0.00	0.00	0.00	113.80	293.50
15	포항	온도등급 3: θe = 7℃	[h]	216.00	291.80	511.15	461.20	163.95	5.65	0.00	0.00	2.80	243.70	462.15	411.10
15	포항	온도등급 4: θe = 20℃	[h]	0.00	41.80	77.85	230.90	456.75	522.25	214.80	111.70	507.90	476.50	137.75	0.00
15	포항	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	17.70	123.30	192.10	529.20	632.30	209.30	23.80	6.30	0.00
15	포항	온도등급 1: θe = -7℃	[Kh]	2914.50	729.80	353.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1001.50
15	포항	온도등급 2: θe = 2℃	[Kh]	7784.30	5701.30	2504.40	166.50	0.00	0.00	0.00	0.00	0.00	0.00	1957.20	5388.80
15	포항	온도등급 3: θe = 7℃	[Kh]	2804.90	3553.70	5396.33	4254.75	1151.73	42.23	0.00	0.00	21.00	1998.60	4705.38	5001.20
16	제주	온도등급 1: θe = -7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16	제주	온도등급 2: θe = 2℃	[h]	277.90	84.10	49.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.80	213.90
16	제주	온도등급 3: θe = 7℃	[h]	466.10	548.75	602.50	466.50	42.20	0.00	0.00	0.00	0.00	127.75	497.40	524.55
16	제주	온도등급 4: θe = 20℃	[h]	0.00	39.15	91.70	253.50	661.30	601.40	228.90	64.40	408.50	590.95	219.80	5.55
16	제주	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	0.00	40.50	118.60	515.10	679.60	311.50	25.30	0.00	0.00
16	제주	온도등급 1: θe = -7℃	[Kh]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16	제주	온도등급 2: θe = 2℃	[Kh]	4836.10	1436.10	829.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.80	3617.30
16	제주	온도등급 3: θe = 7℃	[Kh]	6042.00	6158.08	6592.70	3596.30	284.75	0.00	0.00	0.00	0.00	884.83	4489.70	5781.33
17	안동	온도등급 1: θe = -7℃	[h]	351.20	174.60	23.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	55.90	246.30
17	안동	온도등급 2: θe = 2℃	[h]	314.80	359.50	278.50	99.00	1.10	0.00	0.00	0.00	0.00	45.20	213.60	335.40
17	안동	온도등급 3: θe = 7℃	[h]	78.00	132.60	419.30	476.15	211.45	11.75	0.00	0.00	92.40	351.25	386.65	162.30
17	안동	온도등급 4: θe = 20℃	[h]	0.00	5.30	23.00	136.65	401.95	392.05	205.20	245.30	352.40	329.55	63.85	0.00
17	안동	온도등급 5: θe = 27℃	[h]	0.00	0.00	0.00	8.20	129.50	316.20	538.80	498.70	275.20	18.00	0.00	0.00
17	안동	온도등급 1: θe = -7℃	[Kh]	9187.50	4456.80	564.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1355.20	6372.60
