지역코드	지역명	유형	구분	단위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
01	춘천	선택운전	온도등급 1: θe = -7℃	[h]	0.77	0.42	0.19	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.18	0.57
01	춘천	선택운전	온도등급 2: θe = 2℃	[h]	0.05	0.09	0.07	0.02	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.06
01	춘천	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	병렬운전	온도등급 1: θe = -7℃	[h]	0.70	0.36	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.52
01	춘천	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.92	0.42	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.66
01	춘천	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
01	춘천	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	선택운전	온도등급 1: θe = -7℃	[h]	0.24	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32
02	강릉	선택운전	온도등급 2: θe = 2℃	[h]	0.07	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
02	강릉	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25
02	강릉	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25
02	강릉	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
02	강릉	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	선택운전	온도등급 1: θe = -7℃	[h]	0.59	0.25	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36
03	서울	선택운전	온도등급 2: θe = 2℃	[h]	0.08	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
03	서울	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	병렬운전	온도등급 1: θe = -7℃	[h]	0.49	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32
03	서울	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.51	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34
03	서울	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	선택운전	온도등급 1: θe = -7℃	[h]	0.50	0.37	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.49
04	인천	선택운전	온도등급 2: θe = 2℃	[h]	0.10	0.06	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.04
04	인천	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 1: θe = -7℃	[h]	0.40	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
04	인천	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.41	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45
04	인천	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	선택운전	온도등급 1: θe = -7℃	[h]	0.71	0.46	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.53
05	원주	선택운전	온도등급 2: θe = 2℃	[h]	0.07	0.07	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.06
05	원주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 1: θe = -7℃	[h]	0.62	0.37	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.47
05	원주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.75	0.45	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.55
05	원주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	선택운전	온도등급 1: θe = -7℃	[h]	0.39	0.14	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.45
06	청주	선택운전	온도등급 2: θe = 2℃	[h]	0.11	0.07	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.06
06	청주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 1: θe = -7℃	[h]	0.32	0.10	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
06	청주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
