아이디	종류	이름	
1	메인	리모델링 타입	
2	건물	지역	
3	건물	지역 약식	
4	건물	프로젝트 유형	
5	건물	사업 성능 목표	
6	건물	건물 진단 실시	
7	건물	건물 대상 	
8	건물	건물용도	
10	건물	외벽 구조유형	
11	건물	지붕 구조유형	
12	커튼월	프레임재질	
13	커튼월	프레임도어	
14	커튼월	구조유형	
15	커튼월	창호수준	
16	커튼월	바닥유형	
17	커튼월	간봉	
18	커튼월	실외조건	
19	커튼월	구조	
20	커튼월	설치위치	
21	커튼월	차양종류	
22	커튼월	투과수준	
23	커튼월	색깔	
24	커튼월	차양제어	
25	커튼월	제어방법	
26	커튼월	음영각도	
27	커튼월	형태	
28	커튼월	유형	
29	커튼월	유형 기호	
30	커튼월	방위	
31	외벽	점형 DB	
32	외벽	선형 DB	
33	외벽	외장재색	
34	외벽	구조유형	
35	외벽	단열수준	
36	외벽	외벽유형	
37	외벽	내부덧댐	
38	외벽	실내외표면열전달저항	
39	외벽	직접/간접	
40	외벽	자재구분	
41	외벽	유형	
42	외벽	유형 기호	
43	지붕	점형 DB	
44	지붕	선형 DB	
45	지붕	외장재색	
46	지붕	구조유형	
47	지붕	단열수준	
48	지붕	지붕유형	
49	지붕	실내외표면열전달저항	
50	지붕	실외조건	
51	지붕	자재구분	
52	지붕	열교유형	
53	지붕	유형	
54	지붕	유형 기호	
55	바닥	선형 DB	
56	바닥	기초설치	
57	바닥	구조유형	
58	바닥	단열수준	
59	바닥	바닥유형	
60	바닥	제품DB	
61	바닥	실내외표면열전달저항	
62	바닥	실외조건	
63	바닥	자재구분	
64	바닥	열교유형	
65	바닥	유형	
66	바닥	유형 기호	
67	창호	프레임재질	
68	창호	프레임시스템	
69	창호	구조유형	
70	창호	창호수준	
71	창호	창호유형	
72	창호	간봉	
73	창호	실외조건	
74	창호	구조	
75	창호	설치위치	
76	창호	형태	
77	창호	유형	
78	창호	유형 기호	
79	출입문	프레임재질	
80	출입문	문짝	
81	출입문	구조유형	
82	출입문	창호수준	
83	출입문	출입문유형	
84	출입문	간봉	
85	출입문	실외조건	
86	출입문	구조	
87	출입문	설치위치	
88	출입문	내부구성	
89	출입문	외장재색	
90	외피	외피 구조체 유형	
91	외피	외피 구조체 유형 코드	
92	외피	방위	
93	외피	지붕기울기	
94	외피	바닥기울기	
95	외피	"커튼월, 외벽기울기"	
96	외피	창호기울기	
97	외피	음영각도	
98	외피	설치위치	
99	외피	차양종류	
100	외피	투과수준	
101	외피	커튼월 부위	
102	존일반	건물용도	
103	존일반	재실밀도	
104	존일반	이용일 시작 및 종료시간	
105	존일반	주간이용일	
106	존일반	실내습도	
107	존일반	건물 자동화 온도조절	
108	존일반	최적화 온도제어계수	
109	존일반	밀도	
110	존일반	환기방식	
111	존일반	바닥유형	
112	존일반	축열유형	
113	존일반	기밀성능(q50)	
114	존일반	기밀적용방법	
115	음영차양	설치위치	
116	음영차양	차양종류	
117	음영차양	투과수준	
118	음영차양	색깔	
119	음영차양	차양제어	
120	음영차양	제어방법	
121	음영차양	음영각도	
122	음영차양	형태	
123	음영차양	유형	
124	음영차양	유형 기호	
125	음영차양	방위	
