岿,老,绒老荐,林埃老荐,捞侩老荐
1岿,31,2,林 7.0 老 辟公,31
2岿,28,1,林 7.0 老 辟公,28
3岿,31,1,林 7.0 老 辟公,31
4岿,30,0,林 7.0 老 辟公,30
5岿,31,2,林 7.0 老 辟公,31
6岿,30,1,林 7.0 老 辟公,30
7岿,31,1,林 7.0 老 辟公,31
8岿,31,1,林 7.0 老 辟公,31
9岿,30,2,林 7.0 老 辟公,30
10岿,31,2,林 7.0 老 辟公,31
11岿,30,0,林 7.0 老 辟公,30
12岿,31,1,林 7.0 老 辟公,31
 楷埃,365,14,林 7.0 老 辟公,365
1岿,31,2,林 6.0 老 辟公,24.57142857
2岿,28,1,林 6.0 老 辟公,23
3岿,31,1,林 6.0 老 辟公,25.57142857
4岿,30,0,林 6.0 老 辟公,25.71428571
5岿,31,2,林 6.0 老 辟公,24.57142857
6岿,30,1,林 6.0 老 辟公,24.71428571
7岿,31,1,林 6.0 老 辟公,25.57142857
8岿,31,1,林 6.0 老 辟公,25.57142857
9岿,30,2,林 6.0 老 辟公,23.71428571
10岿,31,2,林 6.0 老 辟公,24.57142857
11岿,30,0,林 6.0 老 辟公,25.71428571
12岿,31,1,林 6.0 老 辟公,25.57142857
 楷埃,365,14,林 6.0 老 辟公,298.8571429
1岿,31,2,林 5.5 老 辟公,22.35714286
2岿,28,1,林 5.5 老 辟公,21
3岿,31,1,林 5.5 老 辟公,23.35714286
4岿,30,0,林 5.5 老 辟公,23.57142857
5岿,31,2,林 5.5 老 辟公,22.35714286
6岿,30,1,林 5.5 老 辟公,22.57142857
7岿,31,1,林 5.5 老 辟公,23.35714286
8岿,31,1,林 5.5 老 辟公,23.35714286
9岿,30,2,林 5.5 老 辟公,21.57142857
10岿,31,2,林 5.5 老 辟公,22.35714286
11岿,30,0,林 5.5 老 辟公,23.57142857
12岿,31,1,林 5.5 老 辟公,23.35714286
 楷埃,365,14,林 5.5 老 辟公,272.7857143
1岿,31,2,林 5.0 老 辟公,20.14285714
2岿,28,1,林 5.0 老 辟公,19
3岿,31,1,林 5.0 老 辟公,21.14285714
4岿,30,0,林 5.0 老 辟公,21.42857143
5岿,31,2,林 5.0 老 辟公,20.14285714
6岿,30,1,林 5.0 老 辟公,20.42857143
7岿,31,1,林 5.0 老 辟公,21.14285714
8岿,31,1,林 5.0 老 辟公,21.14285714
9岿,30,2,林 5.0 老 辟公,19.42857143
10岿,31,2,林 5.0 老 辟公,20.14285714
11岿,30,0,林 5.0 老 辟公,21.42857143
12岿,31,1,林 5.0 老 辟公,21.14285714
 楷埃,365,14,林 5.0 老 辟公,246.7142857
1岿,31,2,林 4.0 老 辟公,15.71428571
2岿,28,1,林 4.0 老 辟公,15
3岿,31,1,林 4.0 老 辟公,16.71428571
4岿,30,0,林 4.0 老 辟公,17.14285714
5岿,31,2,林 4.0 老 辟公,15.71428571
6岿,30,1,林 4.0 老 辟公,16.14285714
7岿,31,1,林 4.0 老 辟公,16.71428571
8岿,31,1,林 4.0 老 辟公,16.71428571
9岿,30,2,林 4.0 老 辟公,15.14285714
10岿,31,2,林 4.0 老 辟公,15.71428571
11岿,30,0,林 4.0 老 辟公,17.14285714
12岿,31,1,林 4.0 老 辟公,16.71428571
 楷埃,365,14,林 4.0 老 辟公,194.5714286
1岿,31,2,林 3.0 老 辟公,11.28571429
2岿,28,1,林 3.0 老 辟公,11
3岿,31,1,林 3.0 老 辟公,12.28571429
4岿,30,0,林 3.0 老 辟公,12.85714286
5岿,31,2,林 3.0 老 辟公,11.28571429
6岿,30,1,林 3.0 老 辟公,11.85714286
7岿,31,1,林 3.0 老 辟公,12.28571429
8岿,31,1,林 3.0 老 辟公,12.28571429
9岿,30,2,林 3.0 老 辟公,10.85714286
10岿,31,2,林 3.0 老 辟公,11.28571429
11岿,30,0,林 3.0 老 辟公,12.85714286
12岿,31,1,林 3.0 老 辟公,12.28571429
 楷埃,365,14,林 3.0 老 辟公,142.4285714
1岿,31,2,林 2.0 老 辟公,6.857142857
2岿,28,1,林 2.0 老 辟公,7
3岿,31,1,林 2.0 老 辟公,7.857142857
4岿,30,0,林 2.0 老 辟公,8.571428571
5岿,31,2,林 2.0 老 辟公,6.857142857
6岿,30,1,林 2.0 老 辟公,7.571428571
7岿,31,1,林 2.0 老 辟公,7.857142857
8岿,31,1,林 2.0 老 辟公,7.857142857
9岿,30,2,林 2.0 老 辟公,6.571428571
10岿,31,2,林 2.0 老 辟公,6.857142857
11岿,30,0,林 2.0 老 辟公,8.571428571
12岿,31,1,林 2.0 老 辟公,7.857142857
 楷埃,365,14,林 2.0 老 辟公,90.28571429
1岿,31,2,林 1.0 老 辟公,2.428571429
2岿,28,1,林 1.0 老 辟公,3
3岿,31,1,林 1.0 老 辟公,3.428571429
4岿,30,0,林 1.0 老 辟公,4.285714286
5岿,31,2,林 1.0 老 辟公,2.428571429
6岿,30,1,林 1.0 老 辟公,3.285714286
7岿,31,1,林 1.0 老 辟公,3.428571429
8岿,31,1,林 1.0 老 辟公,3.428571429
9岿,30,2,林 1.0 老 辟公,2.285714286
10岿,31,2,林 1.0 老 辟公,2.428571429
11岿,30,0,林 1.0 老 辟公,4.285714286
12岿,31,1,林 1.0 老 辟公,3.428571429
 楷埃,365,14,林 1.0 老 辟公,38.14285714
