번호,종류,연료,제품명,제조사,전부하효율,부분부하효율,열효율,온도보정계수K,온도보정계수L,대기전력,소비전력,대기상태열손실E,대기상태열손실F,보조설비G_Pn,보조설비H_Pn,보조설비n_Pn,보조설비G_Pint,보조설비H_Pint,보조설비n_Pint
BS_001,콘덴싱가스보일러[1등급],가스,콘덴싱가스보일러[1등급],IPAZEB,0.91,0.97,0.9,0.002,0.002,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_002,콘덴싱가스보일러[2등급],가스,콘덴싱가스보일러[2등급],IPAZEB,0.89,0.95,0.88,0.002,0.002,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_003,콘덴싱가스보일러[3등급],가스,콘덴싱가스보일러[3등급],IPAZEB,0.85,0.93,0.85,0.002,0.002,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_004,콘덴싱가스보일러[4등급],가스,콘덴싱가스보일러[4등급],IPAZEB,0.82,0.87,0.805,0.002,0.002,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_005,콘덴싱가스보일러[5등급],가스,콘덴싱가스보일러[5등급],IPAZEB,0.78,0.82,0.76,0.002,0.002,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_006,콘덴싱기름보일러[1등급],기름,콘덴싱기름보일러[1등급],IPAZEB,0.91,0.97,0.9,0.0004,0.001,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_007,콘덴싱기름보일러[2등급],기름,콘덴싱기름보일러[2등급],IPAZEB,0.89,0.95,0.88,0.0004,0.001,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_008,콘덴싱기름보일러[3등급],기름,콘덴싱기름보일러[3등급],IPAZEB,0.85,0.93,0.85,0.0004,0.001,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_009,콘덴싱기름보일러[4등급],기름,콘덴싱기름보일러[4등급],IPAZEB,0.82,0.87,0.805,0.0004,0.001,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_010,콘덴싱기름보일러[5등급],기름,콘덴싱기름보일러[5등급],IPAZEB,0.78,0.82,0.76,0.0004,0.001,3,150,4,-0.4,0,45,0.48,0,15,0.48
BS_011,일반기름보일러,기름,일반기름보일러,IPAZEB,0.84,0.82,0.79,0,0.0004,5,160,8,-0.28,0,45,0.48,0,15,0.48
BS_012,일반가스보일러,가스,일반가스보일러,IPAZEB,0.88,0.86,0.83,0,0.0004,4,150,8.5,-0.4,0,45,0.48,0,15,0.48
BS_013,펠릿콘덴싱보일러,펠릿,펠릿콘덴싱보일러,IPAZEB,1.02,1,0.97,0,0,5,150,3,-0.2,40,2,1,0,1.8,1
BS_014,펠릿노통형보일러,펠릿,펠릿노통형보일러,IPAZEB,0.93,0.92,0.885,0,0,5,150,3,-0.2,40,2,1,0,1.8,1
BS_015,전기보일러,전기,전기보일러,IPAZEB,1,1,1,0,0,5,150,0,0,0,0,0,0,0,0
