설비유형,구분,온도변수,값
방열기,고온수(70/55),dtheta_str1,0.7
방열기,중온수(55/45),dtheta_str1,0.5
방열기,저온수(35/28),dtheta_str1,0.4
방열기,내벽 설치,dtheta_str2,1.3
방열기,외벽 설치,dtheta_str2,1.7
방열기,창호측 설치,dtheta_str2,1.2
방열기,제어 없음,dtheta_ctr,2.5
방열기,실별 온도제어,dtheta_ctr,1.8
방열기,on-off 자동온도제어,dtheta_ctr,1.2
방열기,재실기준 자동온도제어,dtheta_ctr,0.9
방열기,제어 없음,dtheta_roomaut,0
방열기,실별 온도제어,dtheta_roomaut,-0.5
방열기,on-off 자동온도제어,dtheta_roomaut,-1
방열기,재실기준 자동온도제어,dtheta_roomaut,-1.2
실내기,고온수(70/55),dtheta_str1,0.7
실내기,중온수(55/45),dtheta_str1,0.5
실내기,저온수(35/28),dtheta_str1,0.4
실내기,내벽 설치,dtheta_str2,1.3
실내기,외벽 설치,dtheta_str2,1.7
실내기,창호측 설치,dtheta_str2,1.2
실내기,제어 없음,dtheta_ctr,2.5
실내기,실별 온도제어,dtheta_ctr,1.8
실내기,on-off 자동온도제어,dtheta_ctr,1.2
실내기,재실기준 자동온도제어,dtheta_ctr,0.9
실내기,제어 없음,dtheta_roomaut,0
실내기,실별 온도제어,dtheta_roomaut,-0.5
실내기,on-off 자동온도제어,dtheta_roomaut,-1
실내기,재실기준 자동온도제어,dtheta_roomaut,-1.2
팬코일유닛,내벽 설치,dtheta_str2,1.3
팬코일유닛,외벽 설치,dtheta_str2,1.7
팬코일유닛,창호측 설치,dtheta_str2,1.2
팬코일유닛,제어 없음,dtheta_ctr,2.5
팬코일유닛,실별 온도제어,dtheta_ctr,1.8
팬코일유닛,on-off 자동온도제어,dtheta_ctr,1.2
팬코일유닛,재실기준 자동온도제어,dtheta_ctr,0.9
팬코일유닛,제어 없음,dtheta_roomaut,0
팬코일유닛,실별 온도제어,dtheta_roomaut,-0.5
팬코일유닛,on-off 자동온도제어,dtheta_roomaut,-1
팬코일유닛,재실기준 자동온도제어,dtheta_roomaut,-1.2
복사난방,습식바닥,dtheta_str1,0
복사난방,건식바닥,dtheta_str1,0
복사난방,벽체,dtheta_str1,0.4
복사난방,천장,dtheta_str1,0.7
복사난방,습식바닥,dtheta_emb1,0.7
복사난방,건식바닥,dtheta_emb1,0.4
복사난방,벽체,dtheta_emb1,0.7
복사난방,천장,dtheta_emb1,0.7
복사난방,제어 없음,dtheta_ctr,2.5
복사난방,실별 온도제어,dtheta_ctr,1.8
복사난방,on-off 자동온도제어,dtheta_ctr,1.2
복사난방,재실기준 자동온도제어,dtheta_ctr,0.9
복사난방,제어 없음,dtheta_roomaut,0
복사난방,실별 온도제어,dtheta_roomaut,-0.5
복사난방,on-off 자동온도제어,dtheta_roomaut,-1
복사난방,재실기준 자동온도제어,dtheta_roomaut,-1.2
파워팬유닛,제어 없음,theta_dash_str,0.35
파워팬유닛,실별 온도제어,theta_dash_str,0.25
파워팬유닛,on-off 자동온도제어,theta_dash_str,0.25
파워팬유닛,재실기준 자동온도제어,theta_dash_str,0.25
파워팬유닛,제어 없음,dtheta_ctr,2.5
파워팬유닛,실별 온도제어,dtheta_ctr,1.8
파워팬유닛,on-off 자동온도제어,dtheta_ctr,1.2
파워팬유닛,재실기준 자동온도제어,dtheta_ctr,0.9
파워팬유닛,제어 없음,dtheta_roomaut,0
파워팬유닛,실별 온도제어,dtheta_roomaut,-0.5
파워팬유닛,on-off 자동온도제어,dtheta_roomaut,-1
파워팬유닛,재실기준 자동온도제어,dtheta_roomaut,-1.2
