공급유형,구분,FC,값
공기식,일반,0.1,0.39
공기식,일반,0.2,0.6
공기식,일반,0.3,0.7
공기식,일반,0.4,0.75
공기식,일반,0.5,0.78
공기식,일반,0.6,0.82
공기식,일반,0.7,0.85
공기식,일반,0.8,0.88
공기식,일반,0.9,0.93
공기식,일반,1,1
공기식,멀티분리형,0.1,0.54
공기식,멀티분리형,0.2,0.85
공기식,멀티분리형,0.3,0.94
공기식,멀티분리형,0.4,0.98
공기식,멀티분리형,0.5,1.02
공기식,멀티분리형,0.6,1.02
공기식,멀티분리형,0.7,1
공기식,멀티분리형,0.8,1
공기식,멀티분리형,0.9,0.99
공기식,멀티분리형,1,0.98
공기식,VRF,0.1,0.65
공기식,VRF,0.2,1.07
공기식,VRF,0.3,1.15
공기식,VRF,0.4,1.15
공기식,VRF,0.5,1.17
공기식,VRF,0.6,1.15
공기식,VRF,0.7,1.1
공기식,VRF,0.8,1.07
공기식,VRF,0.9,1.01
공기식,VRF,1,0.98
수방식,바닥난방,0.1,0.99
수방식,바닥난방,0.2,0.99
수방식,바닥난방,0.3,0.99
수방식,바닥난방,0.4,0.99
수방식,바닥난방,0.5,0.99
수방식,바닥난방,0.6,0.99
수방식,바닥난방,0.7,0.99
수방식,바닥난방,0.8,0.99
수방식,바닥난방,0.9,0.99
수방식,바닥난방,1,1
수방식,방열기,0.1,0.89
수방식,방열기,0.2,0.89
수방식,방열기,0.3,0.89
수방식,방열기,0.4,0.89
수방식,방열기,0.5,0.89
수방식,방열기,0.6,0.94
수방식,방열기,0.7,0.96
수방식,방열기,0.8,0.97
수방식,방열기,0.9,0.98
수방식,방열기,1,1
