방위	각도	지역	춘천_1월	춘천_2월	춘천_3월	춘천_4월	춘천_5월	춘천_6월	춘천_7월	춘천_8월	춘천_9월	춘천_10월	춘천_11월	춘천_12월	춘천_연간합
월			1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
수평	0	춘천	29265.94797	33883.33502	46984.64536	43238.18113	52001.70729	45122.89409	44037.14239	42090.58465	38813.15369	35834.46596	31740.53457	25788.30621	342534.3139
남	30	춘천	49496.24939	50343.81168	59478.258	47424.04839	52117.57706	43937.58536	44388.43837	45646.1192	45495.35768	49553.334	51286.27967	46350.16251	427484.6197
남	45	춘천	55636.57507	54495.17836	60821.15016	45763.24337	48084.88075	40037.39295	41159.18565	43843.95948	45269.19549	52437.70893	56909.96916	52897.33295	435997.5265
남	60	춘천	58500.5439	55484.68704	58696.56463	41706.89577	41669.29118	34289.88052	35989.77106	39778.99989	42629.14629	52346.83641	59189.27759	56299.11079	420713.8055
남	90	춘천	53855.29115	47928.4677	44851.25143	27556.77045	23853.51514	19303.58684	21533.52771	26095.45289	30965.15245	43466.45649	53331.92644	52969.33838	325010.1602
남동	30	춘천	43614.56282	46231.17271	55029.3579	46563.32588	52741.09934	44229.77389	44900.77008	43470.92491	45054.51853	47091.93877	45970.94636	40456.0565	405491.4191
남동	45	춘천	47444.90385	48907.00869	54971.52319	44952.15064	49550.95476	40859.68534	42171.21234	41220.36633	44796.72605	49116.97454	49408.02439	44581.55825	407296.227
남동	60	춘천	48588.36424	48893.34382	52431.69977	41558.60194	44378.0529	35948.58786	37792.34199	37467.00462	42399.00835	48555.66277	50093.31613	46257.21185	389965.9089
남동	90	춘천	42696.14927	41165.53153	40398.69302	30328.72903	30224.69836	23841.22687	26033.55842	26491.49369	32005.84858	40109.81886	43386.60407	41639.64777	305158.1515
남서	30	춘천	42638.55383	43783.43732	54824.62466	45369.93499	49894.27221	43307.32153	42972.45936	45083.7236	41234.1704	43004.57479	43747.14475	39161.74849	390736.1294
남서	45	춘천	45941.11544	45379.69766	54652.04562	43368.14571	45721.73211	39760.70106	39887.79875	43370.12939	39615.18483	43585.44565	46455.17722	42847.46442	387426.8513
남서	60	춘천	46774.32221	44706.45253	52106.34925	39749.69439	40180.07975	34867.38624	35436.84183	39812.05264	36488.3471	41990.01418	46534.56862	44123.74449	367058.5463
남서	90	춘천	40699.21472	36692.03798	40150.81008	28555.11175	26830.85979	23052.46065	24219.51375	28486.52098	26376.84677	33217.14258	39376.48712	39123.10279	282305.9126
동	30	춘천	29515.51191	34557.50725	44460.79497	42387.53026	50610.02598	43325.21562	43650.08496	39390.98794	39809.99168	37503.90403	31822.01226	26353.84572	338495.8204
동	45	춘천	28841.6187	33528.642	41815.50381	39993.50774	47132.63802	39940.46744	40808.96375	36313.96231	38006.63561	36597.59249	30782.95	25917.18953	321138.2478
동	60	춘천	27444.714	31719.50773	38510.08266	36697.5379	42468.98344	35552.28295	36839.95385	32563.77626	35031.89525	34553.89167	29189.38529	24959.83384	296156.5816
동	90	춘천	23165.3548	26021.40833	30086.50412	28139.34368	31203.14577	25923.44393	27549.45348	24186.04606	26787.21863	27819.24877	23932.98778	21183.62061	230714.0121
서	30	춘천	28279.23261	31567.7045	44234.59275	40680.23654	46528.21342	41992.58517	40944.01614	41635.69976	34770.66744	32208.0059	29303.13596	24841.21899	319322.2763
서	45	춘천	27215.12914	29853.08141	41594.85291	37798.87945	41874.04717	38340.1589	37530.70305	39097.40515	31685.88536	29919.59128	27677.24423	24057.99647	297142.3872
서	60	춘천	25874.80842	27719.96904	38239.62622	34232.71131	36811.85116	33898.18155	33406.34286	35497.6516	28266.28464	27455.28094	25561.32163	22785.56534	270170.8567
서	90	춘천	21426.02165	22207.26133	29835.10182	25906.85431	26695.69947	24356.28797	24380.71367	26651.63728	21047.72681	21842.41585	20813.28637	19349.11035	207867.1124
북서	30	춘천	14706.7089	19513.60988	32105.0406	35196.62929	43100.1674	40173.55971	38830.70989	36779.31452	28706.71532	21932.84496	15758.81168	11494.31849	247412.9953
북서	45	춘천	11359.61245	14957.49492	25427.41702	29709.586	36054.97907	34937.66761	33689.14546	31951.00868	23371.9651	17191.83602	11748.35561	8885.755681	204316.5474
북서	60	춘천	10280.92808	12847.34747	20903.17978	24909.87752	29375.49219	29153.67308	28294.41102	27076.73299	19463.992	14755.0577	10309.61418	8364.830179	172449.8405
북서	90	춘천	10042.50727	11651.60805	16430.26604	18758.18941	20746.00917	20158.21847	20093.70359	20015.68498	15089.94378	12892.91639	10023.62954	8759.278957	135012.8597
북동	30	춘천	15175.49725	21237.7001	32243.32045	36505.38681	46207.95988	41274.98585	41029.3598	35094.59923	32341.1352	25388.24125	17063.31697	12218.75658	260118.9628
북동	45	춘천	11811.28059	16714.33283	25492.08616	31399.77571	40186.93284	36376.84858	36545.9869	29819.31551	27627.69536	20680.65152	12880.67929	9362.631823	218578.0016
북동	60	춘천	10654.951	14354.91213	20963.59603	26691.8907	33764.35273	30667.00231	31274.92553	24944.91798	23448.1299	17609.78978	11186.7573	8605.966752	185858.9866
북동	90	춘천	10468.86358	12570.48917	16538.63926	20137.66196	23726.66228	21585.74546	22760.93373	18523.83973	17577.80914	14452.82106	10424.96865	8834.696246	144438.2252
북	30	춘천	7919.565923	13142.03037	25845.93827	33283.45379	43220.13254	40131.55662	39117.0676	34022.35148	27311.17313	17291.85453	8810.993455	6030.810173	216743.3159
북	45	춘천	7969.465495	8579.478285	13738.10856	25694.95453	35362.40725	34491.83565	33608.67225	27359.57819	19543.72202	10351.01183	7684.668271	6622.947949	169153.4098
북	60	춘천	8533.797026	9135.865706	9774.577241	17120.94097	25857.80303	27222.78744	26524.22654	19512.56057	13558.96495	10493.71171	8252.943086	7226.265628	134066.0287
북	90	춘천	9443.357542	10005.53391	11207.91654	13416.08252	14956.07063	15662.18237	16302.04425	14471.68517	12781.94228	10952.92834	9268.788793	8300.757541	107248.8573
수평	0	강릉	29902.37878	34045.95834	43643.78003	46995.11555	51370.96603	48064.35359	42650.95929	41442.38853	41525.79986	40314.35078	28724.31947	27809.28844	348089.5669
남	30	강릉	51130.28599	50408.39363	55495.71777	51803.06982	51190.75658	46251.91031	42747.48653	44496.72262	49789.97458	56745.94681	45242.26333	50032.79618	434665.9836
남	45	강릉	57613.29048	54506.5465	56901.16781	50017.49091	47081.02497	41803.47474	39545.46821	42540.1614	49897.77637	60298.91383	49888.63541	57102.42959	443231.0585
남	60	강릉	60685.81749	55444.84429	55094.58751	45568.02587	40656.82666	35415.11184	34459.55149	38435.37718	47254.10189	60346.35675	51645.98297	60768.56766	427507.4867
남	90	강릉	56008.57633	47805.79744	42547.77858	29900.4955	23011.1301	19255.39646	20436.36294	24903.79394	34605.97443	50150.85366	46219.60689	57139.96159	329715.8087
남동	30	강릉	43859.09215	45063.85972	51251.95402	48847.11892	50006.49426	45975.96237	41818.3248	42160.5094	46529.96501	50598.77825	40084.62753	42200.99122	400408.7701
남동	45	강릉	47447.49148	47138.5477	51219.28257	46564.20353	46182.61222	42162.4273	38758.4294	39836.9364	45744.70882	51905.22189	42666.93248	46027.5441	398321.5334
남동	60	강릉	48453.24165	46762.95614	48958.9896	42548.69744	40766.94435	36946.88856	34505.40617	36075.10861	42976.81793	50475.28043	42855.70361	47331.6308	378546.4956
남동	90	강릉	42292.72813	38897.08921	37820.18533	30377.3374	27410.35054	24464.70721	23897.4821	25489.60942	32331.00035	40626.76672	36762.29595	42043.69837	293620.4199
남서	30	강릉	44620.12315	45079.51359	51360.62675	50791.92414	50902.1127	46508.73571	42880.83753	44705.74035	47174.10232	51653.0998	39732.36746	43555.2678	408202.8557
남서	45	강릉	48433.2669	47075.85826	51330.25164	49086.63673	47341.91989	42793.2857	40231.90144	43176.60973	46548.35906	53459.20819	42274.11997	48028.81883	408750.1764
남서	60	강릉	49644.28652	46745.05206	49076.34085	45360.98419	42039.71043	37615.51604	36099.88837	39847.10659	43772.80392	52309.70222	42445.7646	49727.79517	390379.2781
남서	90	강릉	43639.26074	38831.48243	37968.70114	32907.16195	28475.58613	25060.47499	25024.42109	28856.6725	32971.9928	42429.61769	36176.17993	44526.15516	304302.9275
동	30	강릉	28794.00519	32982.12719	41474.30044	42949.81077	47296.48732	44863.15324	40127.3552	38356.97434	39372.01804	37839.94841	28262.16824	26344.80966	327699.9448
동	45	강릉	27736.61395	31664.53568	39037.12503	39528.11494	43118.54039	41135.96635	36968.2363	35249.01495	36958.01684	35719.37912	27353.81404	25349.46327	306585.9343
동	60	강릉	26261.51288	29901.25516	35959.07141	35605.52975	38313.17571	36641.28507	33245.31634	31608.14539	33830.08846	33069.1459	25851.68702	24189.21977	280730.5455
동	90	강릉	21961.12816	24458.13606	28032.41355	26911.8599	28214.7838	26822.76284	24889.77693	23776.74675	25938.04368	26454.42671	21069.93924	20417.85457	218238.4086
서	30	강릉	29531.15546	33125.88044	41644.99045	45489.11686	48391.6641	45657.78724	41578.53658	41828.59175	40161.97638	39090.38432	27864.91095	27918.0458	337733.3476
서	45	강릉	28681.68051	31794.6138	39253.5524	42760.15603	44552.3898	42114.98705	38836.38592	39741.76265	37768.65022	37190.31887	26713.59485	27372.53133	319090.9943
서	60	강릉	27440.98772	29901.37348	36167.71722	39034.28295	39909.97368	37637.96894	35112.73862	36474.67879	34663.94881	34666.06606	25000.01035	26148.23838	293780.5729
서	90	강릉	23010.56417	24236.58229	28242.57226	29636.41749	29236.09878	27749.00698	26284.31461	27746.7231	26937.38165	28009.25731	20710.75303	22311.58426	229432.9351
북서	30	강릉	14562.8276	20512.3461	30538.5072	38003.5945	44440.05568	43556.19918	39078.6494	37011.17677	31796.39147	25178.22669	15894.38521	12420.41779	258047.7239
북서	45	강릉	10939.24997	15988.73631	24510.23583	31927.45269	38137.1705	38171.91732	34622.13164	32579.51287	26315.13004	19436.75228	12444.05986	9182.47066	215161.7916
북서	60	강릉	9764.994813	13702.70119	20438.27976	26561.64072	31733.95522	32165.78551	29626.60502	27906.99157	22151.86791	16228.36873	11056.24577	8406.026339	182616.0887
북서	90	강릉	9724.809784	12064.46629	16191.16731	19595.21263	22141.5641	22709.50854	21407.22984	20774.78044	17315.03634	13627.49843	10233.37945	8808.292231	142232.0345
북동	30	강릉	14257.77011	20417.81563	30398.30153	36142.94656	43699.30031	42911.97376	38071.42022	34386.74295	31272.8988	24405.75486	16237.59954	11855.3768	251471.4256
북동	45	강릉	10720.4399	16031.03591	24319.25949	29667.64421	37090.03969	37332.03494	33222.74912	29216.7677	25831.74376	18697.05812	12618.1816	8823.246992	207291.2048
북동	60	강릉	9552.062402	13822.73341	20250.5485	24376.37588	30645.75305	31259.10135	28234.82294	24532.1941	21615.89995	15529.23912	11007.65524	8062.46421	174619.8509
북동	90	강릉	9586.51562	12310.58176	16042.47382	18271.93089	21762.44218	21995.3693	20561.99474	18527.44913	16542.75147	13231.29232	10155.22943	8609.286552	137078.8754
북	30	강릉	6937.875943	13243.90475	24708.08907	33828.06326	42689.91612	42666.22049	37790.65895	33858.90431	27553.53885	17216.04954	9466.150365	5580.676172	216203.8991
북	45	강릉	6920.860003	8455.852866	13782.18385	24544.42529	34927.70033	36524.17179	32426.00164	27426.01679	18453.56579	8491.783272	8168.027367	6188.160114	165660.3234
북	60	강릉	7596.155571	9073.446563	10843.35476	14538.81956	25540.74266	28594.78597	25549.82218	19779.35579	12300.04347	8922.070899	8543.235301	6867.191255	130354.1405
북	90	강릉	8900.115698	10081.89406	11749.56924	11927.71083	14538.62587	15846.92656	15520.07675	14266.04251	12370.8565	10413.48625	9061.239588	8240.945536	104423.7541
수평	0	서울	32254.01629	34821.48639	44520.90573	42516.61478	48899.87848	45174.04917	42236.97007	38053.78864	38780.43626	35044.11918	28444.92875	26721.68496	334131.714
남	30	서울	53231.05442	49949.08246	55478.81411	47045.64646	49006.78543	43521.23037	43048.55017	41222.85349	45259.9673	48015.45136	43608.80366	45696.73941	412520.4346
남	45	서울	59408.66265	53492.52067	56465.41196	45591.09806	45292.55603	39421.70707	40183.32394	39668.07502	44993.06302	50659.77696	47735.27935	51526.7534	419264.7927
남	60	서울	62080.94114	53969.57555	54297.324	41744.78522	39385.90438	33508.78155	35406.8835	36145.02317	42365.5137	50442.01168	49127.43888	54328.92867	403397.789
